Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2016-01-05,Internal waters - Port area,Germany,Germany - BSU,1827/2016,Marine incident,53°53.245' N,9°7.894' E,No,06:42,0,0,GERMANY - Brunsbuttel,Not Investigated,Yes,Germany - NOK / Schleuse Brunsbüttel,,No damage,No,No,No,,Normal service - In passage - Displacement mode,0,0,In a traffic lane,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,GERMANY - Husum,GERMANY - Wismar,Collision - With other ship,,,No
2016-01-05,Internal waters - Port area,Germany,Germany - BSU,1827/2016,Marine incident,53°53.245' N,9°7.894' E,No,06:42,0,0,GERMANY - Brunsbuttel,Not Investigated,Yes,Germany - NOK / Schleuse Brunsbüttel,,No damage,No,No,No,,Normal service - Under pilotage,0,0,In a traffic lane,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,GERMANY - Husum,GERMANY - Wismar,Collision - With other ship,,,No
2016-01-05,Internal waters - Port area,Germany,Germany - BSU,1827/2016,Marine incident,53°53.245' N,9°7.894' E,No,06:42,0,0,GERMANY - Brunsbuttel,Not Investigated,Yes,Germany - NOK / Schleuse Brunsbüttel,,No damage,No,No,No,,Normal service - In passage - Displacement mode,0,0,Inshore traffic zone,Transit,No,,,Cargo ship - Liquid Cargo - Chemical tanker,RUSSIAN FEDERATION - Baltiysk,BELGIUM - Antwerpen,Collision - With other ship,,,No
2016-01-05,Internal waters - Port area,Germany,Germany - BSU,1827/2016,Marine incident,53°53.245' N,9°7.894' E,No,06:42,0,0,GERMANY - Brunsbuttel,Not Investigated,Yes,Germany - NOK / Schleuse Brunsbüttel,,No damage,No,No,No,,Normal service - In passage - Displacement mode,0,0,In a traffic lane,Transit,No,,,Cargo ship - Liquid Cargo - Chemical tanker,RUSSIAN FEDERATION - Baltiysk,BELGIUM - Antwerpen,Collision - With other ship,,,No
2016-01-05,Internal waters - Port area,Germany,Germany - BSU,1827/2016,Marine incident,53°53.245' N,9°7.894' E,No,06:42,0,0,GERMANY - Brunsbuttel,Not Investigated,Yes,Germany - NOK / Schleuse Brunsbüttel,,No damage,No,No,No,,Normal service - Under pilotage,0,0,Inshore traffic zone,Transit,No,,,Cargo ship - Liquid Cargo - Chemical tanker,RUSSIAN FEDERATION - Baltiysk,BELGIUM - Antwerpen,Collision - With other ship,,,No
2016-01-05,Internal waters - Port area,Germany,Germany - BSU,1827/2016,Marine incident,53°53.245' N,9°7.894' E,No,06:42,0,0,GERMANY - Brunsbuttel,Not Investigated,Yes,Germany - NOK / Schleuse Brunsbüttel,,No damage,No,No,No,,Normal service - Under pilotage,0,0,In a traffic lane,Transit,No,,,Cargo ship - Liquid Cargo - Chemical tanker,RUSSIAN FEDERATION - Baltiysk,BELGIUM - Antwerpen,Collision - With other ship,,,No
2015-12-19,Internal waters - Port area,Germany,Germany - BSU,39/2016,Less Serious,53°34.946' N,8°31.796' E,No,05:40,0,0,GERMANY - Bremerhaven,Not Investigated,Yes,Germany - Weser / Hafen,,Material damage,No,No,No,Ship - Deck - Bridge deck,Special service - Towing/pushing,0,0,Inshore traffic zone,Mid-water,No,,,Service ship - Tug (Towing/Pushing),GERMANY - Bremerhaven,GERMANY - Bremerhaven,Damage / loss of equipment,,,No
2015-12-27,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,94/2016,Less Serious,55°38.44' N,4°49.46' W,No,21:25,0,1,UNITED KINGDOM - Ardrossan,Not Investigated,Yes,United Kingdom - Scotland,,,,,,Ship - Stairs/ladders,Normal service - Alongside,,,No routeing system,Anchored or alongside,,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class B,UNITED KINGDOM - Ardrossan,UNITED KINGDOM - Ardrossan,,Slipping - Stumbling and falling - Fall of persons - Slipping - Stumbling and falling - Fall of person - on the same level,Accident,
2015-12-23,High sea - n/a,Denmark,Denmark - DMA,1868/2016,Less Serious,54°8' N,13°37' E,No,15:35,0,1,,Not Investigated,Yes,,,,,,,Ship - Deck - Poop deck,Normal service - Anchoring,,,,Mid-water,,,,Service ship - Tug (Towing/Pushing),Unknown,Unknown,,Other,Accident,
2016-01-04,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,183/2016,Less Serious,51°26.714' N,0°22.381' E,No,21:05,0,1,UNITED KINGDOM - Gravesend,Not Investigated,Yes,United Kingdom - England,,,,,,Ship - Deck - Boat deck,Normal service - Alongside,,,No routeing system,Anchored or alongside,,,,Cargo ship - Solid Cargo - General Cargo,Unknown,UNITED KINGDOM - Gravesend,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,
