Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2011-06-26,Territorial sea,United Kingdom,United Kingdom - MAIB,11/0873/MAIBUK,Marine incident,54°4' N,3°26' W,No,09:50,0,0,,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship - Other,Normal service - In passage,0,0,Unknown,Unknown,Unknown,,,Service ship - Other offshore ship,Unknown,Unknown,Flooding/Foundering - Flooding,,,Unknown
2011-06-26,Territorial sea,United Kingdom,United Kingdom - MAIB,11/0873/MAIBUK,Marine incident,54°4' N,3°26' W,No,09:50,0,0,,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship - Other,Normal service - In passage,0,0,Unknown,Unknown,Unknown,,,Service ship - Other offshore ship,Unknown,Unknown,Flooding/Foundering - Flooding,,,Unknown
2011-06-20,Internal waters - Port area,Iceland,Iceland - ICETRA,2020/003531,Less Serious,62°6.887' N,6°54.315' W,,01:00,0,1,FAROE ISLANDS - Kollefjord (Kollafjordur),Not Investigated,Yes,,,,,No,No,Ship - Deck - Main deck,Normal service - Loading - Shore-to-ship,0.000,0.000,,Anchored or alongside,,,,Cargo ship - Solid Cargo - Container Ship,Unknown,FAROE ISLANDS - Kollefjord (Kollafjordur),,Loss of control (total or partial) of machine; means of transport or handling equipment; handheld tool; object; animal - Loss of control (total or partial) - of object (being carried; moved; handled; etc.),Accident,
2011-07-01,High sea - Within EEZ,Iceland,Iceland - ICETRA,2020/003550,Serious,66°10' N,17°44' W,,01:00,0,2,,Not Investigated,Yes,Iceland,,,,No,No,Ship - Deck - Forecastle deck,Sailing - Cruising using engine,0.000,0.000,,Mid-water,,,,Passenger ship - Only passenger - Domestic - Class C,ICELAND - Husavik - hofn,ICELAND - Husavik - hofn,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,
2011-06-28,High sea - Outside EEZ,Denmark,Denmark - DMAIB,503/2011,Less Serious,57°45' N,9°15' E,No,06:30,,,None,Not Investigated,Yes,Denmark - Nordsøen uden for EEZ: V for Hanstholm/Lindesnes,,No damage,No,No,No,,Normal service - In passage - Displacement mode,0,0,No routeing system,Mid-water,,,,Fishing vessel,SWEDEN - Other,DENMARK - Hirtshals,Collision - With other ship,,,No
2011-06-28,High sea - Outside EEZ,Denmark,Denmark - DMAIB,503/2011,Less Serious,57°45' N,9°15' E,No,06:30,,,None,Not Investigated,Yes,Denmark - Nordsøen uden for EEZ: V for Hanstholm/Lindesnes,,Material damage,No,No,No,Ship - Deck - Forecastle deck,Fishing - Preparing/stowing fishing gear,0,0,No routeing system,Mid-water,,,,Fishing vessel,DENMARK - Hirtshals,DENMARK - Hirtshals,,,,No
2011-06-21,Internal waters - Port area,Germany,Germany - BSU,1023/2011,Serious,30°31.04' N,122°23.06' E,No,11:55,0,0,CHINA - Yangshan,Finished,Yes,,,Material damage,No,No,No,Ship - Unknown,Normal service - In passage,0,0,In a traffic lane,Departure,No,9215830,CSAV PETORCA,Cargo ship - Solid Cargo - Container Ship,CHINA - Yangshan,CHINA - Yangshan,Collision - With other ship,,,Unknown
2011-06-21,Internal waters - Port area,Germany,Germany - BSU,1023/2011,Serious,30°31.04' N,122°23.06' E,No,11:55,0,0,CHINA - Yangshan,Finished,Yes,,,Material damage,No,No,No,Cargo and tank areas - Open deck cargo space,Normal service - In passage,0,,In a traffic lane,Transit,Yes,9226425,CCNI Rimac,Cargo ship - Solid Cargo - Container Ship,CHINA - Yangshan,KOREA; REPUBLIC OF - Busan (ex Pusan),Collision - With other ship,,,Unknown
2011-06-21,Internal waters - Port area,Germany,Germany - BSU,1023/2011,Serious,30°31.04' N,122°23.06' E,No,11:55,0,0,CHINA - Yangshan,Finished,Yes,,,Material damage,No,No,No,Cargo and tank areas - Other,Normal service - In passage,0,,In a traffic lane,Transit,Yes,9226425,CCNI Rimac,Cargo ship - Solid Cargo - Container Ship,CHINA - Yangshan,KOREA; REPUBLIC OF - Busan (ex Pusan),Collision - With other ship,,,Unknown
2011-06-21,Internal waters - Port area,Germany,Germany - BSU,1023/2011,Serious,30°31.04' N,122°23.06' E,No,11:55,0,0,CHINA - Yangshan,Finished,Yes,,,Material damage,No,No,No,Ship - Deck - Forecastle deck,Normal service - In passage,0,,In a traffic lane,Transit,Yes,9226425,CCNI Rimac,Cargo ship - Solid Cargo - Container Ship,CHINA - Yangshan,KOREA; REPUBLIC OF - Busan (ex Pusan),Collision - With other ship,,,Unknown
