Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2011-12-22,Inland waters - River,United Kingdom,United Kingdom - MAIB,99/2012,Less Serious,53°41' N,0°26' W,No,04:16,0,0,UNITED KINGDOM - Hull,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship,Normal service - Under pilotage,0,0,No routeing system,Unknown,Unknown,,,Cargo ship - Solid Cargo - General Cargo,Unknown,UNITED KINGDOM - Barrow Haven,Grounding/stranding - Power,,,Unknown
2011-12-22,Inland waters - River,United Kingdom,United Kingdom - MAIB,99/2012,Less Serious,53°41' N,0°26' W,No,04:16,0,0,UNITED KINGDOM - Hull,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship,Normal service - Under pilotage,0,0,No routeing system,Unknown,Unknown,,,Cargo ship - Solid Cargo - General Cargo,Unknown,UNITED KINGDOM - Barrow Haven,Grounding/stranding,,,Unknown
2011-12-22,Inland waters - River,United Kingdom,United Kingdom - MAIB,99/2012,Less Serious,53°41' N,0°26' W,No,04:16,0,0,UNITED KINGDOM - Hull,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship,Normal service - Under pilotage,0,0,Unknown,Unknown,Unknown,,,Cargo ship - Solid Cargo - General Cargo,Unknown,UNITED KINGDOM - Barrow Haven,Grounding/stranding - Power,,,Unknown
2011-12-22,Inland waters - River,United Kingdom,United Kingdom - MAIB,99/2012,Less Serious,53°41' N,0°26' W,No,04:16,0,0,UNITED KINGDOM - Hull,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship,Normal service - Under pilotage,0,0,Unknown,Unknown,Unknown,,,Cargo ship - Solid Cargo - General Cargo,Unknown,UNITED KINGDOM - Barrow Haven,Grounding/stranding,,,Unknown
2011-12-22,Inland waters - River,United Kingdom,United Kingdom - MAIB,99/2012,Less Serious,53°41' N,0°26' W,No,04:16,0,0,UNITED KINGDOM - Hull,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship,Normal service - Berthing,0,0,No routeing system,Unknown,Unknown,,,Cargo ship - Solid Cargo - General Cargo,Unknown,UNITED KINGDOM - Barrow Haven,Grounding/stranding - Power,,,Unknown
2011-12-22,Inland waters - River,United Kingdom,United Kingdom - MAIB,99/2012,Less Serious,53°41' N,0°26' W,No,04:16,0,0,UNITED KINGDOM - Hull,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship,Normal service - Berthing,0,0,No routeing system,Unknown,Unknown,,,Cargo ship - Solid Cargo - General Cargo,Unknown,UNITED KINGDOM - Barrow Haven,Grounding/stranding,,,Unknown
2011-12-22,Inland waters - River,United Kingdom,United Kingdom - MAIB,99/2012,Less Serious,53°41' N,0°26' W,No,04:16,0,0,UNITED KINGDOM - Hull,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship,Normal service - Berthing,0,0,Unknown,Unknown,Unknown,,,Cargo ship - Solid Cargo - General Cargo,Unknown,UNITED KINGDOM - Barrow Haven,Grounding/stranding - Power,,,Unknown
2011-12-22,Inland waters - River,United Kingdom,United Kingdom - MAIB,99/2012,Less Serious,53°41' N,0°26' W,No,04:16,0,0,UNITED KINGDOM - Hull,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship,Normal service - Berthing,0,0,Unknown,Unknown,Unknown,,,Cargo ship - Solid Cargo - General Cargo,Unknown,UNITED KINGDOM - Barrow Haven,Grounding/stranding,,,Unknown
2011-12-22,Inland waters - River,United Kingdom,United Kingdom - MAIB,99/2012,Less Serious,53°41' N,0°26' W,No,04:16,0,0,UNITED KINGDOM - Hull,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship,Normal service - In passage,0,0,No routeing system,Unknown,Unknown,,,Cargo ship - Solid Cargo - General Cargo,Unknown,UNITED KINGDOM - Barrow Haven,Grounding/stranding - Power,,,Unknown
2011-12-22,Inland waters - River,United Kingdom,United Kingdom - MAIB,99/2012,Less Serious,53°41' N,0°26' W,No,04:16,0,0,UNITED KINGDOM - Hull,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship,Normal service - In passage,0,0,No routeing system,Unknown,Unknown,,,Cargo ship - Solid Cargo - General Cargo,Unknown,UNITED KINGDOM - Barrow Haven,Grounding/stranding,,,Unknown
