Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2020-11-29,Internal waters - Port area,Malta,Malta - MSIU,2020/008014,Serious,35°54.1' N,14°31.6' E,No,07:52,0,0,MALTA - Valletta,Not Investigated,Yes,Malta,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Special service - Idle; off-hire,0.000,0.000,Pilotage area,Departure,No,,,Passenger ship - Passenger and Ro-Ro cargo - International,MALTA - Valletta,FRANCE - Marseille,Damage / loss of equipment,,,No
2020-11-29,Internal waters - Port area,Malta,Malta - MSIU,2020/008014,Serious,35°54.1' N,14°31.6' E,No,07:52,0,0,MALTA - Valletta,Not Investigated,Yes,Malta,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - Manoeuvring,0.000,0.000,Pilotage area,Departure,No,,,Passenger ship - Passenger and Ro-Ro cargo - International,MALTA - Valletta,FRANCE - Marseille,Damage / loss of equipment,,,No
2020-08-31,Internal waters - Port area,Netherlands,Netherlands - DSB,2021/000306,Less Serious,52°6.947' N,4°20.335' E,,12:00,0,0,NETHERLANDS - Scheveningen,Not Investigated,Yes,,,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.000,0.000,,Transit,,,,Passenger ship - Only passenger,Unknown,NETHERLANDS - Scheveningen,Damage / loss of equipment,,,No
2020-11-02,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,2020/006958,Marine incident,54°1' N,2°55' W,,20:32,0,0,UNITED KINGDOM - Heysham,Not Investigated,Yes,United Kingdom - England,,Minor damage (less than material damage),No,No,No,Bridge - Wheelhouse,Normal service - Manoeuvring,0.000,0.000,Pilotage area,Arrival,,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,UNITED KINGDOM - Heysham,UNITED KINGDOM - Heysham,Collision - With other ship,,,No
2020-11-02,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,2020/006958,Marine incident,54°1' N,2°55' W,,20:32,0,0,UNITED KINGDOM - Heysham,Not Investigated,Yes,United Kingdom - England,,Minor damage (less than material damage),No,No,No,Bridge - Wheelhouse,Normal service - Berthing,0.000,0.000,Unknown,Anchored or alongside,No,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,UNITED KINGDOM - Chatham,UNITED KINGDOM - Chatham,Collision - With other ship,,,No
2020-10-04,High sea - Within EEZ,Norway,Norway - NSIA,2020/006534,Less Serious,,,,10:30,0,1,,Not Investigated,Yes,,,,,,,Ship - Deck - Open deck,Normal service - In passage - Transitional mode,,,,Mid-water,,,,Cargo ship - Solid Cargo - General Cargo,NORWAY - Ardalstangen,NORWAY - Karmsund,,Loss of control (total or partial) of machine; means of transport or handling equipment; handheld tool; object; animal - Loss of control (total or partial) - of object (being carried; moved; handled; etc.),Accident,
2020-08-29,High sea - Within EEZ,Denmark,Denmark - DMAIB,2020/005508,Serious,55°29.75' N,9°35.26' E,,16:35,0,0,,Not Investigated,Yes,,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Ship - Keel,Normal service - In passage - Displacement mode,0.000,0.000,Precautionary area,Arrival,,,,Cargo ship - Solid Cargo - General Cargo,SWEDEN - Kalmar,DENMARK - Kolding,Grounding/stranding - Power,,,n/a
2020-12-06,High sea - Within EEZ,France,France - BEAmer,2020/008022,Serious,48°28.8' N,6°7.6' W,,07:13,0,0,,Not Investigated,Yes,France - SRR CORSEN,,,No,No,No,Ship - Propeller/rudder/thruster,Fishing - Fishing,0.000,0.000,,Mid-water,,,,Fishing vessel,Unknown,FRANCE - Le Guilvinec,Loss of control - Loss of propulsion power,,,No
2020-08-24,Territorial sea,Greece,Greece - HBMCI,2020/006016,Less Serious,35°25.845' N,26°52.889' E,No,12:50,0,0,,Not Investigated,Yes,Greece - Karpathion Sea,,Material damage - Affecting structural integrity of the ship,No,No,No,Ship - Other,Normal service - In passage - Non-displacement mode,0.000,0.000,,Mid-water,,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class A,GREECE - Siteia,GREECE - Kassos,Flooding/Foundering - Flooding - Progressive,,,No
2020-08-24,Territorial sea,Greece,Greece - HBMCI,2020/006016,Less Serious,35°25.845' N,26°52.889' E,No,12:50,0,0,,Not Investigated,Yes,Greece - Karpathion Sea,,Material damage - Affecting structural integrity of the ship,No,No,No,Ship - Other,Normal service - In passage - Non-displacement mode,0.000,0.000,,Mid-water,,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class A,GREECE - Siteia,GREECE - Kassos,Grounding/stranding - Power,,,No
