Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2023-12-23,Internal waters - Port area,Poland,Poland - PKBWM,2024/000790,Serious,54°24.5' N,18°39.8' E,,13:30,0,0,,Not Investigated,Yes,,0,Minor damage (less than material damage),No,No,No,Ship - Hull - Above waterline,Normal service - Manoeuvring,0.000,0.000,Pilotage area,Arrival,No,,,Passenger ship - Passenger and Ro-Ro cargo - International,SWEDEN - Nynashamn,POLAND - Gdansk,Contact - Shore object,,,No
2024-03-12,High sea - Outside EEZ,Norway,Norway - NSIA,2024/001380,Less Serious,75°58' N,34°56' E,,21:00,0,1,,Not Investigated,Yes,,0,,,,,Ship - Deck - Working deck (fishing boat),Fishing - Preparing/stowing fishing gear,,,Unknown,Mid-water,,,,Fishing vessel,Unknown,Unknown,,Body movement under or with physical stress (generally leading to an internal injury) - Pushing; pulling,Accident,
2023-12-21,High sea - Within EEZ,Norway,Norway - NSIA,2024/000080,Serious,56°6.7' N,4°21.4' E,,15:53,0,0,,Not Investigated,Yes,,0,,No,,,Bridge - Wheelhouse,Normal service - In passage - Transitional mode,,,Unknown,Mid-water,No,,,Passenger ship - Only passenger,NORWAY - Floro,UNITED KINGDOM - Tilbury,Contact - Floating object - Other,,,No
2023-12-21,High sea - Within EEZ,Norway,Norway - NSIA,2024/000080,Serious,56°6.7' N,4°21.4' E,,15:53,0,0,,Not Investigated,Yes,,0,,No,,,Ship - Deck - Other,Normal service - In passage - Transitional mode,,,Unknown,Mid-water,No,,,Passenger ship - Only passenger,NORWAY - Floro,UNITED KINGDOM - Tilbury,Contact - Floating object - Other,,,No
2024-02-15,Internal waters - Archipelago fairway,Norway,Norway - NSIA,2024/000953,Less Serious,59°17.13' N,5°38.018' E,,12:20,0,1,,Not Investigated,Yes,,0,,,,,Ship - Deck - Other,Special service - Fish farm operation,,,Unknown,Anchored or alongside,,,,Service ship - Special purpose ship,Unknown,Unknown,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,
2024-01-11,Internal waters - Channel; river,Germany,Germany - BSU,2024/001641,Very serious,53°34.582' N,8°33.452' E,,09:35,1,0,GERMANY - Bremerhaven,Ongoing,Yes,Germany - Weser / Hafen,0,,No,No,No,Ship - Deck - Other,Normal service - Alongside,0.000,0.000,No routeing system,Anchored or alongside,No,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,GERMANY - Bremerhaven,GERMANY - Bremerhaven,,Loss of control (total or partial) of machine; means of transport or handling equipment; handheld tool; object; animal - Loss of control (total or partial) - of means of transport or handling equipment; (motorised or not),Accident,No
2024-02-17,Inland waters - River,Cyprus,Cyprus - MAIC,2024/002005,Less Serious,5°59.77' S,12°47.52' E,No,18:12,0,0,,Not Investigated,Yes,,0,Minor damage (less than material damage),No,No,No,Ship - Keel,Normal service - In passage - Displacement mode,0.000,0.000,Unknown,Departure,No,,,Cargo ship - Solid Cargo - General Cargo,CONGO; THE DEMOCRATIC REPUBLIC OF THE - Matadi,CONGO - Pointe Noire,Grounding/stranding - Power,,,No
2024-01-09,Territorial sea,Portugal,Portugal - GAMA,2024/000635,Less Serious,21°22' N,108°22' E,No,09:00,0,0,,Not Investigated,Yes,,0,,No,No,No,Ship - Forecastle,Normal service - In passage - Displacement mode,0.000,0.000,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - Bulk Carrier,SINGAPORE - Singapore,CHINA - Fangcheng,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,No
2024-02-01,Territorial sea,Netherlands,Netherlands - DSB,2024/001465,Serious,60°25.55' N,22°12.11' E,,20:00,0,0,,Not Investigated,Yes,,0,,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.000,0.000,Pilotage area,Arrival,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,FINLAND - Turku (Abo),Loss of control - Loss of propulsion power,,,n/a
2024-01-17,High sea - Within EEZ,Ireland,Ireland - MCIB,2024/001401,Marine incident,57°16.57' N,5°42.51' W,,09:39,0,0,,Not Investigated,Yes,United Kingdom - Scotland,0,,No,No,No,Ship - Unknown,Fishing - Fishing,0.000,0.000,Unknown,Mid-water,No,,,Fishing vessel,Unknown,Unknown,Loss of control - Loss of propulsion power,,,No
