Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2015-10-28,High sea - Within EEZ,Norway,Norway - NMD,4102/2015,Less Serious,67°17.18' N,14°23.27' E,No,13:30,0,1,,Not Investigated,Yes,Norway - Nordland,,,,,,Ship - Other,Normal service - In passage - Displacement mode,,,No routeing system,Transit,,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,Unknown,Unknown,,Body movement without any physical stress (generally leading to an external injury) - Uncoordinated movements; spurious or untimely actions,Accident,
2015-10-17,Internal waters - Channel; river,Malta,Malta - MSIU,2021/002912,Less Serious,44°40.7' N,4°47.18' E,No,11:15,0,0,,Not Investigated,Yes,,,Minor damage (less than material damage),No,No,No,Ship - Bow - Starboard - Above the waterline,Normal service - Manoeuvring,0.000,0.000,Pilotage area,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,FRANCE - Villefranche,ITALY - Oristano,Loss of control - Loss of directional control,,,No
2015-10-17,Internal waters - Channel; river,Malta,Malta - MSIU,2021/002912,Less Serious,44°40.7' N,4°47.18' E,No,11:15,0,0,,Not Investigated,Yes,,,Minor damage (less than material damage),No,No,No,Ship - Bow - Starboard - Above the waterline,Normal service - Manoeuvring,0.000,0.000,Pilotage area,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,FRANCE - Villefranche,ITALY - Oristano,Contact - Shore object,,,No
2015-10-17,Internal waters - Channel; river,Malta,Malta - MSIU,2021/002912,Less Serious,44°40.7' N,4°47.18' E,No,11:15,0,0,,Not Investigated,Yes,,,Minor damage (less than material damage),No,No,No,Ship - Bow - Starboard - Above the waterline,Normal service - Under pilotage,0.000,0.000,Pilotage area,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,FRANCE - Villefranche,ITALY - Oristano,Loss of control - Loss of directional control,,,No
2015-10-17,Internal waters - Channel; river,Malta,Malta - MSIU,2021/002912,Less Serious,44°40.7' N,4°47.18' E,No,11:15,0,0,,Not Investigated,Yes,,,Minor damage (less than material damage),No,No,No,Ship - Bow - Starboard - Above the waterline,Normal service - Under pilotage,0.000,0.000,Pilotage area,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,FRANCE - Villefranche,ITALY - Oristano,Contact - Shore object,,,No
2015-10-17,Internal waters - Channel; river,Malta,Malta - MSIU,2021/002912,Less Serious,44°40.7' N,4°47.18' E,No,11:15,0,0,,Not Investigated,Yes,,,Minor damage (less than material damage),No,No,No,Ship - Propeller/rudder/thruster,Normal service - Manoeuvring,0.000,0.000,Pilotage area,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,FRANCE - Villefranche,ITALY - Oristano,Loss of control - Loss of directional control,,,No
2015-10-17,Internal waters - Channel; river,Malta,Malta - MSIU,2021/002912,Less Serious,44°40.7' N,4°47.18' E,No,11:15,0,0,,Not Investigated,Yes,,,Minor damage (less than material damage),No,No,No,Ship - Propeller/rudder/thruster,Normal service - Manoeuvring,0.000,0.000,Pilotage area,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,FRANCE - Villefranche,ITALY - Oristano,Contact - Shore object,,,No
2015-10-17,Internal waters - Channel; river,Malta,Malta - MSIU,2021/002912,Less Serious,44°40.7' N,4°47.18' E,No,11:15,0,0,,Not Investigated,Yes,,,Minor damage (less than material damage),No,No,No,Ship - Propeller/rudder/thruster,Normal service - Under pilotage,0.000,0.000,Pilotage area,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,FRANCE - Villefranche,ITALY - Oristano,Loss of control - Loss of directional control,,,No
2015-10-17,Internal waters - Channel; river,Malta,Malta - MSIU,2021/002912,Less Serious,44°40.7' N,4°47.18' E,No,11:15,0,0,,Not Investigated,Yes,,,Minor damage (less than material damage),No,No,No,Ship - Propeller/rudder/thruster,Normal service - Under pilotage,0.000,0.000,Pilotage area,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,FRANCE - Villefranche,ITALY - Oristano,Contact - Shore object,,,No
2015-08-31,Internal waters - Port area,Greece,Greece - HBMCI,3295/2015,Less Serious,38°14.797' N,21°43.591' E,No,20:35,0,0,GREECE - Patras,Not Investigated,Yes,Greece - Patraicos,,Material damage,No,No,No,Engine department - Engine room,Normal service - Berthing,0,0,No routeing system,Arrival,No,,,Service ship - Tug (Towing/Pushing),GREECE - Patras,GREECE - Patras,Loss of control - Loss of directional control,,,No
2015-08-31,Internal waters - Port area,Greece,Greece - HBMCI,3295/2015,Less Serious,38°14.797' N,21°43.591' E,No,20:35,0,0,GREECE - Patras,Not Investigated,Yes,Greece - Patraicos,,Material damage,No,No,No,Ship - Propeller/rudder/thruster,Normal service - Berthing,0,0,No routeing system,Arrival,No,,,Service ship - Tug (Towing/Pushing),GREECE - Patras,GREECE - Patras,Loss of control - Loss of directional control,,,No
2015-12-11,Territorial sea,Germany,Germany - BSU,4231/2015,Marine incident,53°55.304' N,7°24.699' E,No,21:00,0,0,None,Not Investigated,Yes,Germany - Nordsee / Mündungsgebiet Weser,,No damage,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0,0,In a traffic lane,Mid-water,No,,,Cargo ship - Liquid Cargo - Chemical tanker - Type 2,Unknown,NETHERLANDS - Rotterdam,Loss of control - Loss of propulsion power,,,No
2015-12-11,Territorial sea,Germany,Germany - BSU,4231/2015,Marine incident,53°55.304' N,7°24.699' E,No,21:00,0,0,None,Not Investigated,Yes,Germany - Nordsee / Mündungsgebiet Weser,,No damage,No,No,No,Engine department - Engine room,Normal service - Under pilotage,0,0,In a traffic lane,Mid-water,No,,,Cargo ship - Liquid Cargo - Chemical tanker - Type 2,Unknown,NETHERLANDS - Rotterdam,Loss of control - Loss of propulsion power,,,No
2015-11-26,Internal waters - Port area,Greece,Greece - HBMCI,4148/2015,Less Serious,38°18.596' N,21°47.105' E,No,16:00,0,0,GREECE - Rio,Not Investigated,Yes,Greece - Patraicos,,Material damage,No,No,No,Ship - Deck - Poop deck,Normal service - Berthing,0,0,No routeing system,Arrival,No,,,Cargo ship - Solid Cargo - Bulk Carrier,GREECE - Volos,GREECE - Igoumenitsa,Damage / loss of equipment,,,No
2015-12-06,Territorial sea,Italy,Italy - DIGIFEMA,329/2016,Serious,42°1.08' N,15°11.02' E,No,17:22,0,0,,Not Investigated,Yes,Italy - Termoli,,Material damage,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0,0,Unknown,Arrival,No,,,Passenger ship,ITALY - Tremiti,ITALY - Termoli,Fire/Explosion - Fire,,,No
2015-11-17,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,3893/2015,Marine incident,54°6' N,3°13' W,No,13:30,0,0,UNITED KINGDOM - Barrow in Furness,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Engine department - Engine room,Normal service - Alongside,0,0,No routeing system,Anchored or alongside,No,,,Service ship - Other,UNITED KINGDOM - Barrow in Furness,UNITED KINGDOM - Barrow in Furness,Fire/Explosion - Fire,,,No
2015-09-01,Internal waters - Port area,Norway,Norway - NMD,3785/2015,Marine incident,63°47.6' N,8°40.46' E,No,07:45,0,0,NORWAY - Dyroy,Not Investigated,Yes,Norway - Sør-Trøndelag,,No damage,No,No,No,Ship - Over side,Normal service - Manoeuvring,0,0,No routeing system,Departure,No,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class D,NORWAY - Dyroy,NORWAY - Sula,Grounding/stranding - Power,,,No
2015-10-12,Internal waters - Port area,Norway,Norway - NMD,3938/2015,Marine incident,58°58.8' N,5°46.9' E,No,11:38,0,0,NORWAY - Stavanger,Not Investigated,Yes,Norway - Rogaland,,No damage,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0,0,No routeing system,Mid-water,No,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class D,NORWAY - Stavanger,NORWAY - Tau,Loss of control - Loss of propulsion power,,,No
2015-09-20,Territorial sea,United Kingdom,United Kingdom - MAIB,3252/2015,Marine incident,51°50' N,1°14' E,No,12:00,0,0,None,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship - Other,Normal service - In passage,0,0,No routeing system,Mid-water,No,,,Service ship - Special purpose ship,Unknown,Unknown,Collision - With other ship,,,No
2015-09-20,Territorial sea,United Kingdom,United Kingdom - MAIB,3252/2015,Marine incident,51°50' N,1°14' E,No,12:00,0,0,None,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Ship - Other,Normal service - Anchoring,0,0,No routeing system,Mid-water,No,,,Recreational craft - Motorboat,UNITED KINGDOM - The Naze,UNITED KINGDOM - The Naze,Collision - With other ship,,,No
