Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2013-12-21,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,13/1457/MAIBUK,Less Serious,59°49.26' N,22°57.06' W,Material damage,12:15,0,1,FINLAND - Hanko (Hango),Not Investigated,Yes,Finland,,,No,No,No,Engine department - Engine room,Normal service - Alongside,0,0,No routeing system,Anchored or alongside,No,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,GERMANY - Rostock,FINLAND - Hanko (Hango),,Body movement without any physical stress (generally leading to an external injury) - Uncoordinated movements; spurious or untimely actions,Accident,Yes
2014-01-04,High sea - Within EEZ,France,France - BEAmer,58/2014,Serious,48°32.2' N,6°7.8' W,No,01:30,0,0,None,Not Investigated,Yes,France - SRR CORSEN,,Material damage,No,No,Yes,Cargo and tank areas - Open deck cargo space,Normal service - In passage - Displacement mode,0,28,Leaving or approaching TSS,Mid-water,Yes,,,Cargo ship - Solid Cargo - Container Ship,FRANCE - Le Havre,EGYPT - Port Said,Loss of control - Loss of containment,,,n/a
2014-01-03,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,14/0006/MAIBUK,Less Serious,57°30' N,1°46' W,No,09:23,0,1,UNITED KINGDOM - Peterhead,Not Investigated,Yes,United Kingdom - Scotland,,No damage,No,No,No,Ship - Deck - Other,Normal service - Alongside,0,0,No routeing system,Anchored or alongside,No,,,Fishing vessel - Trawler - Stern,UNITED KINGDOM - Peterhead,UNITED KINGDOM - Peterhead,,Body movement under or with physical stress (generally leading to an internal injury) - Other,Accident,No
2013-12-18,Territorial sea,Malta,Malta - MSIU,3/2014,Less Serious,25°16.95' N,56°29.7' E,No,13:00,0,0,None,Not Investigated,Yes,,,No damage,No,No,No,Engine department - Steering gear room,Normal service - Anchoring,0,0,No routeing system,Anchored or alongside,No,,,Cargo ship - Liquid Cargo - Liquified gas tanker - LPG - Type 2G,INDONESIA - Merak; Java,OMAN - Off Fujairah,Loss of control - Loss of directional control,,,No
2013-12-20,High sea - Within EEZ,Malta,Malta - MSIU,2326/2013,Serious,32°30.6' N,124°6.6' E,No,03:10,0,0,None,Finished,Yes,,,Material damage,No,Yes,No,Ship - Over side,Normal service - In passage,0.024,0,No routeing system,Mid-water,No,9158886,UNIVERSAL PRIME,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,CHINA - Qingdao (Tsingtao),SINGAPORE - Singapore,Collision - With other ship,,,No
2013-12-20,High sea - Within EEZ,Malta,Malta - MSIU,2326/2013,Serious,32°30.6' N,124°6.6' E,No,03:10,0,0,None,Finished,Yes,,,Material damage,No,Yes,No,Cargo and tank areas - Tanks - Bunker tank,Normal service - In passage,0.024,0,No routeing system,Mid-water,No,9158886,UNIVERSAL PRIME,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,CHINA - Qingdao (Tsingtao),SINGAPORE - Singapore,Collision - With other ship,,,No
2013-12-20,High sea - Within EEZ,Malta,Malta - MSIU,2326/2013,Serious,32°30.6' N,124°6.6' E,No,03:10,0,0,None,Finished,Yes,,,,No,No,No,Ship - Forecastle,Normal service - In passage,0,0,No routeing system,Unknown,No,,HEDAIYU,Fishing vessel,Unknown,Unknown,Collision - With other ship,,,No
2013-12-27,Internal waters - Port area,Greece,Greece - HBMCI,1317/2014,Marine incident,51°7.867' N,1°34.098' E,No,22:45,0,0,UNITED KINGDOM - Dover,Not Investigated,Yes,,,No damage,No,No,No,Ship - Unknown,Normal service - In passage - Displacement mode,0,0,Separation zone,Mid-water,No,,,Cargo ship - Liquid Cargo - Combination carrier,Unknown,Unknown,Collision - With multiple ships,,,No
2013-12-27,Internal waters - Port area,Greece,Greece - HBMCI,1317/2014,Marine incident,51°7.867' N,1°34.098' E,No,22:45,0,0,UNITED KINGDOM - Dover,Not Investigated,Yes,,,No damage,No,No,No,Ship - Unknown,Normal service - In passage - Displacement mode,0,0,Separation zone,Mid-water,No,,,Cargo ship - Solid Cargo - Container Ship,Unknown,Unknown,Collision - With multiple ships,,,No
2013-12-27,Internal waters - Port area,Greece,Greece - HBMCI,1317/2014,Marine incident,51°7.867' N,1°34.098' E,No,22:45,0,0,UNITED KINGDOM - Dover,Not Investigated,Yes,,,No damage,No,No,No,Ship - Unknown,Normal service - In passage - Displacement mode,0,0,Separation zone,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,Unknown,Collision - With multiple ships,,,No
2013-12-27,Internal waters - Port area,Greece,Greece - HBMCI,1317/2014,Marine incident,51°7.867' N,1°34.098' E,No,22:45,0,0,UNITED KINGDOM - Dover,Not Investigated,Yes,,,No damage,No,No,No,Ship - Unknown,Normal service - In passage - Displacement mode,0,0,Separation zone,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,Unknown,Collision - With multiple ships,,,No
2013-12-27,Internal waters - Port area,Greece,Greece - HBMCI,1317/2014,Marine incident,51°7.867' N,1°34.098' E,No,22:45,0,0,UNITED KINGDOM - Dover,Not Investigated,Yes,,,No damage,No,No,No,Ship - Unknown,Normal service - In passage - Displacement mode,0,0,Separation zone,Mid-water,No,,,Cargo ship - Liquid Cargo - Combination carrier,Unknown,Unknown,Collision - With multiple ships,,,No
2013-12-29,Territorial sea,Ireland,Ireland - MCIB,280/2014,Serious,50°58.3' N,9°13.1' W,No,16:30,0,0,,Not Investigated,Yes,Ireland,,,No,No,No,Engine department - Engine room,Normal service - In passage,0,0,Unknown,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,IRELAND - Aughinish Island; Shannon Foynes,RUSSIAN FEDERATION - St Petersburg (Ex Leningrad),Loss of control - Loss of propulsion power,,,No
2014-01-02,Territorial sea,Denmark,Denmark - DMAIB,333/2014,Serious,53°57.3' N,3°15.5' W,No,19:35,0,0,,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0,0,Unknown,Mid-water,No,,,Service ship - Offshore supply ship,UNITED KINGDOM - Barrow in Furness,None,Loss of control - Loss of propulsion power,,,No
2013-12-31,Territorial sea,Malta,Malta - MSIU,94/2014,Less Serious,41°20.43' N,16°33.37' E,No,20:44,0,0,None,Not Investigated,Yes,Italy,,No damage,No,No,No,Engine department - Engine room,Normal service - In passage,0,0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,ITALY - Bari,ITALY - Chioggia,Loss of control - Loss of propulsion power,,,No
