Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2018-01-13,Territorial sea,Greece,Greece - HBMCI,408/2018,Less Serious,37°27.143' N,24°26.87' E,No,18:00,0,0,None,Not Investigated,Yes,Greece - SouthWest Aegean,,Material damage,No,No,No,Engine department - Engine room,Normal service - In passage - Non-displacement mode,0,0,No routeing system,Mid-water,No,,,Fishing vessel - Gillnetter,TURKEY - Sinop,LIBYAN ARAB JAMAHIRIYA - Other,Loss of control - Loss of propulsion power,,,No
2018-01-03,Internal waters - Archipelago fairway,Sweden,Sweden - SHK,126/2018,Marine incident,60°7' N,20°28.5' E,No,10:45,0,0,None,Not Investigated,Yes,Finland - Ahvenanmeri,,No damage,No,No,No,Accommodation - Other,Normal service - In passage,0,0,No routeing system,Transit,No,,,Passenger ship - Passenger and Ro-Ro cargo,FINLAND - Turku (Abo),FINLAND - Maarianhamina (Mariehamn),Fire/Explosion - Fire,,,No
2018-01-15,Internal waters - Port area,Norway,Norway - NSIA,335/2018,Less Serious,,,No,18:20,0,1,,Not Investigated,Yes,Norway - Møre og Romsdal,,,,,,Cargo and tank areas - Cargo hold,Normal service - Alongside,,,No routeing system,Anchored or alongside,,,,Fishing vessel,None,None,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,
2018-01-13,Territorial sea,United Kingdom,United Kingdom - MAIB,144/2018,Serious,51°3.48' N,1°27.66' E,No,21:06,0,0,,Not Investigated,Yes,United Kingdom - England,,Material damage,No,No,No,Ship - Deck - Poop deck,Special service - Towing/pushing,0,0,Unknown,Mid-water,No,,,Service ship - Tug (Towing/Pushing),NETHERLANDS - Harlingen,ITALY - Messina,Loss of control - Loss of propulsion power,,,No
2018-01-13,Territorial sea,United Kingdom,United Kingdom - MAIB,144/2018,Serious,51°3.48' N,1°27.66' E,No,21:06,0,0,,Not Investigated,Yes,United Kingdom - England,,Material damage,No,No,No,Ship - Deck - Poop deck,Special service - Towing/pushing,0,0,In a traffic lane,Mid-water,No,,,Service ship - Tug (Towing/Pushing),NETHERLANDS - Harlingen,ITALY - Messina,Loss of control - Loss of propulsion power,,,No
2017-12-28,Internal waters - Channel; river,United Kingdom,United Kingdom - MAIB,61/2018,Less Serious,51°33.658' N,2°58.128' W,Material damage,01:30,0,0,,Not Investigated,Yes,United Kingdom - England,,,No,No,No,Ship - Unknown,Normal service - Manoeuvring,0,0,Unknown,Arrival,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,UNITED KINGDOM - Newport,Contact - Shore object,,,No
2017-12-19,Internal waters - Channel; river,Netherlands,Netherlands - DSB,5012/2017,Less Serious,51°16.22' N,3°50.16' E,No,09:07,0,0,NETHERLANDS - Terneuzen,Not Investigated,Yes,Netherlands - Schelde,,,No,No,No,Ship - Unknown,Sailing - Running,0,0,Pilotage area,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,FRANCE - Dunkerque,BELGIUM - Gent (Ghent),Grounding/stranding - Drift,,,No
2018-01-14,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,159/2018,Less Serious,51°42.51' N,5°2.34' W,No,16:00,0,0,UNITED KINGDOM - Milford Haven,Not Investigated,Yes,United Kingdom - Wales,,Material damage,No,No,No,Ship - Other,Other,0,0,Pilotage area,Departure,No,,,Service ship - Special purpose ship,UNITED KINGDOM - Milford Haven,UNITED KINGDOM - Milford Haven,Collision - With other ship,,,No
2018-01-14,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,159/2018,Less Serious,51°42.51' N,5°2.34' W,No,16:00,0,0,UNITED KINGDOM - Milford Haven,Not Investigated,Yes,United Kingdom - Wales,,No damage,No,No,No,Ship - Over side,Normal service - Alongside,0,0,No routeing system,Anchored or alongside,No,,,Fishing vessel - Trawler - Stern,UNITED KINGDOM - Milford Haven,UNITED KINGDOM - Milford Haven,Collision - With other ship,,,No
2018-01-04,Internal waters - Archipelago fairway,Norway,Norway - NSIA,135/2018,Less Serious,,,No,12:00,0,1,,Not Investigated,Yes,Norway - Nordland,,,,,,Engine department - Workshop / stores,Normal service - In passage,,,No routeing system,Transit,,,,Passenger ship - Passenger and general cargo - Class B,NORWAY - Nesna,NORWAY - Sandnessjoen,,Body movement without any physical stress (generally leading to an external injury) - Uncoordinated movements; spurious or untimely actions,Accident,
2018-01-12,Territorial sea,Cyprus,Cyprus - MAIC,1823/2018,Less Serious,52°14.03' N,3°25.08' E,No,07:00,0,0,,Not Investigated,Yes,Netherlands,,Material damage,No,No,No,Engine department - Engine room,Normal service - In passage,0,0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - Container Ship,NETHERLANDS - Rotterdam,UNITED KINGDOM - Grangemouth,Damage / loss of equipment,,,No
2018-01-09,High sea - Within EEZ,Malta,Malta - MSIU,372/2018,Less Serious,36°39.5' N,13°47' E,No,16:42,0,0,None,Not Investigated,Yes,,,Material damage,No,No,No,Engine department - Engine room,Normal service - In passage,0,0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - Container Ship,FRANCE - Le Havre,EGYPT - Port Said,Damage / loss of equipment,,,No
2017-12-28,Internal waters - Archipelago fairway,Norway,Norway - NSIA,16/2018,Less Serious,63°40' N,9°27' E,No,03:50,0,0,,Not Investigated,Yes,Norway - Sør-Trøndelag,,Material damage,No,No,No,Ship - Keel,Normal service - In passage,0,0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,Unknown,Grounding/stranding - Power,,,No
2018-01-13,Internal waters - Channel; river,Germany,Germany - BSU,927/2018,Marine incident,53°54.03' N,7°50.03' E,No,14:58,0,0,None,Not Investigated,Yes,Germany - Nordsee / Mündungsgebiet Weser,,No damage,No,No,No,Engine department - Engine room,Normal service - Manoeuvring,0,0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - Container Ship,Unknown,Unknown,Loss of control - Loss of electrical power,,,No
2017-12-30,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,34/2018,Marine incident,51°7.18' N,1°25.3' E,No,16:30,0,0,UNITED KINGDOM - Dover,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Cargo and tank areas - Open deck cargo space,Normal service - In passage - Displacement mode,0,0,Pilotage area,Arrival,No,,,Passenger ship - Passenger and Ro-Ro cargo - International,FRANCE - Dunkerque,UNITED KINGDOM - Dover,Loss of control - Loss of containment,,,No
2018-01-08,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,133/2018,Less Serious,57°0.224' N,5°49.957' W,No,17:10,0,1,UNITED KINGDOM - Mallaig,Not Investigated,Yes,United Kingdom - Scotland,,,,,,Ship - Deck - Poop deck,Normal service - Alongside,,,No routeing system,Arrival,,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class B,Unknown,UNITED KINGDOM - Mallaig,,Slipping - Stumbling and falling - Fall of persons - Slipping - Stumbling and falling - Fall of person - on the same level,Accident,
2017-12-19,Internal waters - Port area,Cyprus,Cyprus - MAIC,204/2018,Less Serious,35°1' N,138°30' E,No,16:15,0,1,JAPAN - Shimizu,Not Investigated,Yes,,,,,,,Engine department - Engine room,Normal service - Loading,,,No routeing system,Anchored or alongside,,,,Cargo ship - Solid Cargo - Container Ship,JAPAN - Shimizu,JAPAN - Nagoya; Aichi,,Loss of control (total or partial) of machine; means of transport or handling equipment; handheld tool; object; animal - Loss of control (total or partial) - of hand-held tool (motorised or not) or of the material being worked by the tool,Accident,
2018-01-03,High sea - Within EEZ,Malta,Malta - MSIU,208/2018,Less Serious,50°41' N,6°7' W,No,05:05,0,0,None,Not Investigated,Yes,,,Material damage,No,No,No,Cargo and tank areas - Open deck cargo space,Normal service - In passage,0,0,No routeing system,Transit,Yes,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,IRELAND - Dublin; Dublin,NETHERLANDS - Rotterdam,Damage / loss of equipment,,,No
2018-01-03,High sea - Within EEZ,Malta,Malta - MSIU,208/2018,Less Serious,50°41' N,6°7' W,No,05:05,0,0,None,Not Investigated,Yes,,,Material damage,No,No,No,Ship - Over side,Normal service - In passage,0,0,No routeing system,Transit,Yes,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,IRELAND - Dublin; Dublin,NETHERLANDS - Rotterdam,Damage / loss of equipment,,,No
2017-12-27,Territorial sea,France,France - BEAmer,5031/2017,Serious,49°31.02' N,0°32.48' W,No,10:19,0,0,,Not Investigated,Yes,France - SRR JOBOURG,,Material damage,No,No,n/a,Engine department - Engine room,Fishing - Fishing,0,,No routeing system,Mid-water,n/a,,,Fishing vessel - Gillnetter,FRANCE - St Vaast Lahougue,FRANCE - St Vaast Lahougue,Loss of control - Loss of propulsion power,,,No
2017-12-17,Internal waters - Port area,Norway,Norway - NSIA,5022/2017,Less Serious,70°12.5' N,23°11.5' E,No,13:30,0,0,,Not Investigated,Yes,Norway - Finnmark,,Material damage,No,No,No,Ship - Propeller/rudder/thruster,Normal service - Manoeuvring,0,0,No routeing system,Departure,No,,,Passenger ship - Only passenger - Domestic - Class C,NORWAY - Other,NORWAY - Other,Contact - Floating object - Unknown,,,No
2018-01-03,Territorial sea,Poland,Poland - PKBWM,1058/2018,Less Serious,54°26.4' N,18°39.7' E,No,15:20,0,0,,Not Investigated,Yes,Poland,,No damage,No,No,No,,Normal service - Embarking/disembarking people,0,0,Pilotage area,Departure,No,,,Cargo ship - Solid Cargo - General Cargo,POLAND - Gdansk,POLAND - Gdynia,Damage / loss of equipment,,,No
2017-12-29,Territorial sea,Malta,Malta - MSIU,77/2018,Less Serious,1°15.73' N,103°54.43' E,No,14:03,0,0,None,Not Investigated,Yes,,,Material damage,No,No,No,Ship - Deck - Poop deck,Normal service - Anchoring,0,0,No routeing system,Anchored or alongside,No,,,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,Unknown,Unknown,Collision - With other ship,,,No
