Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2013-11-02,Internal waters - Port area,Italy,Italy - DIGIFEMA,2149/2013,Very serious,39°40.181' N,16°31.456' E,No,07:00,0,0,ITALY - Corigliano Calabro,Finished,Yes,Italy - Corigliano Calabro,,Material damage,No,Yes,No,Engine department - Engine room,Normal service - Alongside,4.5,0,Unknown,Anchored or alongside,Yes,,OMBRETTA,Fishing vessel,ITALY - Corigliano Calabro,ITALY - Corigliano Calabro,Flooding/Foundering - Flooding - Massive,,,No
2013-08-22,High sea - Within EEZ,Iceland,Iceland - ICETRA,2019/009498,Serious,66°49' N,24°28' W,,01:00,0,1,,Not Investigated,Yes,Iceland,,,,No,No,Accommodation - Galley spaces,Fishing - Fishing,0.000,0.000,,Mid-water,,,,Fishing vessel,ICELAND - Grundarfjordur,ICELAND - Grundarfjordur,,Deviation by overflow; overturn; leak; flow; vaporisation; emission - Liquid state - leaking; oozing; flowing; splashing; spraying,Accident,
2013-10-13,Territorial sea,Denmark,Denmark - DMAIB,1931/2013,Less Serious,54°10.36' N,7°53.7' E,No,18:15,0,0,GERMANY - Helgoland,Not Investigated,Yes,Germany,,Material damage,No,No,No,Ship - Deck - Boat deck,Normal service - In passage,0,0,No routeing system,Departure,No,,,Service ship - Other,GERMANY - Helgoland,DENMARK - Havneby,Collision - With other ship,,,No
2013-10-13,Territorial sea,Denmark,Denmark - DMAIB,1931/2013,Less Serious,54°10.36' N,7°53.7' E,No,18:15,0,0,GERMANY - Helgoland,Not Investigated,Yes,Germany,,Material damage,No,,,Ship - Deck - Boat deck,Sailing,,,No routeing system,,,,,Recreational craft - Sailboat (aux. motor),Unknown,Unknown,Collision - With other ship,,,No
2013-09-23,Internal waters,Norway,Norway - NMD,1794/2013,Less Serious,62°35' N,6°14.32' E,No,07:00,0,0,,Not Investigated,Yes,Norway - Møre og Romsdal,,,No,No,No,,Normal service - In passage - Transitional mode,0,0,No routeing system,Mid-water,No,,,Cargo ship - Liquid Cargo - Tanker (liquid non-flammable),NORWAY - Aalesund,NORWAY - Aalesund,Grounding/stranding - Power,,,No
2013-09-17,High sea - Within EEZ,France,France - BEAmer,652/2014,Less Serious,49°28' S,70°17' E,No,13:01,0,1,FRENCH SOUTHERN TERRITORIES - Other,Not Investigated,Yes,France - SRR REUNION,,,,,,Ship,Fishing,,,,Mid-water,,,,Fishing vessel - Trawler,FRENCH SOUTHERN TERRITORIES - Other,FRENCH SOUTHERN TERRITORIES - Other,,Loss of control (total or partial) of machine; means of transport or handling equipment; handheld tool; object; animal - Loss of control (total or partial) - of machine (including unwanted start-up) or of the material being worked by the machine,Accident,
2013-11-04,Internal waters - Channel; river,United Kingdom,United Kingdom - MAIB,13/1417/MAIBUK,Marine incident,50°41.5' N,1°34' W,No,00:00,0,0,,Not Investigated,Yes,United Kingdom - England,,No damage,No,No,No,Accommodation - Galley spaces,Normal service - In passage,0,0,No routeing system,Transit,n/a,,,Recreational craft - Sailboat (sail only),UNITED KINGDOM - Cowes,UNITED KINGDOM - Cowes,Fire/Explosion - Explosion,,,No
2013-09-13,High sea - Outside EEZ,United Kingdom,United Kingdom - MAIB,13/1071/MAIBUK,Less Serious,16°40' S,166°5' E,No,01:15,0,1,,Not Investigated,Yes,,,,n/a,No,No,Accommodation - Cabin space - crew,Normal service - In passage,0,0,No routeing system,Mid-water,No,,,Passenger ship - Only passenger,AUSTRALIA - Sydney,VANUATU - Luganville Bay,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,No
2013-08-09,Territorial sea,Spain,Spain - CIAIM,1381/2013,Serious,43°43' N,7°20.8' W,No,17:30,0,0,None,Not Investigated,Yes,Spain - Atlántico - Galicia,,Material damage,No,No,No,Ship - Over side,Fishing - Towing fishing gear,0,0,No routeing system,Transit,No,,,Fishing vessel - Trawler - Stern,SPAIN - Burela,SPAIN - Burela,Collision - With other ship,,,No
2013-08-09,Territorial sea,Spain,Spain - CIAIM,1381/2013,Serious,43°43' N,7°20.8' W,No,17:30,0,0,None,Not Investigated,Yes,Spain - Atlántico - Galicia,,Material damage,No,,,Ship - Deck - Forecastle deck,Sailing - Close reaching,,,No routeing system,,,,,Recreational craft,SPAIN - A Coruña,SPAIN - Vivero,Collision - With other ship,,,No
