Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2017-01-03,Territorial sea,Italy,Italy - DIGIFEMA,2012/2017,Very serious,35°26.06' N,12°40.06' E,No,14:00,1,3,None,Exceptionally not investigated,Yes,Italy - Porto Empedocle,,Material damage,Yes,No,No,Engine department - Engine room,Fishing - Fishing,0,0,Unknown,Mid-water,No,,,Fishing vessel - Trawler - Stern,ITALY - Lampedusa,ITALY - Lampedusa,Flooding/Foundering - Foundering,,,No
2017-01-06,Territorial sea,United Kingdom,United Kingdom - MAIB,123/2017,Less Serious,41°21.09' S,176°14.09' E,No,06:00,0,1,None,Not Investigated,Yes,,,,,,,Accommodation - Bathroom; shower; toilet,Normal service - In passage - Displacement mode,,,Unknown,Mid-water,,,,Passenger ship - Only passenger - Domestic - Class A,NEW ZEALAND - Tauranga,NEW ZEALAND - Wellington,,Slipping - Stumbling and falling - Fall of persons - Slipping - Stumbling and falling - Fall of person - on the same level,Accident,
2017-01-03,Territorial sea,Gibraltar,Gibraltar - UK - MAICO,2019/008556,Less Serious,59°32' N,20°0' E,,17:45,0,0,,Not Investigated,Yes,,,,No,No,No,Ship - Deck - Other,Normal service - In passage - Displacement mode,0.000,0.000,,,,,,Cargo ship - Solid Cargo - General Cargo,GERMANY - Hamburg,FINLAND - Vaasa (Vasa),Loss of control - Loss of directional control,,,No
2017-01-02,Internal waters - Port area,Italy,Italy - DIGIFEMA,1930/2017,Serious,39°33.092' N,2°37.568' E,No,15:15,0,1,SPAIN - Palma de Mallorca,Not Investigated,Yes,Italy - Savona,,,,,,Ship - Deck - Boat deck,Normal service - Alongside,,,Unknown,Anchored or alongside,,,,Passenger ship - Only passenger - International,SPAIN - Palma de Mallorca,SPAIN - Barcelona,,Loss of control (total or partial) of machine; means of transport or handling equipment; handheld tool; object; animal - Loss of control (total or partial) - of hand-held tool (motorised or not) or of the material being worked by the tool,Accident,
2017-01-05,Internal waters - Port area,Belgium,Belgium - FEBIMA,1017/2017,Serious,51°14.28' N,4°24.26' E,No,09:10,0,0,BELGIUM - Antwerpen,Not Investigated,Yes,Belgium,,No damage,No,Yes,No,,Normal service - Bunkering mode - Truck-to-Ship,0.01,0,Unknown,Anchored or alongside,No,,,Cargo ship - Solid Cargo - Bulk Carrier,BELGIUM - Antwerpen,Unknown,,,,No
2017-01-03,Internal waters - Port area,Greece,Greece - HBMCI,197/2017,Less Serious,40°56.041' N,24°24.682' E,No,16:10,0,0,GREECE - Kavala,Not Investigated,Yes,Greece - Thrakico,,Material damage,No,No,No,Engine department - Engine room,Normal service - Manoeuvring,0,0,No routeing system,Departure,No,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class B,GREECE - Kastro (Lemnos Island),GREECE - Lavrion (Laurium),Loss of control - Loss of propulsion power,,,No
2017-01-09,High sea - n/a,Norway,Norway - NSIA,3990/2017,Less Serious,,,No,00:00,0,1,,Not Investigated,Yes,,,,,,,Ship - Unknown,Fishing - Preparing/stowing fishing gear,,,No routeing system,Mid-water,,,,Fishing vessel - Liner,Unknown,Unknown,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,
2016-12-22,High sea - n/a,Cyprus,Cyprus - MAIC,639/2017,Marine incident,59°47.04' N,4°47.02' E,No,21:45,0,0,None,Not Investigated,Yes,,,,No,No,No,Engine department - Engine room,Normal service - In passage - Transitional mode,0,0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,NORWAY - Halsvik,Unknown,Damage / loss of equipment,,,No
2017-01-09,Internal waters - Port area,United Kingdom,United Kingdom - MAIB,424/2017,Marine incident,55°33.02' N,4°41' W,No,11:45,0,0,UNITED KINGDOM - Troon,Not Investigated,Yes,United Kingdom - Scotland,,No damage,No,No,No,,Normal service - Berthing,0,0,Pilotage area,Anchored or alongside,No,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class B,UNITED KINGDOM - Ardrossan,UNITED KINGDOM - Troon,Contact - Shore object,,,No
2017-01-06,Internal waters - Port area,Malta,Malta - MSIU,902/2017,Serious,35°53.08' N,14°29.98' E,No,06:55,0,0,MALTA - Marsa,Not Investigated,Yes,Malta,,No damage,No,No,Yes,Cargo and tank areas - Tanks - Cargo tank,Normal service - Alongside,0,0.024,Pilotage area,Anchored or alongside,No,,,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,MALTA - Marsaxlokk,MALTA - Marsa,Loss of control - Loss of containment,,,No
