Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air
2024-12-21,Territorial sea,Malta,Malta - MSIU,2024/005427,Less Serious,40°0.4' N,26°6.5' E,No,23:40,0,0,,Not Investigated,Yes,,0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - Manoeuvring,0.000,0.000,In a traffic lane,Transit,No,,,Cargo ship - Solid Cargo - Bulk Carrier,ITALY - Olbia,TURKEY - Samsun,Damage / loss of equipment,,,No
2025-01-14,Internal waters - Port area,Cyprus,Cyprus - MAIC,2025/001302,Less Serious,53°19.235' N,4°37.079' W,No,05:00,0,0,UNITED KINGDOM - Holyhead,Not Investigated,Yes,,0,Minor damage (less than material damage),No,No,No,Cargo and tank areas - Ro-Ro vehicle deck ramp,Normal service - Berthing,0.000,0.000,Recommended route,Arrival,No,,,Passenger ship - Passenger and Ro-Ro cargo,IRELAND - Dublin; Dublin,UNITED KINGDOM - Holyhead,Contact - Shore object,,,No
2024-12-22,Internal waters - Port area,Norway,Norway - NSIA,2025/000077,Less Serious,61°6.189' N,5°30.373' E,,19:03,0,0,,Not Investigated,Yes,,0,,No,,,Ship - Propeller/rudder/thruster,Normal service - In passage - Transitional mode,,,Unknown,Arrival,No,,,Passenger ship - Only passenger,Unknown,NORWAY - Other,Contact - Floating object - Unknown,,,No
2025-01-03,High sea - n/a,Germany,Germany - BSU,2025/000530,Less Serious,30°6.25' N,122°38.45' E,,11:00,0,1,,Not Investigated,Yes,Germany - Weltweit (nicht EU),0,,No,No,No,Ship - Deck - Open deck,Normal service - At anchor,0.000,0.000,Unknown,Mid-water,,,,Cargo ship - Solid Cargo - Container Ship,Unknown,Unknown,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,
2025-01-05,Territorial sea,Cyprus,Cyprus - MAIC,2025/000074,Less Serious,50°7.54' N,5°3.58' W,No,19:12,0,0,,Not Investigated,Yes,,0,Minor damage (less than material damage),No,No,No,Cargo and tank areas - Chain locker,Normal service - At anchor,0.000,0.000,Unknown,Anchored or alongside,No,,,Passenger ship - Passenger and Ro-Ro cargo,UNITED KINGDOM - Dover,UNITED KINGDOM - Falmouth,Damage / loss of equipment,,,No
2025-01-13,High sea - Outside EEZ,Netherlands,Netherlands - DSB,2025/005907,Less Serious,61°46.1' N,19°45.35' E,,08:45,0,0,,Not Investigated,Yes,,0,,No,,,Engine department - Engine room,Sailing - Cruising using engine,,,In a traffic lane,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,Unknown,FINLAND - Tornio (Tornea),Loss of control - Loss of propulsion power,,,No
2025-01-08,Internal waters - Port area,Denmark,Denmark - DMAIB,2025/000127,Less Serious,56°27' N,10°3' E,,21:32,0,0,DENMARK - Randers,Not Investigated,Yes,,0,Material damage - Affecting marine infrastructure or other ship,No,No,No,Ship - Deck - Main deck,Normal service - Alongside,0.000,0.000,No routeing system,Anchored or alongside,No,,,Cargo ship - Liquid Cargo - Chemical tanker,NORWAY - Fredrikstad,DENMARK - Aarhus,Loss of control - Loss of directional control,,,n/a
2024-12-25,High sea - Within EEZ,Belgium,Belgium - FEBIMA,2025/000069,Less Serious,50°13' N,0°35' E,,04:00,0,0,,Not Investigated,Yes,,0,,,No,No,Ship - Deck - Working deck (fishing boat),Fishing - Gutting/handling/stowing fish,0.000,0.000,Unknown,Unknown,,,,Fishing vessel,Unknown,Unknown,,Breakage; bursting; splitting; slipping; fall; collapse of Material Agent - Slip; fall; collapse of Material Agent - from above (falling on the victim),Accident,
2024-12-16,High sea - Within EEZ,France,France - BEAmer,2024/005401,Serious,49°37.6' N,7°46.6' W,,12:13,0,0,,Not Investigated,Yes,United Kingdom - England,0,,No,No,No,Ship - Hull - Under waterline,Fishing - Fishing,0.000,0.000,Unknown,Unknown,No,,,Fishing vessel - Trawler - Stern,FRANCE - Loctudy,FRANCE - Loctudy,Loss of control - Loss of propulsion power,,,No
2024-12-20,Internal waters - Port area,Italy,Italy - DIGIFEMA,2024/005443,Serious,43°40' N,13°23' E,,03:00,0,1,,Not Investigated,Yes,Italy - Ancona,0,,,No,No,Bridge - Other space,Normal service - Loading - Shore-to-ship,0.000,0.000,Unknown,Arrival,,,,Fishing vessel - Other,ITALY - Ancona,ITALY - Ancona,,Body movement under or with physical stress (generally leading to an internal injury) - Other,Accident,
