zone,annee,trimestre,trimestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,2,2023-T2,Diminution,62.2,7.3,62.2,30.5,Diminution,True
z_24.0_-18.0,2024,2,2024-T2,Diminution,87.2,4.5,87.2,8.3,Diminution,True
z_24.0_-18.0,2025,2,2025-T2,Diminution,77.1,4.0,77.1,18.9,Diminution,True
z_24.0_-19.5,2023,2,2023-T2,Diminution,57.5,5.6,57.5,36.9,Diminution,True
z_24.0_-19.5,2024,2,2024-T2,Diminution,91.8,1.5,91.8,6.7,Diminution,True
z_24.0_-19.5,2025,2,2025-T2,Diminution,91.8,1.5,91.8,6.7,Diminution,True
z_27.0_-15.0,2023,2,2023-T2,Diminution,64.0,5.1,64.0,30.9,Augmentation,False
z_27.0_-15.0,2023,3,2023-T3,Diminution,73.7,3.3,73.7,23.0,Diminution,True
z_27.0_-15.0,2024,2,2024-T2,Diminution,75.4,2.9,75.4,21.7,Diminution,True
z_27.0_-15.0,2024,3,2024-T3,Diminution,89.8,2.6,89.8,7.6,Diminution,True
z_27.0_-15.0,2025,2,2025-T2,Diminution,81.6,4.1,81.6,14.3,Diminution,True
z_27.0_-15.0,2025,3,2025-T3,Diminution,89.8,2.6,89.8,7.6,Diminution,True
z_27.0_-16.5,2023,1,2023-T1,Augmentation,68.7,68.7,8.3,23.0,Stable,False
z_27.0_-16.5,2023,2,2023-T2,Augmentation,62.1,62.1,12.4,25.5,Diminution,False
z_27.0_-16.5,2023,3,2023-T3,Augmentation,58.2,58.2,18.7,23.1,Diminution,False
z_27.0_-16.5,2023,4,2023-T4,Diminution,40.9,32.1,40.9,27.0,Stable,False
z_27.0_-16.5,2024,1,2024-T1,Diminution,34.2,34.1,34.2,31.7,Augmentation,False
z_27.0_-16.5,2024,2,2024-T2,Augmentation,41.9,41.9,24.9,33.2,Augmentation,True
z_27.0_-16.5,2024,3,2024-T3,Augmentation,64.4,64.4,12.0,23.6,Diminution,False
z_27.0_-16.5,2024,4,2024-T4,Augmentation,67.6,67.6,13.7,18.7,Augmentation,True
z_27.0_-16.5,2025,1,2025-T1,Augmentation,50.4,50.4,13.5,36.2,Augmentation,True
z_27.0_-16.5,2025,2,2025-T2,Augmentation,67.9,67.9,8.0,24.1,Diminution,False
z_27.0_-16.5,2025,3,2025-T3,Augmentation,66.0,66.0,15.0,19.0,Diminution,False
z_27.0_-16.5,2025,4,2025-T4,Augmentation,52.8,52.8,14.7,32.5,Diminution,False
z_28.5_-13.5,2023,2,2023-T2,Diminution,90.0,1.3,90.0,8.7,Diminution,True
z_28.5_-13.5,2023,3,2023-T3,Diminution,76.4,6.7,76.4,16.9,Diminution,True
z_28.5_-13.5,2024,2,2024-T2,Diminution,90.0,1.3,90.0,8.7,Stable,False
z_28.5_-13.5,2024,3,2024-T3,Diminution,69.3,7.2,69.3,23.5,Diminution,True
z_28.5_-13.5,2025,2,2025-T2,Diminution,65.8,4.1,65.8,30.1,Diminution,True
z_28.5_-13.5,2025,3,2025-T3,Diminution,65.9,6.6,65.9,27.5,Diminution,True
z_28.5_-15.0,2023,1,2023-T1,Stable,46.4,10.8,42.8,46.4,Diminution,False
z_28.5_-15.0,2023,2,2023-T2,Diminution,78.2,2.8,78.2,19.0,Stable,False
z_28.5_-15.0,2023,3,2023-T3,Diminution,63.3,10.7,63.3,25.9,Diminution,True
z_28.5_-15.0,2023,4,2023-T4,Diminution,46.1,15.9,46.1,38.0,Stable,False
z_28.5_-15.0,2024,1,2024-T1,Stable,45.2,18.4,36.4,45.2,Diminution,False
z_28.5_-15.0,2024,2,2024-T2,Diminution,50.3,11.9,50.3,37.8,Stable,False
z_28.5_-15.0,2024,3,2024-T3,Diminution,54.9,11.0,54.9,34.1,Diminution,True
z_28.5_-15.0,2024,4,2024-T4,Stable,43.6,21.5,34.9,43.6,Diminution,False
z_28.5_-15.0,2025,1,2025-T1,Stable,38.9,24.2,36.9,38.9,Diminution,False
z_28.5_-15.0,2025,2,2025-T2,Diminution,48.4,11.6,48.4,40.1,Augmentation,False
z_28.5_-15.0,2025,3,2025-T3,Stable,40.5,20.5,39.0,40.5,Diminution,False
z_28.5_-15.0,2025,4,2025-T4,Stable,44.7,17.3,38.1,44.7,Diminution,False
z_28.5_-16.5,2023,1,2023-T1,Stable,44.3,18.2,37.4,44.3,Diminution,False
z_28.5_-16.5,2023,3,2023-T3,Diminution,54.4,15.1,54.4,30.5,Diminution,True
z_28.5_-16.5,2023,4,2023-T4,Stable,45.9,18.8,35.2,45.9,Diminution,False
z_28.5_-16.5,2024,1,2024-T1,Stable,43.1,18.6,38.3,43.1,Diminution,False
z_28.5_-16.5,2024,3,2024-T3,Diminution,45.8,18.0,45.8,36.2,Diminution,True
z_28.5_-16.5,2024,4,2024-T4,Stable,50.7,24.6,24.7,50.7,Stable,True
z_28.5_-16.5,2025,1,2025-T1,Stable,48.8,29.9,21.3,48.8,Diminution,False
z_28.5_-16.5,2025,3,2025-T3,Stable,44.1,22.9,32.9,44.1,Diminution,False
z_28.5_-16.5,2025,4,2025-T4,Stable,47.1,31.4,21.5,47.1,Diminution,False
z_30.0_-10.5,2023,2,2023-T2,Diminution,62.6,7.3,62.6,30.1,Diminution,True
z_30.0_-10.5,2023,3,2023-T3,Diminution,71.4,4.0,71.4,24.6,Diminution,True
z_30.0_-10.5,2024,2,2024-T2,Diminution,52.9,8.5,52.9,38.6,Diminution,True
z_30.0_-10.5,2024,3,2024-T3,Diminution,55.6,7.9,55.6,36.6,Stable,False
z_30.0_-10.5,2025,2,2025-T2,Diminution,63.7,7.9,63.7,28.3,Diminution,True
z_30.0_-10.5,2025,3,2025-T3,Diminution,65.6,5.2,65.6,29.2,Diminution,True
z_30.0_-13.5,2023,1,2023-T1,Diminution,69.9,5.4,69.9,24.7,Diminution,True
z_30.0_-13.5,2023,2,2023-T2,Diminution,87.3,1.4,87.3,11.3,Diminution,True
z_30.0_-13.5,2024,1,2024-T1,Diminution,66.2,10.1,66.2,23.7,Stable,False
z_30.0_-13.5,2024,2,2024-T2,Diminution,73.8,1.9,73.8,24.3,Diminution,True
z_30.0_-13.5,2025,1,2025-T1,Diminution,58.0,4.4,58.0,37.7,Stable,False
z_30.0_-13.5,2025,2,2025-T2,Diminution,87.3,1.4,87.3,11.3,Diminution,True
z_30.0_-15.0,2023,1,2023-T1,Diminution,79.9,3.3,79.9,16.8,Diminution,True
z_30.0_-15.0,2023,2,2023-T2,Diminution,76.0,2.9,76.0,21.1,Diminution,True
z_30.0_-15.0,2024,1,2024-T1,Diminution,81.7,4.0,81.7,14.4,Diminution,True
z_30.0_-15.0,2024,2,2024-T2,Diminution,85.1,3.4,85.1,11.4,Diminution,True
z_30.0_-15.0,2025,1,2025-T1,Diminution,74.1,3.2,74.1,22.7,Diminution,True
z_30.0_-15.0,2025,2,2025-T2,Diminution,54.6,6.2,54.6,39.2,Diminution,True
z_30.0_28.5,2023,1,2023-T1,Diminution,60.6,10.4,60.6,29.0,Diminution,True
z_30.0_28.5,2023,2,2023-T2,Diminution,69.5,7.8,69.5,22.8,Augmentation,False
z_30.0_28.5,2023,3,2023-T3,Diminution,50.3,5.0,50.3,44.7,Diminution,True
z_30.0_28.5,2023,4,2023-T4,Diminution,61.7,11.8,61.7,26.5,Diminution,True
z_30.0_28.5,2024,1,2024-T1,Diminution,57.3,11.8,57.3,30.9,Diminution,True
z_30.0_28.5,2024,2,2024-T2,Diminution,61.3,7.4,61.3,31.3,Diminution,True
z_30.0_28.5,2024,3,2024-T3,Diminution,71.2,3.4,71.2,25.4,Diminution,True
z_30.0_28.5,2024,4,2024-T4,Diminution,71.1,10.4,71.1,18.4,Diminution,True
z_30.0_28.5,2025,1,2025-T1,Diminution,65.9,9.1,65.9,25.1,Diminution,True
z_30.0_28.5,2025,2,2025-T2,Diminution,62.8,9.4,62.8,27.8,Diminution,True
z_30.0_28.5,2025,3,2025-T3,Diminution,63.4,3.8,63.4,32.8,Diminution,True
z_30.0_28.5,2025,4,2025-T4,Diminution,67.2,12.4,67.2,20.4,Diminution,True
z_30.0_30.0,2023,1,2023-T1,Diminution,61.0,17.3,61.0,21.7,Diminution,True
z_30.0_30.0,2023,3,2023-T3,Diminution,85.2,5.4,85.2,9.4,Diminution,True
z_30.0_30.0,2024,1,2024-T1,Diminution,76.0,9.0,76.0,15.1,Diminution,True
z_30.0_30.0,2024,3,2024-T3,Diminution,77.8,3.1,77.8,19.1,Diminution,True
z_30.0_30.0,2025,1,2025-T1,Diminution,76.0,9.0,76.0,15.1,Diminution,True
z_30.0_30.0,2025,3,2025-T3,Diminution,76.4,3.4,76.4,20.2,Diminution,True
z_30.0_31.5,2023,1,2023-T1,Stable,56.6,25.9,17.5,56.6,Stable,True
z_30.0_31.5,2023,2,2023-T2,Stable,56.6,26.5,16.8,56.6,Augmentation,False
z_30.0_31.5,2023,3,2023-T3,Stable,48.9,33.8,17.3,48.9,Stable,True
z_30.0_31.5,2023,4,2023-T4,Stable,40.8,29.6,29.6,40.8,Diminution,False
z_30.0_31.5,2024,1,2024-T1,Stable,56.4,26.5,17.1,56.4,Diminution,False
z_30.0_31.5,2024,2,2024-T2,Stable,51.1,31.0,17.8,51.1,Diminution,False
z_30.0_31.5,2024,3,2024-T3,Stable,52.7,27.1,20.3,52.7,Augmentation,False
z_30.0_31.5,2024,4,2024-T4,Stable,37.1,28.0,34.9,37.1,Diminution,False
z_30.0_31.5,2025,1,2025-T1,Stable,44.6,34.8,20.6,44.6,Diminution,False
z_30.0_31.5,2025,2,2025-T2,Stable,54.2,24.2,21.6,54.2,Stable,True
z_30.0_31.5,2025,3,2025-T3,Stable,52.1,25.6,22.3,52.1,Diminution,False
