fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,69.7,70.6,63.5
2,2017-2018,2019,2006,1060,68.5,69.0,59.8
3,2017-2019,2020,3066,1092,72.1,70.3,63.0
4,2017-2020,2021,4158,1115,75.2,72.0,65.6
5,2017-2021,2022,5273,571,78.8,77.6,70.7
