fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2016-2016,2017,2844,3161,56.7,54.7,46.5
2,2016-2017,2018,6005,3419,57.5,53.9,46.2
3,2016-2018,2019,9424,3611,57.9,55.4,46.3
4,2016-2019,2020,13035,3783,56.0,57.3,45.1
5,2016-2020,2021,16818,3929,64.8,59.9,49.2
6,2016-2021,2022,20747,3669,67.7,59.1,49.9
