economie,annee,type_navire,nombre_navires
Asie,2021,Navires de charge classique,11114
Asie,2021,Porte-conteneurs,2335
Asie,2021,Autres navires,24636
Asie,2022,Flotte totale,49933
Asie,2022,Petroliers,5997
Asie,2022,Vraquiers,4591
Asie,2022,Navires de charge classique,11267
Asie,2022,Porte-conteneurs,2405
Asie,2022,Autres navires,25673
Asie,2023,Flotte totale,51550
Asie,2023,Petroliers,6025
Asie,2023,Vraquiers,4797
Asie,2023,Navires de charge classique,11469
Asie,2023,Porte-conteneurs,2711
Asie,2023,Autres navires,26548
Asie,2024,Flotte totale,53389
Asie,2024,Petroliers,6157
Asie,2024,Vraquiers,4996
Asie,2024,Navires de charge classique,11866
Asie,2024,Porte-conteneurs,2846
Asie,2024,Autres navires,27524
Asie,2025,Flotte totale,54312
Asie,2025,Petroliers,6161
Asie,2025,Vraquiers,4927
Asie,2025,Navires de charge classique,11813
Asie,2025,Porte-conteneurs,2983
Asie,2025,Autres navires,28428
Asie,2026,Flotte totale,55706
Asie,2026,Petroliers,6297
Asie,2026,Vraquiers,4943
Asie,2026,Navires de charge classique,11880
Asie,2026,Porte-conteneurs,3107
Asie,2026,Autres navires,29479
Oceanie,2011,Flotte totale,3368
Oceanie,2011,Petroliers,659
Oceanie,2011,Vraquiers,579
Oceanie,2011,Navires de charge classique,467
Oceanie,2011,Porte-conteneurs,245
Oceanie,2011,Autres navires,1418
Oceanie,2012,Flotte totale,3554
Oceanie,2012,Petroliers,553
Oceanie,2012,Vraquiers,670
Oceanie,2012,Navires de charge classique,456
Oceanie,2012,Porte-conteneurs,238
Oceanie,2012,Autres navires,1637
Oceanie,2013,Flotte totale,3880
Oceanie,2013,Petroliers,566
Oceanie,2013,Vraquiers,824
Oceanie,2013,Navires de charge classique,501
Oceanie,2013,Porte-conteneurs,249
Oceanie,2013,Autres navires,1740
Oceanie,2014,Flotte totale,4167
Oceanie,2014,Petroliers,600
Oceanie,2014,Vraquiers,925
Oceanie,2014,Navires de charge classique,518
Oceanie,2014,Porte-conteneurs,267
Oceanie,2014,Autres navires,1857
Oceanie,2015,Flotte totale,4650
Oceanie,2015,Petroliers,732
Oceanie,2015,Vraquiers,1046
Oceanie,2015,Navires de charge classique,565
Oceanie,2015,Porte-conteneurs,297
Oceanie,2015,Autres navires,2010
Oceanie,2016,Flotte totale,5050
Oceanie,2016,Petroliers,806
Oceanie,2016,Vraquiers,1191
Oceanie,2016,Navires de charge classique,599
Oceanie,2016,Porte-conteneurs,312
Oceanie,2016,Autres navires,2142
Oceanie,2017,Flotte totale,5455
Oceanie,2017,Petroliers,887
Oceanie,2017,Vraquiers,1355
Oceanie,2017,Navires de charge classique,688
Oceanie,2017,Porte-conteneurs,285
Oceanie,2017,Autres navires,2240
Oceanie,2018,Flotte totale,5738
Oceanie,2018,Petroliers,971
Oceanie,2018,Vraquiers,1527
Oceanie,2018,Navires de charge classique,669
Oceanie,2018,Porte-conteneurs,284
Oceanie,2018,Autres navires,2287
Oceanie,2019,Flotte totale,5783
Oceanie,2019,Petroliers,987
Oceanie,2019,Vraquiers,1623
Oceanie,2019,Navires de charge classique,659
Oceanie,2019,Porte-conteneurs,287
Oceanie,2019,Autres navires,2227
Oceanie,2020,Flotte totale,5976
Oceanie,2020,Petroliers,1041
Oceanie,2020,Vraquiers,1738
Oceanie,2020,Navires de charge classique,670
Oceanie,2020,Porte-conteneurs,273
Oceanie,2020,Autres navires,2254
Oceanie,2021,Flotte totale,6112
Oceanie,2021,Petroliers,1133
Oceanie,2021,Vraquiers,1818
Oceanie,2021,Navires de charge classique,627
Oceanie,2021,Porte-conteneurs,274
Oceanie,2021,Autres navires,2260
Oceanie,2022,Flotte totale,6432
Oceanie,2022,Petroliers,1187
Oceanie,2022,Vraquiers,1974
Oceanie,2022,Navires de charge classique,679
Oceanie,2022,Porte-conteneurs,297
Oceanie,2022,Autres navires,2295
Oceanie,2023,Flotte totale,6770
Oceanie,2023,Petroliers,1207
Oceanie,2023,Vraquiers,2047
Oceanie,2023,Navires de charge classique,762
Oceanie,2023,Porte-conteneurs,298
Oceanie,2023,Autres navires,2456
Oceanie,2024,Flotte totale,6996
Oceanie,2024,Petroliers,1241
Oceanie,2024,Vraquiers,2128
Oceanie,2024,Navires de charge classique,793
Oceanie,2024,Porte-conteneurs,299
Oceanie,2024,Autres navires,2535
Oceanie,2025,Flotte totale,6961
Oceanie,2025,Petroliers,1176
Oceanie,2025,Vraquiers,2104
Oceanie,2025,Navires de charge classique,786
Oceanie,2025,Porte-conteneurs,300
Oceanie,2025,Autres navires,2595
Oceanie,2026,Flotte totale,7122
Oceanie,2026,Petroliers,1210
Oceanie,2026,Vraquiers,2137
Oceanie,2026,Navires de charge classique,801
Oceanie,2026,Porte-conteneurs,280
Oceanie,2026,Autres navires,2694
Afghanistan,2011,Flotte totale,1
Afghanistan,2011,Petroliers,0
Afghanistan,2011,Vraquiers,0
Afghanistan,2011,Navires de charge classique,0
Afghanistan,2011,Porte-conteneurs,0
Afghanistan,2011,Autres navires,1
Afghanistan,2012,Flotte totale,1
Afghanistan,2012,Petroliers,0
Afghanistan,2012,Vraquiers,0
Afghanistan,2012,Navires de charge classique,0
Afghanistan,2012,Porte-conteneurs,0
Afghanistan,2012,Autres navires,1
Afghanistan,2013,Flotte totale,3
Afghanistan,2013,Petroliers,0
Afghanistan,2013,Vraquiers,0
Afghanistan,2013,Navires de charge classique,0
Afghanistan,2013,Porte-conteneurs,0
Afghanistan,2013,Autres navires,3
Albanie,2011,Flotte totale,68
Albanie,2011,Petroliers,0
Albanie,2011,Vraquiers,0
Albanie,2011,Navires de charge classique,65
Albanie,2011,Porte-conteneurs,0
Albanie,2011,Autres navires,3
Albanie,2012,Flotte totale,66
Albanie,2012,Petroliers,0
Albanie,2012,Vraquiers,0
Albanie,2012,Navires de charge classique,60
Albanie,2012,Porte-conteneurs,0
Albanie,2012,Autres navires,6
Albanie,2013,Flotte totale,67
Albanie,2013,Petroliers,0
Albanie,2013,Vraquiers,0
Albanie,2013,Navires de charge classique,60
Albanie,2013,Porte-conteneurs,0
Albanie,2013,Autres navires,7
Albanie,2014,Flotte totale,59
Albanie,2014,Petroliers,0
