fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2016-2016,2017,2844,3161,58.9,52.8,47.3
2,2016-2017,2018,6005,3419,60.6,52.5,47.6
3,2016-2018,2019,9424,3611,59.8,54.3,47.3
4,2016-2019,2020,13035,3783,60.9,58.1,48.1
5,2016-2020,2021,16818,3929,65.7,58.2,50.5
6,2016-2021,2022,20747,3669,69.1,56.4,49.8
