zone,annee,semestre,semestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,1,2023-S1,Stable,98.7,0.1,1.3,98.7,Stable,True
z_24.0_-18.0,2024,1,2024-S1,Stable,98.7,0.1,1.3,98.7,Stable,True
z_24.0_-18.0,2025,1,2025-S1,Stable,98.2,0.6,1.2,98.2,Stable,True
z_24.0_-19.5,2023,1,2023-S1,Stable,98.7,0.1,1.3,98.7,Stable,True
z_24.0_-19.5,2024,1,2024-S1,Stable,96.1,1.9,2.0,96.1,Stable,True
z_24.0_-19.5,2025,1,2025-S1,Stable,98.3,0.1,1.6,98.3,Stable,True
z_27.0_-15.0,2023,1,2023-S1,Stable,97.4,0.2,2.3,97.4,Stable,True
z_27.0_-15.0,2023,2,2023-S2,Stable,61.0,25.8,13.2,61.0,Stable,True
z_27.0_-15.0,2024,1,2024-S1,Stable,82.2,12.6,5.2,82.2,Stable,True
z_27.0_-15.0,2024,2,2024-S2,Stable,82.5,3.3,14.2,82.5,Stable,True
z_27.0_-15.0,2025,1,2025-S1,Stable,97.1,0.4,2.5,97.1,Stable,True
z_27.0_-15.0,2025,2,2025-S2,Stable,83.9,1.2,14.9,83.9,Stable,True
z_27.0_-16.5,2023,1,2023-S1,Augmentation,78.0,78.0,14.6,7.5,Stable,False
z_27.0_-16.5,2023,2,2023-S2,Augmentation,52.5,52.5,37.9,9.6,Diminution,False
z_27.0_-16.5,2024,1,2024-S1,Augmentation,50.7,50.7,40.7,8.6,Augmentation,True
z_27.0_-16.5,2024,2,2024-S2,Diminution,45.0,44.7,45.0,10.3,Augmentation,False
z_27.0_-16.5,2025,1,2025-S1,Augmentation,68.5,68.5,21.1,10.4,Augmentation,True
z_27.0_-16.5,2025,2,2025-S2,Augmentation,64.9,64.9,27.4,7.7,Diminution,False
z_28.5_-13.5,2023,1,2023-S1,Stable,98.4,0.1,1.4,98.4,Stable,True
z_28.5_-13.5,2023,2,2023-S2,Stable,98.6,0.3,1.1,98.6,Stable,True
z_28.5_-13.5,2024,1,2024-S1,Stable,98.4,0.1,1.4,98.4,Stable,True
z_28.5_-13.5,2024,2,2024-S2,Stable,97.7,1.4,0.9,97.7,Stable,True
z_28.5_-13.5,2025,1,2025-S1,Stable,95.3,2.5,2.2,95.3,Stable,True
z_28.5_-13.5,2025,2,2025-S2,Stable,96.6,2.2,1.1,96.6,Stable,True
z_28.5_-15.0,2023,1,2023-S1,Diminution,77.0,4.8,77.0,18.2,Stable,False
z_28.5_-15.0,2023,2,2023-S2,Stable,82.0,10.1,7.9,82.0,Stable,True
z_28.5_-15.0,2024,1,2024-S1,Diminution,62.2,17.3,62.2,20.5,Stable,False
z_28.5_-15.0,2024,2,2024-S2,Stable,54.1,43.0,2.9,54.1,Stable,True
z_28.5_-15.0,2025,1,2025-S1,Diminution,74.1,10.6,74.1,15.3,Stable,False
z_28.5_-15.0,2025,2,2025-S2,Stable,55.6,40.2,4.2,55.6,Stable,True
z_28.5_-16.5,2023,1,2023-S1,Stable,51.7,29.2,19.2,51.7,Stable,True
z_28.5_-16.5,2023,2,2023-S2,Diminution,79.0,6.0,79.0,15.0,Stable,False
z_28.5_-16.5,2024,1,2024-S1,Stable,65.8,25.6,8.7,65.8,Stable,True
z_28.5_-16.5,2024,2,2024-S2,Diminution,66.0,14.2,66.0,19.8,Stable,False
z_28.5_-16.5,2025,1,2025-S1,Stable,48.3,43.2,8.5,48.3,Stable,True
z_28.5_-16.5,2025,2,2025-S2,Diminution,44.2,29.3,44.2,26.5,Stable,False
z_30.0_-10.5,2023,1,2023-S1,Stable,97.4,0.2,2.3,97.4,Stable,True
z_30.0_-10.5,2023,2,2023-S2,Stable,97.3,0.2,2.5,97.3,Stable,True
z_30.0_-10.5,2024,1,2024-S1,Stable,97.4,0.2,2.3,97.4,Stable,True
z_30.0_-10.5,2024,2,2024-S2,Stable,96.7,1.6,1.7,96.7,Stable,True
z_30.0_-10.5,2025,1,2025-S1,Stable,76.1,21.4,2.5,76.1,Stable,True
z_30.0_-10.5,2025,2,2025-S2,Stable,91.0,6.3,2.7,91.0,Stable,True
z_30.0_-13.5,2023,1,2023-S1,Stable,94.8,3.3,1.9,94.8,Stable,True
z_30.0_-13.5,2024,1,2024-S1,Stable,98.3,0.3,1.4,98.3,Stable,True
z_30.0_-13.5,2025,1,2025-S1,Stable,91.1,6.3,2.6,91.1,Stable,True
z_30.0_-15.0,2023,1,2023-S1,Stable,80.3,15.1,4.6,80.3,Stable,True
z_30.0_-15.0,2024,1,2024-S1,Stable,97.0,0.9,2.1,97.0,Stable,True
z_30.0_-15.0,2025,1,2025-S1,Stable,88.8,8.9,2.2,88.8,Stable,True
z_30.0_28.5,2023,1,2023-S1,Diminution,76.0,5.1,76.0,18.9,Stable,False
z_30.0_28.5,2023,2,2023-S2,Diminution,60.7,19.8,60.7,19.5,Diminution,True
z_30.0_28.5,2024,1,2024-S1,Diminution,66.5,17.8,66.5,15.7,Diminution,True
z_30.0_28.5,2024,2,2024-S2,Diminution,70.1,15.2,70.1,14.7,Diminution,True
z_30.0_28.5,2025,1,2025-S1,Diminution,78.1,4.4,78.1,17.5,Diminution,True
z_30.0_28.5,2025,2,2025-S2,Diminution,80.5,7.8,80.5,11.7,Stable,False
z_30.0_30.0,2023,1,2023-S1,Stable,98.2,1.2,0.6,98.2,Stable,True
z_30.0_30.0,2023,2,2023-S2,Stable,98.6,0.1,1.3,98.6,Stable,True
z_30.0_30.0,2024,1,2024-S1,Stable,95.9,3.5,0.6,95.9,Stable,True
z_30.0_30.0,2024,2,2024-S2,Stable,90.6,6.9,2.5,90.6,Stable,True
z_30.0_30.0,2025,1,2025-S1,Stable,97.7,1.5,0.8,97.7,Stable,True
z_30.0_30.0,2025,2,2025-S2,Stable,98.1,0.9,1.0,98.1,Stable,True
z_30.0_31.5,2023,1,2023-S1,Diminution,47.1,26.4,47.1,26.5,Augmentation,False
z_30.0_31.5,2023,2,2023-S2,Diminution,39.9,39.0,39.9,21.1,Stable,False
z_30.0_31.5,2024,1,2024-S1,Diminution,37.8,36.1,37.8,26.0,Stable,False
z_30.0_31.5,2024,2,2024-S2,Diminution,63.1,17.4,63.1,19.5,Augmentation,False
z_30.0_31.5,2025,1,2025-S1,Augmentation,42.7,42.7,37.1,20.2,Stable,False
z_30.0_31.5,2025,2,2025-S2,Diminution,51.1,24.5,51.1,24.3,Diminution,True
z_31.5_-15.0,2023,1,2023-S1,Stable,98.6,0.5,0.9,98.6,Stable,True
z_31.5_-15.0,2023,2,2023-S2,Stable,92.5,5.4,2.1,92.5,Stable,True
z_31.5_-15.0,2024,1,2024-S1,Stable,98.5,0.3,1.2,98.5,Stable,True
z_31.5_-15.0,2024,2,2024-S2,Stable,98.3,0.4,1.3,98.3,Stable,True
z_31.5_-15.0,2025,1,2025-S1,Stable,98.1,0.8,1.1,98.1,Stable,True
z_31.5_-15.0,2025,2,2025-S2,Stable,94.8,3.1,2.1,94.8,Stable,True
z_31.5_-18.0,2023,1,2023-S1,Stable,74.7,22.4,2.9,74.7,Stable,True
z_31.5_-18.0,2023,2,2023-S2,Stable,66.6,29.8,3.6,66.6,Stable,True
z_31.5_-18.0,2024,1,2024-S1,Stable,49.5,45.0,5.5,49.5,Stable,True
z_31.5_-18.0,2024,2,2024-S2,Stable,73.0,20.8,6.2,73.0,Stable,True
z_31.5_-18.0,2025,1,2025-S1,Stable,83.1,10.6,6.3,83.1,Stable,True
z_31.5_-18.0,2025,2,2025-S2,Stable,86.4,7.8,5.8,86.4,Stable,True
z_31.5_31.5,2023,1,2023-S1,Stable,85.0,11.4,3.6,85.0,Stable,True
z_31.5_31.5,2024,1,2024-S1,Stable,93.7,3.3,3.0,93.7,Stable,True
z_31.5_31.5,2025,1,2025-S1,Stable,90.7,4.4,4.9,90.7,Stable,True
z_33.0_-13.5,2023,1,2023-S1,Stable,98.8,0.1,1.1,98.8,Stable,True
z_33.0_-13.5,2023,2,2023-S2,Stable,96.4,1.6,1.9,96.4,Stable,True
z_33.0_-13.5,2024,1,2024-S1,Stable,90.3,7.9,1.8,90.3,Stable,True
z_33.0_-13.5,2024,2,2024-S2,Stable,93.1,4.8,2.1,93.1,Stable,True
z_33.0_-13.5,2025,1,2025-S1,Stable,98.4,0.1,1.4,98.4,Stable,True
z_33.0_-13.5,2025,2,2025-S2,Stable,98.5,0.3,1.2,98.5,Stable,True
z_33.0_-9.0,2023,1,2023-S1,Stable,78.1,12.7,9.3,78.1,Stable,True
z_33.0_-9.0,2023,2,2023-S2,Stable,86.3,9.3,4.3,86.3,Stable,True
z_33.0_-9.0,2024,1,2024-S1,Stable,78.4,14.8,6.7,78.4,Stable,True
z_33.0_-9.0,2024,2,2024-S2,Stable,56.8,37.7,5.5,56.8,Stable,True
z_33.0_-9.0,2025,1,2025-S1,Stable,61.9,33.8,4.3,61.9,Stable,True
z_33.0_-9.0,2025,2,2025-S2,Stable,80.6,10.8,8.6,80.6,Augmentation,False
z_33.0_10.5,2023,1,2023-S1,Stable,98.9,0.1,0.9,98.9,Stable,True
z_33.0_10.5,2024,1,2024-S1,Stable,98.9,0.1,0.9,98.9,Stable,True
z_33.0_10.5,2025,1,2025-S1,Stable,98.9,0.1,0.9,98.9,Stable,True
z_33.0_18.0,2023,2,2023-S2,Stable,98.4,0.2,1.4,98.4,Stable,True
z_33.0_18.0,2024,2,2024-S2,Stable,98.4,0.2,1.4,98.4,Stable,True
z_33.0_18.0,2025,2,2025-S2,Stable,94.9,3.0,2.2,94.9,Stable,True
z_33.0_25.5,2023,1,2023-S1,Stable,98.6,0.1,1.3,98.6,Stable,True
z_33.0_25.5,2024,1,2024-S1,Stable,98.6,0.1,1.3,98.6,Stable,True
z_33.0_25.5,2025,1,2025-S1,Stable,95.5,2.5,2.0,95.5,Stable,True
z_34.5_-1.5,2023,1,2023-S1,Stable,95.3,3.0,1.7,95.3,Stable,True
z_34.5_-1.5,2023,2,2023-S2,Stable,61.5,29.9,8.6,61.5,Stable,True
