fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2019-2019,2020,1736,1802,74.6,71.3,60.0
2,2019-2020,2021,3538,1845,79.0,75.8,65.3
3,2019-2021,2022,5383,1398,79.7,77.8,65.7
