fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2019-2019,2020,1736,1802,54.0,54.0,46.2
2,2019-2020,2021,3538,1845,60.2,56.2,47.7
3,2019-2021,2022,5383,1398,68.0,60.4,54.8
