fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2016-2016,2017,2844,3161,80.8,75.2,66.8
2,2016-2017,2018,6005,3419,78.3,73.7,62.5
3,2016-2018,2019,9424,3611,79.2,77.0,64.5
4,2016-2019,2020,13035,3783,81.4,80.5,65.4
5,2016-2020,2021,16818,3929,86.1,81.0,69.8
6,2016-2021,2022,20747,3669,86.9,81.4,69.8
