zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,Diminution,72.1,6.4,72.1,21.5,Diminution,True
z_24.0_-18.0,2024,Diminution,73.0,9.4,73.0,17.6,Stable,False
z_24.0_-18.0,2025,Diminution,58.2,18.4,58.2,23.4,Diminution,True
z_24.0_-19.5,2023,Diminution,79.8,2.0,79.8,18.3,Stable,False
z_24.0_-19.5,2024,Diminution,66.3,10.9,66.3,22.8,Diminution,True
z_24.0_-19.5,2025,Diminution,77.0,3.5,77.0,19.5,Diminution,True
z_27.0_-15.0,2023,Diminution,60.2,4.8,60.2,35.1,Augmentation,False
z_27.0_-15.0,2024,Diminution,59.2,5.8,59.2,35.0,Diminution,True
z_27.0_-15.0,2025,Diminution,62.5,7.3,62.5,30.3,Diminution,True
z_27.0_-16.5,2023,Augmentation,62.6,62.6,20.0,17.3,Diminution,False
z_27.0_-16.5,2024,Augmentation,55.5,55.5,26.9,17.6,Augmentation,True
z_27.0_-16.5,2025,Augmentation,60.2,60.2,23.5,16.3,Stable,False
z_28.5_-13.5,2023,Diminution,79.6,2.9,79.6,17.6,Diminution,True
z_28.5_-13.5,2024,Diminution,79.6,2.9,79.6,17.6,Diminution,True
z_28.5_-13.5,2025,Diminution,73.3,6.6,73.3,20.1,Diminution,True
z_28.5_-15.0,2023,Augmentation,30.6,30.6,31.6,37.8,Augmentation,True
z_28.5_-15.0,2024,Augmentation,29.0,29.0,27.7,43.2,Stable,False
z_28.5_-15.0,2025,Augmentation,33.8,33.8,31.9,34.2,Stable,False
z_28.5_-16.5,2023,Augmentation,46.3,46.3,25.6,28.1,Diminution,False
z_28.5_-16.5,2024,Augmentation,40.7,40.7,27.4,31.9,Stable,False
z_28.5_-16.5,2025,Augmentation,44.3,44.3,26.1,29.6,Stable,False
z_30.0_-10.5,2023,Diminution,34.5,13.8,34.5,51.8,Diminution,True
z_30.0_-10.5,2024,Diminution,42.2,13.4,42.2,44.3,Augmentation,False
z_30.0_-10.5,2025,Diminution,36.2,12.4,36.2,51.4,Diminution,True
z_30.0_-13.5,2023,Diminution,76.3,5.1,76.3,18.5,Diminution,True
