fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2016-2016,2017,2844,3161,56.5,54.0,46.1
2,2016-2017,2018,6005,3419,57.6,53.6,46.1
3,2016-2018,2019,9424,3611,58.0,55.6,46.4
4,2016-2019,2020,13035,3783,56.1,57.6,45.2
5,2016-2020,2021,16818,3929,65.1,59.6,49.2
6,2016-2021,2022,20747,3669,67.7,58.7,49.9
