zone,mois,annee,mois_num,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,4,2023,4,Diminution,85.3,1.4,85.3,13.2,Diminution,True
z_24.0_-18.0,4,2024,4,Diminution,85.3,1.4,85.3,13.2,Diminution,True
z_24.0_-18.0,4,2025,4,Diminution,85.3,1.4,85.3,13.2,Diminution,True
z_24.0_-19.5,4,2023,4,Diminution,72.4,2.9,72.4,24.6,Diminution,True
z_24.0_-19.5,4,2024,4,Diminution,85.6,1.5,85.6,12.9,Diminution,True
z_24.0_-19.5,4,2025,4,Diminution,85.6,1.5,85.6,12.9,Diminution,True
z_27.0_-15.0,4,2023,4,Diminution,86.1,1.5,86.1,12.4,Diminution,True
z_27.0_-15.0,8,2023,8,Diminution,58.3,5.5,58.3,36.2,Diminution,True
z_27.0_-15.0,4,2024,4,Diminution,86.1,1.5,86.1,12.4,Diminution,True
z_27.0_-15.0,8,2024,8,Diminution,86.6,1.7,86.6,11.7,Diminution,True
z_27.0_-15.0,4,2025,4,Diminution,86.1,1.5,86.1,12.4,Diminution,True
z_27.0_-15.0,8,2025,8,Diminution,86.6,1.7,86.6,11.7,Diminution,True
z_27.0_-16.5,1,2023,1,Augmentation,49.4,49.4,10.5,40.1,Augmentation,True
z_27.0_-16.5,2,2023,2,Augmentation,53.4,53.4,10.5,36.1,Diminution,False
z_27.0_-16.5,3,2023,3,Stable,53.5,31.0,15.5,53.5,Diminution,False
z_27.0_-16.5,4,2023,4,Augmentation,50.7,50.7,12.4,36.9,Diminution,False
z_27.0_-16.5,5,2023,5,Augmentation,42.5,42.5,27.2,30.2,Diminution,False
z_27.0_-16.5,6,2023,6,Augmentation,40.1,40.1,18.1,41.8,Diminution,False
z_27.0_-16.5,7,2023,7,Augmentation,45.1,45.1,15.3,39.6,Diminution,False
z_27.0_-16.5,8,2023,8,Augmentation,39.9,39.9,17.2,43.0,Diminution,False
z_27.0_-16.5,9,2023,9,Stable,45.9,34.4,19.7,45.9,Diminution,False
z_27.0_-16.5,10,2023,10,Stable,46.6,21.0,32.4,46.6,Stable,True
z_27.0_-16.5,11,2023,11,Diminution,50.2,25.2,50.2,24.6,Diminution,True
z_27.0_-16.5,12,2023,12,Stable,46.2,25.5,28.4,46.2,Stable,True
z_27.0_-16.5,1,2024,1,Stable,43.5,29.6,27.0,43.5,Diminution,False
z_27.0_-16.5,2,2024,2,Stable,48.9,25.6,25.6,48.9,Augmentation,False
z_27.0_-16.5,3,2024,3,Stable,54.5,22.8,22.6,54.5,Diminution,False
z_27.0_-16.5,4,2024,4,Stable,44.7,35.2,20.1,44.7,Stable,True
z_27.0_-16.5,5,2024,5,Stable,40.1,25.4,34.5,40.1,Stable,True
z_27.0_-16.5,6,2024,6,Augmentation,42.3,42.3,14.5,43.3,Augmentation,True
z_27.0_-16.5,7,2024,7,Augmentation,50.9,50.9,10.1,38.9,Stable,False
z_27.0_-16.5,8,2024,8,Augmentation,45.4,45.4,11.9,42.7,Diminution,False
z_27.0_-16.5,9,2024,9,Augmentation,43.5,43.5,14.0,42.5,Stable,False
z_27.0_-16.5,10,2024,10,Augmentation,42.9,42.9,15.5,41.6,Diminution,False
z_27.0_-16.5,11,2024,11,Augmentation,37.1,37.1,31.0,31.9,Stable,False
z_27.0_-16.5,12,2024,12,Stable,49.4,32.0,18.7,49.4,Augmentation,False
z_27.0_-16.5,1,2025,1,Augmentation,41.9,41.9,14.1,44.0,Augmentation,True
z_27.0_-16.5,2,2025,2,Augmentation,51.4,51.4,11.8,36.8,Diminution,False
z_27.0_-16.5,3,2025,3,Stable,51.2,35.9,12.9,51.2,Stable,True
z_27.0_-16.5,4,2025,4,Augmentation,44.5,44.5,11.9,43.6,Stable,False
z_27.0_-16.5,5,2025,5,Augmentation,40.4,40.4,23.6,36.0,Diminution,False
z_27.0_-16.5,6,2025,6,Augmentation,50.5,50.5,12.1,37.4,Diminution,False
z_27.0_-16.5,7,2025,7,Augmentation,46.5,46.5,13.9,39.6,Diminution,False
z_27.0_-16.5,8,2025,8,Augmentation,41.6,41.6,17.4,41.0,Stable,False
z_27.0_-16.5,9,2025,9,Augmentation,41.0,41.0,17.6,41.4,Stable,False
z_27.0_-16.5,10,2025,10,Augmentation,43.1,43.1,12.9,43.9,Diminution,False
z_27.0_-16.5,11,2025,11,Augmentation,39.9,39.9,28.2,31.9,Diminution,False
z_27.0_-16.5,12,2025,12,Stable,48.8,33.3,18.0,48.8,Diminution,False
z_28.5_-13.5,5,2023,5,Diminution,86.5,1.4,86.5,12.1,Diminution,True
z_28.5_-13.5,7,2023,7,Diminution,86.5,1.6,86.5,11.9,Diminution,True
z_28.5_-13.5,9,2023,9,Diminution,88.2,1.5,88.2,10.3,Diminution,True
z_28.5_-13.5,5,2024,5,Diminution,86.5,1.4,86.5,12.1,Stable,False
z_28.5_-13.5,7,2024,7,Diminution,69.6,2.6,69.6,27.8,Diminution,True
z_28.5_-13.5,9,2024,9,Diminution,88.2,1.5,88.2,10.3,Diminution,True
z_28.5_-13.5,5,2025,5,Diminution,73.8,3.0,73.8,23.2,Diminution,True
z_28.5_-13.5,7,2025,7,Diminution,74.6,5.2,74.6,20.2,Diminution,True
z_28.5_-13.5,9,2025,9,Diminution,88.2,1.5,88.2,10.3,Diminution,True
z_28.5_-15.0,1,2023,1,Diminution,57.5,6.3,57.5,36.2,Diminution,True
z_28.5_-15.0,2,2023,2,Diminution,65.4,6.7,65.4,27.9,Diminution,True
z_28.5_-15.0,5,2023,5,Diminution,76.2,3.6,76.2,20.3,Diminution,True
z_28.5_-15.0,7,2023,7,Diminution,76.4,2.8,76.4,20.8,Diminution,True
z_28.5_-15.0,8,2023,8,Diminution,53.0,6.3,53.0,40.7,Diminution,True
z_28.5_-15.0,11,2023,11,Diminution,75.0,4.3,75.0,20.7,Diminution,True
z_28.5_-15.0,12,2023,12,Diminution,68.3,6.2,68.3,25.5,Stable,False
z_28.5_-15.0,1,2024,1,Diminution,60.3,6.0,60.3,33.7,Diminution,True
z_28.5_-15.0,2,2024,2,Diminution,58.4,8.7,58.4,32.9,Diminution,True
z_28.5_-15.0,5,2024,5,Diminution,78.9,2.6,78.9,18.6,Diminution,True
z_28.5_-15.0,7,2024,7,Diminution,75.3,3.4,75.3,21.3,Diminution,True
z_28.5_-15.0,8,2024,8,Diminution,59.8,5.2,59.8,35.0,Stable,False
z_28.5_-15.0,11,2024,11,Diminution,75.6,4.0,75.6,20.4,Diminution,True
z_28.5_-15.0,12,2024,12,Diminution,72.1,4.4,72.1,23.5,Diminution,True
z_28.5_-15.0,1,2025,1,Diminution,60.7,5.4,60.7,33.8,Diminution,True
z_28.5_-15.0,2,2025,2,Diminution,56.3,8.0,56.3,35.8,Diminution,True
z_28.5_-15.0,5,2025,5,Diminution,85.2,1.9,85.2,12.9,Stable,False
z_28.5_-15.0,7,2025,7,Diminution,55.5,10.3,55.5,34.2,Diminution,True
z_28.5_-15.0,8,2025,8,Stable,48.0,9.1,42.9,48.0,Diminution,False
z_28.5_-15.0,11,2025,11,Diminution,75.5,5.1,75.5,19.4,Diminution,True
z_28.5_-15.0,12,2025,12,Diminution,70.0,9.1,70.0,20.9,Diminution,True
z_28.5_-16.5,2,2023,2,Diminution,55.6,10.2,55.6,34.2,Diminution,True
z_28.5_-16.5,3,2023,3,Diminution,61.5,11.5,61.5,27.0,Diminution,True
z_28.5_-16.5,7,2023,7,Diminution,50.2,14.5,50.2,35.3,Diminution,True
z_28.5_-16.5,8,2023,8,Diminution,59.2,7.6,59.2,33.2,Diminution,True
z_28.5_-16.5,9,2023,9,Diminution,72.2,3.9,72.2,23.9,Diminution,True
z_28.5_-16.5,10,2023,10,Diminution,72.9,5.0,72.9,22.1,Diminution,True
z_28.5_-16.5,11,2023,11,Diminution,62.5,8.5,62.5,29.0,Diminution,True
z_28.5_-16.5,12,2023,12,Diminution,88.0,1.4,88.0,10.6,Diminution,True
z_28.5_-16.5,2,2024,2,Diminution,63.0,8.3,63.0,28.7,Diminution,True
z_28.5_-16.5,3,2024,3,Diminution,73.1,5.6,73.1,21.3,Diminution,True
z_28.5_-16.5,7,2024,7,Diminution,55.0,16.4,55.0,28.6,Diminution,True
z_28.5_-16.5,8,2024,8,Stable,45.5,23.5,31.0,45.5,Diminution,False
z_28.5_-16.5,9,2024,9,Diminution,52.8,9.0,52.8,38.2,Diminution,True
z_28.5_-16.5,10,2024,10,Diminution,66.8,6.0,66.8,27.3,Diminution,True
z_28.5_-16.5,11,2024,11,Diminution,62.5,8.5,62.5,29.0,Diminution,True
z_28.5_-16.5,12,2024,12,Diminution,62.7,10.6,62.7,26.7,Stable,False
z_28.5_-16.5,2,2025,2,Stable,50.4,27.3,22.3,50.4,Diminution,False
z_28.5_-16.5,3,2025,3,Diminution,46.4,12.0,46.4,41.6,Diminution,True
z_28.5_-16.5,7,2025,7,Stable,44.8,12.0,43.2,44.8,Diminution,False
z_28.5_-16.5,8,2025,8,Diminution,65.6,7.1,65.6,27.4,Diminution,True
z_28.5_-16.5,9,2025,9,Diminution,72.2,3.9,72.2,23.9,Diminution,True
z_28.5_-16.5,10,2025,10,Diminution,69.5,4.7,69.5,25.8,Diminution,True
z_28.5_-16.5,11,2025,11,Diminution,59.6,8.3,59.6,32.1,Diminution,True
z_28.5_-16.5,12,2025,12,Diminution,78.3,3.1,78.3,18.6,Diminution,True
