zone,annee,trimestre,trimestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,2,2023-T2,Stable,96.0,0.3,3.7,96.0,Stable,True
z_24.0_-18.0,2024,2,2024-T2,Stable,97.4,0.1,2.4,97.4,Stable,True
z_24.0_-18.0,2025,2,2025-T2,Stable,96.5,0.6,2.9,96.5,Stable,True
z_24.0_-19.5,2023,2,2023-T2,Stable,95.5,0.5,4.0,95.5,Stable,True
z_24.0_-19.5,2024,2,2024-T2,Stable,98.2,0.1,1.7,98.2,Stable,True
z_24.0_-19.5,2025,2,2025-T2,Stable,98.2,0.1,1.7,98.2,Stable,True
z_27.0_-15.0,2023,2,2023-T2,Stable,96.4,0.3,3.3,96.4,Stable,True
z_27.0_-15.0,2023,3,2023-T3,Stable,93.6,1.0,5.5,93.6,Stable,True
z_27.0_-15.0,2024,2,2024-T2,Stable,95.9,1.4,2.7,95.9,Stable,True
z_27.0_-15.0,2024,3,2024-T3,Stable,97.0,0.2,2.8,97.0,Stable,True
z_27.0_-15.0,2025,2,2025-T2,Stable,94.6,1.1,4.3,94.6,Stable,True
z_27.0_-15.0,2025,3,2025-T3,Stable,97.0,0.2,2.8,97.0,Stable,True
z_27.0_-16.5,2023,1,2023-T1,Augmentation,66.1,66.1,18.9,15.0,Stable,False
z_27.0_-16.5,2023,2,2023-T2,Augmentation,63.8,63.8,23.7,12.5,Diminution,False
z_27.0_-16.5,2023,3,2023-T3,Augmentation,46.6,46.6,41.9,11.5,Diminution,False
z_27.0_-16.5,2023,4,2023-T4,Diminution,71.2,15.9,71.2,12.9,Stable,False
z_27.0_-16.5,2024,1,2024-T1,Diminution,67.8,20.1,67.8,12.1,Stable,False
z_27.0_-16.5,2024,2,2024-T2,Diminution,63.0,24.6,63.0,12.3,Augmentation,False
z_27.0_-16.5,2024,3,2024-T3,Augmentation,45.9,45.9,42.9,11.2,Stable,False
z_27.0_-16.5,2024,4,2024-T4,Augmentation,56.3,56.3,30.1,13.6,Augmentation,True
z_27.0_-16.5,2025,1,2025-T1,Augmentation,53.2,53.2,30.4,16.3,Augmentation,True
z_27.0_-16.5,2025,2,2025-T2,Augmentation,72.6,72.6,14.9,12.4,Diminution,False
z_27.0_-16.5,2025,3,2025-T3,Augmentation,45.3,45.3,45.1,9.6,Stable,False
z_27.0_-16.5,2025,4,2025-T4,Augmentation,56.9,56.9,29.1,14.0,Diminution,False
z_28.5_-13.5,2023,2,2023-T2,Stable,98.4,0.1,1.6,98.4,Stable,True
z_28.5_-13.5,2023,3,2023-T3,Stable,97.4,0.4,2.3,97.4,Stable,True
z_28.5_-13.5,2024,2,2024-T2,Stable,98.4,0.1,1.6,98.4,Stable,True
z_28.5_-13.5,2024,3,2024-T3,Stable,96.5,0.6,2.8,96.5,Stable,True
z_28.5_-13.5,2025,2,2025-T2,Stable,94.4,1.1,4.5,94.4,Stable,True
z_28.5_-13.5,2025,3,2025-T3,Stable,96.4,0.7,2.9,96.4,Stable,True
z_28.5_-15.0,2023,1,2023-T1,Stable,91.7,1.8,6.5,91.7,Stable,True
z_28.5_-15.0,2023,2,2023-T2,Stable,97.7,0.2,2.1,97.7,Stable,True
z_28.5_-15.0,2023,3,2023-T3,Diminution,86.0,0.7,86.0,13.3,Stable,False
z_28.5_-15.0,2023,4,2023-T4,Stable,89.7,4.8,5.5,89.7,Stable,True
z_28.5_-15.0,2024,1,2024-T1,Stable,81.2,12.4,6.4,81.2,Stable,True
z_28.5_-15.0,2024,2,2024-T2,Stable,89.6,7.2,3.2,89.6,Stable,True
z_28.5_-15.0,2024,3,2024-T3,Diminution,77.9,4.7,77.9,17.4,Stable,False
z_28.5_-15.0,2024,4,2024-T4,Stable,71.5,23.6,4.9,71.5,Stable,True
