zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,Stable,99.2,0.2,0.6,99.2,Stable,True
z_24.0_-18.0,2024,Stable,99.1,0.2,0.7,99.1,Stable,True
z_24.0_-18.0,2025,Stable,99.1,0.2,0.6,99.1,Stable,True
z_24.0_-19.5,2023,Stable,99.6,0.1,0.4,99.6,Stable,True
z_24.0_-19.5,2024,Stable,99.5,0.0,0.5,99.5,Stable,True
z_24.0_-19.5,2025,Stable,98.1,1.5,0.4,98.1,Stable,True
z_27.0_-15.0,2023,Stable,97.7,1.3,1.1,97.7,Stable,True
z_27.0_-15.0,2024,Stable,83.9,5.5,10.6,83.9,Stable,True
z_27.0_-15.0,2025,Stable,86.1,2.4,11.5,86.1,Stable,True
z_27.0_-16.5,2023,Augmentation,54.8,54.8,41.9,3.3,Diminution,False
z_27.0_-16.5,2024,Diminution,57.0,39.4,57.0,3.6,Augmentation,False
z_27.0_-16.5,2025,Augmentation,46.6,46.6,50.0,3.5,Stable,False
z_28.5_-13.5,2023,Stable,98.5,0.2,1.3,98.5,Stable,True
z_28.5_-13.5,2024,Stable,98.5,0.2,1.3,98.5,Stable,True
z_28.5_-13.5,2025,Stable,98.5,0.3,1.3,98.5,Stable,True
z_28.5_-15.0,2023,Diminution,61.0,19.0,61.0,20.0,Stable,False
z_28.5_-15.0,2024,Diminution,65.1,14.7,65.1,20.2,Stable,False
z_28.5_-15.0,2025,Diminution,68.9,18.1,68.9,13.1,Stable,False
z_28.5_-16.5,2023,Diminution,54.6,32.2,54.6,13.1,Stable,False
z_28.5_-16.5,2024,Diminution,58.6,17.4,58.6,23.9,Stable,False
z_28.5_-16.5,2025,Diminution,44.2,35.1,44.2,20.7,Stable,False
z_30.0_-10.5,2023,Stable,98.0,1.1,0.9,98.0,Stable,True
z_30.0_-10.5,2024,Stable,96.7,1.8,1.5,96.7,Stable,True
z_30.0_-10.5,2025,Stable,82.2,7.2,10.6,82.2,Stable,True
z_30.0_-13.5,2023,Stable,98.6,0.5,0.9,98.6,Stable,True
z_30.0_-13.5,2024,Stable,97.6,1.3,1.1,97.6,Stable,True
z_30.0_-13.5,2025,Stable,96.8,1.9,1.2,96.8,Stable,True
z_30.0_-15.0,2023,Stable,88.1,3.5,8.4,88.1,Stable,True
z_30.0_-15.0,2024,Stable,87.7,1.8,10.5,87.7,Stable,True
z_30.0_-15.0,2025,Stable,87.0,0.6,12.4,87.0,Stable,True
z_30.0_28.5,2023,Diminution,47.8,36.1,47.8,16.1,Stable,False
z_30.0_28.5,2024,Diminution,47.7,23.7,47.7,28.6,Diminution,True
z_30.0_28.5,2025,Diminution,45.2,31.7,45.2,23.2,Diminution,True
z_30.0_30.0,2023,Stable,96.5,2.4,1.1,96.5,Stable,True
z_30.0_30.0,2024,Stable,97.8,0.5,1.6,97.8,Stable,True
z_30.0_30.0,2025,Stable,98.1,0.5,1.4,98.1,Stable,True
z_30.0_31.5,2023,Augmentation,44.4,44.4,41.1,14.5,Stable,False
z_30.0_31.5,2024,Augmentation,51.9,51.9,34.6,13.5,Stable,False
z_30.0_31.5,2025,Augmentation,50.1,50.1,38.0,11.9,Diminution,False
z_31.5_-15.0,2023,Stable,99.5,0.1,0.4,99.5,Stable,True
z_31.5_-15.0,2024,Stable,99.7,0.1,0.2,99.7,Stable,True
z_31.5_-15.0,2025,Stable,99.0,0.8,0.2,99.0,Stable,True
z_31.5_-18.0,2023,Augmentation,46.1,46.1,5.1,48.9,Stable,False
z_31.5_-18.0,2024,Augmentation,56.7,56.7,5.3,38.0,Stable,False
z_31.5_-18.0,2025,Augmentation,45.1,45.1,4.9,50.0,Stable,False
z_31.5_31.5,2023,Stable,70.6,23.7,5.8,70.6,Stable,True
z_31.5_31.5,2024,Stable,60.1,35.4,4.5,60.1,Stable,True
z_31.5_31.5,2025,Augmentation,38.4,38.4,4.2,57.4,Stable,False
z_33.0_-13.5,2023,Stable,98.2,1.6,0.2,98.2,Stable,True
z_33.0_-13.5,2024,Stable,94.8,3.1,2.0,94.8,Stable,True
z_33.0_-13.5,2025,Stable,98.2,1.6,0.2,98.2,Stable,True
z_33.0_-9.0,2023,Diminution,52.9,25.8,52.9,21.4,Stable,False
z_33.0_-9.0,2024,Diminution,50.1,21.9,50.1,27.9,Stable,False
z_33.0_-9.0,2025,Diminution,52.9,19.2,52.9,27.9,Stable,False
z_33.0_10.5,2023,Stable,99.3,0.2,0.5,99.3,Stable,True
z_33.0_10.5,2024,Stable,99.3,0.2,0.5,99.3,Stable,True
z_33.0_10.5,2025,Stable,99.3,0.2,0.5,99.3,Stable,True
z_33.0_18.0,2023,Stable,99.0,0.5,0.4,99.0,Stable,True
z_33.0_18.0,2024,Stable,99.0,0.5,0.4,99.0,Stable,True
z_33.0_18.0,2025,Stable,99.1,0.4,0.5,99.1,Stable,True
z_33.0_25.5,2023,Stable,96.9,0.2,2.9,96.9,Stable,True
z_33.0_25.5,2024,Stable,96.9,0.2,2.9,96.9,Stable,True
z_33.0_25.5,2025,Stable,96.6,0.5,2.8,96.6,Stable,True
z_34.5_-1.5,2023,Stable,82.2,15.4,2.4,82.2,Stable,True
z_34.5_-1.5,2024,Stable,62.1,31.9,6.0,62.1,Stable,True
z_34.5_-1.5,2025,Stable,73.4,20.2,6.3,73.4,Stable,True
z_34.5_-10.5,2023,Stable,99.1,0.6,0.3,99.1,Stable,True
z_34.5_-10.5,2024,Stable,99.1,0.6,0.3,99.1,Stable,True
z_34.5_-10.5,2025,Stable,99.3,0.4,0.3,99.3,Stable,True
z_34.5_-4.5,2023,Diminution,56.0,18.8,56.0,25.2,Stable,False
z_34.5_-4.5,2024,Diminution,58.0,17.6,58.0,24.3,Stable,False
z_34.5_-4.5,2025,Diminution,64.3,14.5,64.3,21.2,Stable,False
z_34.5_-6.0,2023,Diminution,68.2,23.8,68.2,8.0,Diminution,True
z_34.5_-6.0,2024,Diminution,73.9,16.8,73.9,9.3,Stable,False
z_34.5_-6.0,2025,Diminution,54.6,35.1,54.6,10.3,Diminution,True
z_34.5_-7.5,2023,Stable,56.1,34.5,9.4,56.1,Augmentation,False
z_34.5_-7.5,2024,Augmentation,58.0,58.0,7.8,34.2,Stable,False
z_34.5_-7.5,2025,Stable,54.1,32.7,13.2,54.1,Stable,True
z_34.5_0.0,2023,Stable,93.0,3.5,3.5,93.0,Stable,True
z_34.5_0.0,2024,Stable,95.4,0.9,3.8,95.4,Stable,True
z_34.5_0.0,2025,Stable,95.2,1.0,3.8,95.2,Stable,True
z_34.5_12.0,2023,Diminution,66.7,11.4,66.7,21.9,Stable,False
z_34.5_12.0,2024,Diminution,62.8,17.4,62.8,19.9,Stable,False
z_34.5_12.0,2025,Diminution,56.9,29.3,56.9,13.8,Diminution,True
z_34.5_13.5,2023,Diminution,63.5,33.2,63.5,3.2,Stable,False
z_34.5_13.5,2024,Diminution,61.8,34.7,61.8,3.5,Augmentation,False
z_34.5_13.5,2025,Augmentation,43.4,43.4,51.6,5.0,Augmentation,True
z_34.5_16.5,2023,Stable,97.6,0.4,2.0,97.6,Stable,True
z_34.5_16.5,2024,Stable,97.0,0.8,2.2,97.0,Stable,True
z_34.5_16.5,2025,Stable,97.5,0.4,2.1,97.5,Stable,True
z_34.5_18.0,2023,Stable,96.7,0.1,3.2,96.7,Stable,True
z_34.5_18.0,2024,Stable,96.7,0.1,3.2,96.7,Stable,True
