zone,annee,trimestre,trimestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,2,2023-T2,Diminution,63.6,7.1,63.6,29.3,Diminution,True
z_24.0_-18.0,2024,2,2024-T2,Diminution,87.0,4.2,87.0,8.7,Diminution,True
z_24.0_-18.0,2025,2,2025-T2,Diminution,76.1,4.5,76.1,19.4,Diminution,True
z_24.0_-19.5,2023,2,2023-T2,Diminution,57.7,6.2,57.7,36.1,Diminution,True
z_24.0_-19.5,2024,2,2024-T2,Diminution,91.8,1.5,91.8,6.7,Diminution,True
z_24.0_-19.5,2025,2,2025-T2,Diminution,91.8,1.5,91.8,6.7,Diminution,True
z_27.0_-15.0,2023,2,2023-T2,Diminution,65.3,5.5,65.3,29.2,Augmentation,False
z_27.0_-15.0,2023,3,2023-T3,Diminution,75.1,2.6,75.1,22.4,Diminution,True
z_27.0_-15.0,2024,2,2024-T2,Diminution,78.6,2.5,78.6,18.9,Diminution,True
z_27.0_-15.0,2024,3,2024-T3,Diminution,90.7,2.4,90.7,6.9,Diminution,True
z_27.0_-15.0,2025,2,2025-T2,Diminution,83.2,4.6,83.2,12.2,Diminution,True
z_27.0_-15.0,2025,3,2025-T3,Diminution,90.7,2.4,90.7,6.9,Diminution,True
z_27.0_-16.5,2023,1,2023-T1,Augmentation,66.2,66.2,8.6,25.2,Stable,False
z_27.0_-16.5,2023,2,2023-T2,Augmentation,61.3,61.3,12.7,26.1,Diminution,False
z_27.0_-16.5,2023,3,2023-T3,Augmentation,58.5,58.5,18.1,23.3,Diminution,False
z_27.0_-16.5,2023,4,2023-T4,Diminution,40.3,30.8,40.3,28.9,Stable,False
z_27.0_-16.5,2024,1,2024-T1,Augmentation,34.9,34.9,34.2,30.9,Augmentation,True
z_27.0_-16.5,2024,2,2024-T2,Augmentation,42.1,42.1,25.7,32.2,Augmentation,True
z_27.0_-16.5,2024,3,2024-T3,Augmentation,63.5,63.5,13.3,23.2,Diminution,False
z_27.0_-16.5,2024,4,2024-T4,Augmentation,68.4,68.4,13.3,18.3,Augmentation,True
z_27.0_-16.5,2025,1,2025-T1,Augmentation,51.2,51.2,13.8,35.0,Augmentation,True
z_27.0_-16.5,2025,2,2025-T2,Augmentation,67.7,67.7,8.8,23.5,Diminution,False
z_27.0_-16.5,2025,3,2025-T3,Augmentation,67.4,67.4,15.1,17.5,Diminution,False
z_27.0_-16.5,2025,4,2025-T4,Augmentation,55.2,55.2,14.0,30.8,Diminution,False
z_28.5_-13.5,2023,2,2023-T2,Diminution,89.4,1.3,89.4,9.3,Diminution,True
z_28.5_-13.5,2023,3,2023-T3,Diminution,75.5,6.9,75.5,17.6,Diminution,True
z_28.5_-13.5,2024,2,2024-T2,Diminution,89.4,1.3,89.4,9.3,Stable,False
z_28.5_-13.5,2024,3,2024-T3,Diminution,69.7,7.1,69.7,23.2,Diminution,True
z_28.5_-13.5,2025,2,2025-T2,Diminution,64.1,3.9,64.1,32.0,Diminution,True
z_28.5_-13.5,2025,3,2025-T3,Diminution,65.7,7.5,65.7,26.8,Diminution,True
z_28.5_-15.0,2023,1,2023-T1,Diminution,44.9,10.2,44.9,44.9,Diminution,True
z_28.5_-15.0,2023,2,2023-T2,Diminution,78.6,3.6,78.6,17.8,Stable,False
z_28.5_-15.0,2023,3,2023-T3,Diminution,63.5,11.2,63.5,25.3,Diminution,True
z_28.5_-15.0,2023,4,2023-T4,Diminution,44.8,16.6,44.8,38.6,Stable,False
z_28.5_-15.0,2024,1,2024-T1,Stable,45.1,18.2,36.8,45.1,Diminution,False
z_28.5_-15.0,2024,2,2024-T2,Diminution,52.0,11.5,52.0,36.5,Stable,False
z_28.5_-15.0,2024,3,2024-T3,Diminution,54.1,11.8,54.1,34.1,Diminution,True
z_28.5_-15.0,2024,4,2024-T4,Stable,42.1,23.5,34.5,42.1,Diminution,False
z_28.5_-15.0,2025,1,2025-T1,Stable,39.9,23.4,36.8,39.9,Diminution,False
z_28.5_-15.0,2025,2,2025-T2,Diminution,47.7,12.4,47.7,39.9,Augmentation,False
z_28.5_-15.0,2025,3,2025-T3,Diminution,39.1,22.3,39.1,38.7,Diminution,True
z_28.5_-15.0,2025,4,2025-T4,Stable,44.3,17.8,38.0,44.3,Diminution,False
z_28.5_-16.5,2023,1,2023-T1,Stable,43.6,19.0,37.4,43.6,Diminution,False
z_28.5_-16.5,2023,3,2023-T3,Diminution,49.4,14.6,49.4,36.0,Diminution,True
z_28.5_-16.5,2023,4,2023-T4,Stable,44.7,19.0,36.3,44.7,Diminution,False
z_28.5_-16.5,2024,1,2024-T1,Stable,44.7,19.7,35.7,44.7,Diminution,False
z_28.5_-16.5,2024,3,2024-T3,Diminution,44.5,19.5,44.5,36.0,Diminution,True
z_28.5_-16.5,2024,4,2024-T4,Stable,50.2,24.2,25.6,50.2,Stable,True
z_28.5_-16.5,2025,1,2025-T1,Stable,50.0,28.3,21.6,50.0,Diminution,False
