granularite,classe,accuracy
annuel,Diminution,43.2
annuel,Stable,76.0
annuel,Augmentation,21.4
annuel,Global,57.4
semestriel,Diminution,31.3
semestriel,Stable,76.9
semestriel,Augmentation,14.7
semestriel,Global,57.0
trimestriel,Diminution,21.1
trimestriel,Stable,85.0
trimestriel,Augmentation,27.9
trimestriel,Global,64.7
mensuel,Diminution,9.2
mensuel,Stable,94.3
mensuel,Augmentation,9.9
mensuel,Global,74.0
