zone,annee,semestre,semestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,1,2023-S1,Diminution,84.2,1.5,84.2,14.3,Diminution,True
z_24.0_-18.0,2024,1,2024-S1,Diminution,84.2,1.5,84.2,14.3,Diminution,True
z_24.0_-18.0,2025,1,2025-S1,Diminution,87.9,1.8,87.9,10.3,Diminution,True
z_24.0_-19.5,2023,1,2023-S1,Diminution,86.5,0.8,86.5,12.6,Stable,False
z_24.0_-19.5,2024,1,2024-S1,Diminution,77.0,1.2,77.0,21.8,Diminution,True
z_24.0_-19.5,2025,1,2025-S1,Diminution,80.2,3.8,80.2,16.1,Diminution,True
z_27.0_-15.0,2023,1,2023-S1,Diminution,78.7,2.0,78.7,19.3,Augmentation,False
z_27.0_-15.0,2023,2,2023-S2,Diminution,64.3,10.3,64.3,25.3,Diminution,True
z_27.0_-15.0,2024,1,2024-S1,Diminution,45.9,8.5,45.9,45.7,Diminution,True
z_27.0_-15.0,2024,2,2024-S2,Diminution,68.4,2.9,68.4,28.8,Diminution,True
z_27.0_-15.0,2025,1,2025-S1,Diminution,59.7,7.7,59.7,32.5,Diminution,True
z_27.0_-15.0,2025,2,2025-S2,Diminution,72.0,3.5,72.0,24.4,Diminution,True
z_27.0_-16.5,2023,1,2023-S1,Augmentation,74.3,74.3,10.0,15.7,Diminution,False
z_27.0_-16.5,2023,2,2023-S2,Augmentation,59.4,59.4,20.8,19.8,Diminution,False
z_27.0_-16.5,2024,1,2024-S1,Augmentation,54.2,54.2,28.8,17.0,Augmentation,True
z_27.0_-16.5,2024,2,2024-S2,Augmentation,58.6,58.6,21.9,19.5,Augmentation,True
z_27.0_-16.5,2025,1,2025-S1,Augmentation,63.2,63.2,15.0,21.8,Augmentation,True
z_27.0_-16.5,2025,2,2025-S2,Augmentation,66.7,66.7,15.6,17.8,Diminution,False
z_28.5_-13.5,2023,1,2023-S1,Diminution,83.6,1.7,83.6,14.6,Diminution,True
z_28.5_-13.5,2023,2,2023-S2,Diminution,78.4,2.4,78.4,19.2,Diminution,True
z_28.5_-13.5,2024,1,2024-S1,Diminution,83.6,1.7,83.6,14.6,Stable,False
z_28.5_-13.5,2024,2,2024-S2,Diminution,78.1,4.8,78.1,17.1,Diminution,True
z_28.5_-13.5,2025,1,2025-S1,Diminution,75.7,1.9,75.7,22.5,Diminution,True
z_28.5_-13.5,2025,2,2025-S2,Diminution,73.3,8.0,73.3,18.7,Diminution,True
z_28.5_-15.0,2023,1,2023-S1,Diminution,45.7,16.2,45.7,38.1,Diminution,True
z_28.5_-15.0,2023,2,2023-S2,Stable,41.0,19.4,39.6,41.0,Augmentation,False
z_28.5_-15.0,2024,1,2024-S1,Stable,38.5,25.4,36.2,38.5,Diminution,False
z_28.5_-15.0,2024,2,2024-S2,Stable,39.6,30.0,30.3,39.6,Stable,True
z_28.5_-15.0,2025,1,2025-S1,Stable,39.7,22.3,38.0,39.7,Stable,True
z_28.5_-15.0,2025,2,2025-S2,Stable,45.4,26.2,28.4,45.4,Diminution,False
z_28.5_-16.5,2023,1,2023-S1,Stable,44.7,27.5,27.8,44.7,Diminution,False
z_28.5_-16.5,2023,2,2023-S2,Stable,41.9,18.3,39.8,41.9,Diminution,False
z_28.5_-16.5,2024,1,2024-S1,Stable,49.5,18.7,31.8,49.5,Diminution,False
z_28.5_-16.5,2024,2,2024-S2,Stable,41.5,22.5,35.9,41.5,Stable,True
z_28.5_-16.5,2025,1,2025-S1,Stable,49.9,32.6,17.5,49.9,Stable,True
