fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,71.2,70.0,61.3
2,2017-2018,2019,2006,1060,70.8,66.7,57.6
3,2017-2019,2020,3066,1092,74.1,69.1,62.1
4,2017-2020,2021,4158,1115,75.1,70.4,63.2
5,2017-2021,2022,5273,571,79.7,79.2,70.6
