zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,Stable,99.6,0.1,0.4,99.6,Stable,True
z_24.0_-18.0,2024,Stable,99.5,0.1,0.4,99.5,Stable,True
z_24.0_-18.0,2025,Stable,99.5,0.1,0.4,99.5,Stable,True
z_24.0_-19.5,2023,Stable,99.6,0.1,0.4,99.6,Stable,True
z_24.0_-19.5,2024,Stable,99.6,0.1,0.3,99.6,Stable,True
z_24.0_-19.5,2025,Stable,98.1,1.4,0.4,98.1,Stable,True
z_27.0_-15.0,2023,Stable,97.9,1.1,1.0,97.9,Stable,True
z_27.0_-15.0,2024,Stable,83.9,5.8,10.4,83.9,Stable,True
z_27.0_-15.0,2025,Stable,84.6,2.8,12.6,84.6,Stable,True
z_27.0_-16.5,2023,Augmentation,53.9,53.9,42.3,3.8,Diminution,False
z_27.0_-16.5,2024,Diminution,56.3,40.3,56.3,3.3,Augmentation,False
z_27.0_-16.5,2025,Augmentation,44.9,44.9,51.7,3.4,Stable,False
z_28.5_-13.5,2023,Stable,97.6,0.6,1.8,97.6,Stable,True
z_28.5_-13.5,2024,Stable,97.6,0.6,1.8,97.6,Stable,True
z_28.5_-13.5,2025,Stable,97.7,0.6,1.7,97.7,Stable,True
z_28.5_-15.0,2023,Diminution,59.3,21.7,59.3,19.0,Stable,False
z_28.5_-15.0,2024,Diminution,65.0,14.4,65.0,20.7,Stable,False
z_28.5_-15.0,2025,Diminution,67.9,18.5,67.9,13.6,Stable,False
z_28.5_-16.5,2023,Diminution,56.9,28.4,56.9,14.7,Stable,False
z_28.5_-16.5,2024,Diminution,63.0,17.6,63.0,19.4,Stable,False
z_28.5_-16.5,2025,Diminution,46.6,34.5,46.6,18.9,Stable,False
z_30.0_-10.5,2023,Stable,97.6,1.3,1.1,97.6,Stable,True
z_30.0_-10.5,2024,Stable,96.1,2.1,1.8,96.1,Stable,True
z_30.0_-10.5,2025,Stable,82.1,7.4,10.5,82.1,Stable,True
z_30.0_-13.5,2023,Stable,97.3,1.1,1.6,97.3,Stable,True
z_30.0_-13.5,2024,Stable,97.1,1.4,1.5,97.1,Stable,True
z_30.0_-13.5,2025,Stable,96.3,2.0,1.6,96.3,Stable,True
z_30.0_-15.0,2023,Stable,87.4,4.8,7.7,87.4,Stable,True
z_30.0_-15.0,2024,Stable,86.9,2.1,11.0,86.9,Stable,True
z_30.0_-15.0,2025,Stable,86.9,0.5,12.6,86.9,Stable,True
z_30.0_28.5,2023,Diminution,47.0,36.5,47.0,16.5,Stable,False
z_30.0_28.5,2024,Diminution,46.6,24.6,46.6,28.8,Diminution,True
z_30.0_28.5,2025,Diminution,46.1,29.9,46.1,24.0,Diminution,True
z_30.0_30.0,2023,Stable,96.5,2.4,1.1,96.5,Stable,True
z_30.0_30.0,2024,Stable,98.5,0.2,1.3,98.5,Stable,True
z_30.0_30.0,2025,Stable,98.7,0.2,1.0,98.7,Stable,True
z_30.0_31.5,2023,Augmentation,45.7,45.7,40.8,13.5,Stable,False
z_30.0_31.5,2024,Augmentation,49.3,49.3,36.7,14.0,Stable,False
z_30.0_31.5,2025,Augmentation,49.9,49.9,37.9,12.2,Diminution,False
z_31.5_-15.0,2023,Stable,99.5,0.1,0.4,99.5,Stable,True
z_31.5_-15.0,2024,Stable,99.8,0.1,0.2,99.8,Stable,True
z_31.5_-15.0,2025,Stable,98.9,0.9,0.2,98.9,Stable,True
z_31.5_-18.0,2023,Augmentation,46.2,46.2,4.9,48.9,Stable,False
z_31.5_-18.0,2024,Augmentation,57.7,57.7,5.2,37.0,Stable,False
z_31.5_-18.0,2025,Augmentation,45.0,45.0,5.1,49.9,Stable,False
z_31.5_31.5,2023,Stable,68.7,25.7,5.5,68.7,Stable,True
z_31.5_31.5,2024,Stable,62.0,35.2,2.8,62.0,Stable,True
z_31.5_31.5,2025,Stable,58.6,38.6,2.8,58.6,Stable,True
z_33.0_-13.5,2023,Stable,98.1,1.7,0.2,98.1,Stable,True
z_33.0_-13.5,2024,Stable,94.6,3.7,1.7,94.6,Stable,True
z_33.0_-13.5,2025,Stable,98.1,1.7,0.2,98.1,Stable,True
z_33.0_-9.0,2023,Diminution,54.7,26.1,54.7,19.2,Stable,False
z_33.0_-9.0,2024,Diminution,47.9,23.7,47.9,28.5,Stable,False
z_33.0_-9.0,2025,Diminution,53.9,17.9,53.9,28.2,Stable,False
z_33.0_10.5,2023,Stable,99.5,0.1,0.4,99.5,Stable,True
z_33.0_10.5,2024,Stable,99.5,0.1,0.4,99.5,Stable,True
z_33.0_10.5,2025,Stable,99.5,0.1,0.4,99.5,Stable,True
z_33.0_18.0,2023,Stable,99.4,0.3,0.4,99.4,Stable,True
z_33.0_18.0,2024,Stable,99.4,0.3,0.4,99.4,Stable,True
z_33.0_18.0,2025,Stable,99.5,0.2,0.3,99.5,Stable,True
z_33.0_25.5,2023,Stable,97.7,0.1,2.2,97.7,Stable,True
z_33.0_25.5,2024,Stable,97.7,0.1,2.2,97.7,Stable,True
z_33.0_25.5,2025,Stable,97.9,0.3,1.8,97.9,Stable,True
z_34.5_-1.5,2023,Stable,81.9,16.1,2.0,81.9,Stable,True
z_34.5_-1.5,2024,Stable,63.1,32.0,4.9,63.1,Stable,True
z_34.5_-1.5,2025,Stable,72.6,19.8,7.6,72.6,Stable,True
z_34.5_-10.5,2023,Stable,99.1,0.7,0.3,99.1,Stable,True
z_34.5_-10.5,2024,Stable,99.1,0.7,0.3,99.1,Stable,True
z_34.5_-10.5,2025,Stable,99.3,0.4,0.3,99.3,Stable,True
z_34.5_-4.5,2023,Diminution,55.3,21.0,55.3,23.7,Stable,False
z_34.5_-4.5,2024,Diminution,57.2,20.0,57.2,22.9,Stable,False
z_34.5_-4.5,2025,Diminution,66.2,13.5,66.2,20.3,Stable,False
z_34.5_-6.0,2023,Diminution,69.7,22.1,69.7,8.1,Diminution,True
z_34.5_-6.0,2024,Diminution,72.1,17.3,72.1,10.6,Stable,False
z_34.5_-6.0,2025,Diminution,54.2,34.5,54.2,11.3,Diminution,True
z_34.5_-7.5,2023,Stable,53.5,35.1,11.4,53.5,Augmentation,False
z_34.5_-7.5,2024,Augmentation,56.6,56.6,8.3,35.1,Stable,False
z_34.5_-7.5,2025,Stable,54.4,32.9,12.6,54.4,Stable,True
z_34.5_0.0,2023,Stable,93.0,3.4,3.6,93.0,Stable,True
z_34.5_0.0,2024,Stable,95.4,0.9,3.7,95.4,Stable,True
z_34.5_0.0,2025,Stable,95.2,1.1,3.7,95.2,Stable,True
