fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,57.6,58.6,51.7
2,2017-2018,2019,2006,1060,57.2,56.4,50.1
3,2017-2019,2020,3066,1092,52.9,55.3,46.1
4,2017-2020,2021,4158,1115,56.9,53.0,45.0
5,2017-2021,2022,5273,571,65.8,60.3,53.4
