fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,69.1,68.9,62.4
2,2017-2018,2019,2006,1060,68.0,68.2,59.2
3,2017-2019,2020,3066,1092,71.7,69.8,62.5
4,2017-2020,2021,4158,1115,74.8,72.0,65.1
5,2017-2021,2022,5273,571,78.6,77.5,70.5
