fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2019-2019,2020,1736,1802,55.0,53.5,46.2
2,2019-2020,2021,3538,1845,59.9,55.1,46.7
3,2019-2021,2022,5383,1398,67.4,59.9,54.2
