zone,annee,trimestre,trimestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,2,2023-T2,Stable,95.6,0.4,4.0,95.6,Stable,True
z_24.0_-18.0,2024,2,2024-T2,Stable,97.4,0.1,2.5,97.4,Stable,True
z_24.0_-18.0,2025,2,2025-T2,Stable,96.3,0.4,3.3,96.3,Stable,True
z_24.0_-19.5,2023,2,2023-T2,Stable,95.5,0.5,4.0,95.5,Stable,True
z_24.0_-19.5,2024,2,2024-T2,Stable,98.1,0.1,1.8,98.1,Stable,True
z_24.0_-19.5,2025,2,2025-T2,Stable,98.1,0.1,1.8,98.1,Stable,True
z_27.0_-15.0,2023,2,2023-T2,Stable,96.3,0.4,3.4,96.3,Stable,True
z_27.0_-15.0,2023,3,2023-T3,Stable,95.1,1.0,4.0,95.1,Stable,True
z_27.0_-15.0,2024,2,2024-T2,Stable,95.7,1.1,3.1,95.7,Stable,True
z_27.0_-15.0,2024,3,2024-T3,Stable,97.4,0.2,2.4,97.4,Stable,True
z_27.0_-15.0,2025,2,2025-T2,Stable,94.3,0.6,5.1,94.3,Stable,True
z_27.0_-15.0,2025,3,2025-T3,Stable,97.4,0.2,2.4,97.4,Stable,True
z_27.0_-16.5,2023,1,2023-T1,Augmentation,67.4,67.4,18.1,14.5,Stable,False
z_27.0_-16.5,2023,2,2023-T2,Augmentation,61.1,61.1,25.3,13.6,Diminution,False
z_27.0_-16.5,2023,3,2023-T3,Augmentation,49.0,49.0,41.1,9.8,Diminution,False
z_27.0_-16.5,2023,4,2023-T4,Diminution,70.9,16.3,70.9,12.8,Stable,False
z_27.0_-16.5,2024,1,2024-T1,Diminution,68.6,19.6,68.6,11.8,Stable,False
z_27.0_-16.5,2024,2,2024-T2,Diminution,65.1,23.4,65.1,11.4,Augmentation,False
z_27.0_-16.5,2024,3,2024-T3,Augmentation,47.2,47.2,40.6,12.2,Stable,False
z_27.0_-16.5,2024,4,2024-T4,Augmentation,56.3,56.3,30.5,13.2,Augmentation,True
z_27.0_-16.5,2025,1,2025-T1,Augmentation,53.1,53.1,30.0,16.9,Augmentation,True
z_27.0_-16.5,2025,2,2025-T2,Augmentation,72.5,72.5,15.2,12.3,Diminution,False
z_27.0_-16.5,2025,3,2025-T3,Augmentation,46.2,46.2,43.9,9.9,Stable,False
z_27.0_-16.5,2025,4,2025-T4,Augmentation,55.8,55.8,28.8,15.4,Diminution,False
z_28.5_-13.5,2023,2,2023-T2,Stable,98.2,0.1,1.7,98.2,Stable,True
z_28.5_-13.5,2023,3,2023-T3,Stable,97.7,0.4,2.0,97.7,Stable,True
z_28.5_-13.5,2024,2,2024-T2,Stable,98.2,0.1,1.7,98.2,Stable,True
z_28.5_-13.5,2024,3,2024-T3,Stable,96.9,0.5,2.5,96.9,Stable,True
z_28.5_-13.5,2025,2,2025-T2,Stable,93.9,1.3,4.7,93.9,Stable,True
z_28.5_-13.5,2025,3,2025-T3,Stable,96.1,0.8,3.1,96.1,Stable,True
z_28.5_-15.0,2023,1,2023-T1,Stable,92.7,1.9,5.4,92.7,Stable,True
z_28.5_-15.0,2023,2,2023-T2,Stable,97.7,0.2,2.1,97.7,Stable,True
z_28.5_-15.0,2023,3,2023-T3,Diminution,86.4,0.7,86.4,13.0,Stable,False
z_28.5_-15.0,2023,4,2023-T4,Stable,89.7,4.5,5.8,89.7,Stable,True
z_28.5_-15.0,2024,1,2024-T1,Stable,83.3,10.8,5.9,83.3,Stable,True
z_28.5_-15.0,2024,2,2024-T2,Stable,90.6,6.2,3.2,90.6,Stable,True
z_28.5_-15.0,2024,3,2024-T3,Diminution,77.1,5.0,77.1,17.9,Stable,False
z_28.5_-15.0,2024,4,2024-T4,Stable,72.1,23.5,4.5,72.1,Stable,True
z_28.5_-15.0,2025,1,2025-T1,Stable,77.8,16.9,5.3,77.8,Stable,True
z_28.5_-15.0,2025,2,2025-T2,Stable,86.7,9.5,3.7,86.7,Stable,True
z_28.5_-15.0,2025,3,2025-T3,Diminution,67.9,11.8,67.9,20.3,Diminution,True
z_28.5_-15.0,2025,4,2025-T4,Stable,78.8,16.2,5.0,78.8,Stable,True
z_28.5_-16.5,2023,1,2023-T1,Stable,67.0,22.0,11.0,67.0,Stable,True
z_28.5_-16.5,2023,3,2023-T3,Diminution,84.5,3.6,84.5,11.9,Stable,False
z_28.5_-16.5,2023,4,2023-T4,Stable,60.5,24.8,14.7,60.5,Stable,True
z_28.5_-16.5,2024,1,2024-T1,Stable,72.9,15.9,11.2,72.9,Stable,True
z_28.5_-16.5,2024,3,2024-T3,Diminution,74.2,9.4,74.2,16.3,Stable,False
