zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,Diminution,71.6,4.5,71.6,23.9,Diminution,True
z_24.0_-18.0,2024,Diminution,71.5,8.2,71.5,20.3,Stable,False
z_24.0_-18.0,2025,Diminution,59.4,13.9,59.4,26.7,Diminution,True
z_24.0_-19.5,2023,Diminution,79.0,1.5,79.0,19.5,Stable,False
z_24.0_-19.5,2024,Diminution,65.0,8.9,65.0,26.1,Diminution,True
z_24.0_-19.5,2025,Diminution,74.5,3.2,74.5,22.3,Diminution,True
z_27.0_-15.0,2023,Diminution,54.4,5.2,54.4,40.5,Augmentation,False
z_27.0_-15.0,2024,Stable,40.6,6.2,53.2,40.6,Diminution,False
z_27.0_-15.0,2025,Diminution,56.2,8.6,56.2,35.2,Diminution,True
z_27.0_-16.5,2023,Augmentation,63.0,63.0,18.5,18.5,Diminution,False
z_27.0_-16.5,2024,Augmentation,58.1,58.1,27.1,14.8,Augmentation,True
z_27.0_-16.5,2025,Augmentation,63.1,63.1,22.8,14.1,Augmentation,True
z_28.5_-13.5,2023,Diminution,77.3,3.3,77.3,19.4,Diminution,True
z_28.5_-13.5,2024,Diminution,77.3,3.3,77.3,19.4,Diminution,True
z_28.5_-13.5,2025,Diminution,71.8,5.8,71.8,22.3,Diminution,True
z_28.5_-15.0,2023,Stable,42.3,30.7,27.0,42.3,Augmentation,False
z_28.5_-15.0,2024,Stable,51.4,26.3,22.3,51.4,Stable,True
z_28.5_-15.0,2025,Stable,36.2,32.7,31.1,36.2,Stable,True
z_28.5_-16.5,2023,Augmentation,49.8,49.8,25.2,25.0,Diminution,False
z_28.5_-16.5,2024,Augmentation,42.6,42.6,28.4,29.1,Stable,False
z_28.5_-16.5,2025,Augmentation,49.8,49.8,27.3,22.9,Stable,False
z_30.0_-10.5,2023,Stable,57.8,10.7,31.5,57.8,Diminution,False
z_30.0_-10.5,2024,Stable,48.9,10.0,41.0,48.9,Augmentation,False
z_30.0_-10.5,2025,Stable,57.6,10.8,31.6,57.6,Diminution,False
z_30.0_-13.5,2023,Diminution,74.9,5.2,74.9,19.9,Diminution,True
z_30.0_-13.5,2024,Diminution,73.2,7.1,73.2,19.7,Diminution,True
z_30.0_-13.5,2025,Diminution,64.7,8.4,64.7,26.8,Diminution,True
