fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,69.2,69.8,62.6
2,2017-2018,2019,2006,1060,66.5,66.6,57.0
3,2017-2019,2020,3066,1092,72.2,70.0,62.8
4,2017-2020,2021,4158,1115,73.9,69.9,63.2
5,2017-2021,2022,5273,571,78.5,78.2,70.5
