zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,Stable,99.6,0.1,0.3,99.6,Stable,True
z_24.0_-18.0,2024,Stable,99.4,0.2,0.3,99.4,Stable,True
z_24.0_-18.0,2025,Stable,99.5,0.2,0.3,99.5,Stable,True
z_24.0_-19.5,2023,Stable,99.6,0.1,0.3,99.6,Stable,True
z_24.0_-19.5,2024,Stable,99.7,0.0,0.3,99.7,Stable,True
z_24.0_-19.5,2025,Stable,98.5,1.2,0.3,98.5,Stable,True
z_27.0_-15.0,2023,Stable,95.7,1.1,3.2,95.7,Stable,True
z_27.0_-15.0,2024,Stable,78.7,5.8,15.5,78.7,Stable,True
z_27.0_-15.0,2025,Stable,79.2,3.3,17.5,79.2,Stable,True
z_27.0_-16.5,2023,Augmentation,58.8,58.8,34.4,6.8,Diminution,False
z_27.0_-16.5,2024,Augmentation,45.3,45.3,48.7,5.9,Augmentation,True
z_27.0_-16.5,2025,Augmentation,51.7,51.7,42.8,5.5,Stable,False
z_28.5_-13.5,2023,Diminution,85.2,0.8,85.2,14.0,Diminution,True
z_28.5_-13.5,2024,Diminution,85.2,0.8,85.2,14.0,Stable,False
z_28.5_-13.5,2025,Diminution,83.0,0.7,83.0,16.2,Diminution,True
z_28.5_-15.0,2023,Diminution,62.6,18.7,62.6,18.7,Stable,False
z_28.5_-15.0,2024,Diminution,66.4,14.5,66.4,19.0,Stable,False
z_28.5_-15.0,2025,Diminution,68.4,18.2,68.4,13.4,Stable,False
z_28.5_-16.5,2023,Diminution,50.6,35.8,50.6,13.6,Stable,False
z_28.5_-16.5,2024,Diminution,51.1,25.4,51.1,23.5,Stable,False
z_28.5_-16.5,2025,Diminution,48.6,33.8,48.6,17.6,Stable,False
z_30.0_-10.5,2023,Stable,97.2,0.9,1.8,97.2,Stable,True
z_30.0_-10.5,2024,Stable,95.7,1.8,2.5,95.7,Stable,True
z_30.0_-10.5,2025,Stable,78.3,7.9,13.8,78.3,Stable,True
z_30.0_-13.5,2023,Diminution,85.0,1.9,85.0,13.1,Diminution,True
z_30.0_-13.5,2024,Diminution,83.7,1.9,83.7,14.4,Stable,False
z_30.0_-13.5,2025,Diminution,81.5,1.9,81.5,16.5,Stable,False
z_30.0_-15.0,2023,Diminution,76.0,0.7,76.0,23.3,Diminution,True
z_30.0_-15.0,2024,Diminution,77.4,1.1,77.4,21.4,Diminution,True
z_30.0_-15.0,2025,Diminution,80.3,1.2,80.3,18.6,Stable,False
z_30.0_28.5,2023,Augmentation,35.1,35.1,46.2,18.7,Stable,False
z_30.0_28.5,2024,Diminution,45.3,26.4,45.3,28.3,Diminution,True
z_30.0_28.5,2025,Diminution,47.6,29.1,47.6,23.2,Diminution,True
z_30.0_30.0,2023,Stable,96.6,1.8,1.6,96.6,Stable,True
z_30.0_30.0,2024,Stable,97.8,0.2,1.9,97.8,Stable,True
z_30.0_30.0,2025,Stable,98.4,0.1,1.4,98.4,Stable,True
z_30.0_31.5,2023,Augmentation,47.7,47.7,38.4,13.8,Augmentation,True
z_30.0_31.5,2024,Augmentation,50.6,50.6,35.8,13.5,Stable,False
z_30.0_31.5,2025,Augmentation,53.8,53.8,33.4,12.8,Diminution,False
z_31.5_-15.0,2023,Stable,99.0,0.0,0.9,99.0,Stable,True
z_31.5_-15.0,2024,Stable,99.1,0.1,0.8,99.1,Stable,True
z_31.5_-15.0,2025,Stable,98.7,0.5,0.8,98.7,Stable,True
z_31.5_-18.0,2023,Augmentation,36.1,36.1,6.0,57.9,Stable,False
z_31.5_-18.0,2024,Augmentation,43.7,43.7,8.1,48.2,Stable,False
z_31.5_-18.0,2025,Augmentation,39.0,39.0,7.1,54.0,Stable,False
z_31.5_31.5,2023,Stable,72.5,20.2,7.3,72.5,Stable,True
z_31.5_31.5,2024,Stable,63.7,31.8,4.5,63.7,Stable,True
z_31.5_31.5,2025,Augmentation,36.2,36.2,4.8,59.0,Stable,False
z_33.0_-13.5,2023,Stable,98.8,1.1,0.1,98.8,Stable,True
