zone,annee,trimestre,trimestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,2,2023-T2,Diminution,61.2,6.4,61.2,32.4,Diminution,True
z_24.0_-18.0,2024,2,2024-T2,Diminution,88.6,4.0,88.6,7.4,Diminution,True
z_24.0_-18.0,2025,2,2025-T2,Diminution,74.1,5.3,74.1,20.6,Diminution,True
z_24.0_-19.5,2023,2,2023-T2,Diminution,57.5,5.6,57.5,36.9,Diminution,True
z_24.0_-19.5,2024,2,2024-T2,Diminution,92.4,1.5,92.4,6.1,Diminution,True
z_24.0_-19.5,2025,2,2025-T2,Diminution,92.4,1.5,92.4,6.1,Diminution,True
z_27.0_-15.0,2023,2,2023-T2,Diminution,62.4,4.9,62.4,32.7,Augmentation,False
z_27.0_-15.0,2023,3,2023-T3,Diminution,75.3,3.0,75.3,21.7,Diminution,True
z_27.0_-15.0,2024,2,2024-T2,Diminution,80.0,2.1,80.0,17.9,Diminution,True
z_27.0_-15.0,2024,3,2024-T3,Diminution,91.7,2.3,91.7,6.1,Diminution,True
z_27.0_-15.0,2025,2,2025-T2,Diminution,83.8,5.0,83.8,11.2,Diminution,True
z_27.0_-15.0,2025,3,2025-T3,Diminution,91.7,2.3,91.7,6.1,Diminution,True
z_27.0_-16.5,2023,1,2023-T1,Augmentation,72.6,72.6,7.0,20.5,Stable,False
z_27.0_-16.5,2023,2,2023-T2,Augmentation,61.4,61.4,11.5,27.1,Diminution,False
z_27.0_-16.5,2023,3,2023-T3,Augmentation,58.6,58.6,20.4,21.0,Diminution,False
z_27.0_-16.5,2023,4,2023-T4,Diminution,43.8,29.3,43.8,26.9,Stable,False
z_27.0_-16.5,2024,1,2024-T1,Augmentation,33.5,33.5,33.5,32.9,Augmentation,True
z_27.0_-16.5,2024,2,2024-T2,Augmentation,42.7,42.7,28.4,28.9,Augmentation,True
z_27.0_-16.5,2024,3,2024-T3,Augmentation,65.3,65.3,12.5,22.2,Diminution,False
z_27.0_-16.5,2024,4,2024-T4,Augmentation,67.2,67.2,11.9,20.9,Augmentation,True
z_27.0_-16.5,2025,1,2025-T1,Augmentation,54.1,54.1,12.1,33.8,Augmentation,True
z_27.0_-16.5,2025,2,2025-T2,Augmentation,71.8,71.8,7.3,20.9,Diminution,False
z_27.0_-16.5,2025,3,2025-T3,Augmentation,66.4,66.4,14.8,18.9,Diminution,False
z_27.0_-16.5,2025,4,2025-T4,Augmentation,54.4,54.4,14.8,30.8,Diminution,False
z_28.5_-13.5,2023,2,2023-T2,Diminution,90.4,1.3,90.4,8.4,Diminution,True
z_28.5_-13.5,2023,3,2023-T3,Diminution,77.0,6.9,77.0,16.1,Diminution,True
z_28.5_-13.5,2024,2,2024-T2,Diminution,90.4,1.3,90.4,8.4,Stable,False
z_28.5_-13.5,2024,3,2024-T3,Diminution,71.2,6.9,71.2,21.9,Diminution,True
z_28.5_-13.5,2025,2,2025-T2,Diminution,68.5,3.2,68.5,28.3,Diminution,True
z_28.5_-13.5,2025,3,2025-T3,Diminution,65.3,8.0,65.3,26.8,Diminution,True
z_28.5_-15.0,2023,1,2023-T1,Diminution,44.9,10.6,44.9,44.5,Diminution,True
z_28.5_-15.0,2023,2,2023-T2,Diminution,80.1,3.1,80.1,16.8,Stable,False
z_28.5_-15.0,2023,3,2023-T3,Diminution,65.9,12.2,65.9,21.9,Diminution,True
z_28.5_-15.0,2023,4,2023-T4,Diminution,49.3,16.3,49.3,34.5,Stable,False
z_28.5_-15.0,2024,1,2024-T1,Stable,41.9,18.4,39.6,41.9,Diminution,False
z_28.5_-15.0,2024,2,2024-T2,Diminution,54.6,11.6,54.6,33.8,Stable,False
z_28.5_-15.0,2024,3,2024-T3,Diminution,56.1,9.5,56.1,34.4,Diminution,True
z_28.5_-15.0,2024,4,2024-T4,Stable,41.7,20.6,37.7,41.7,Diminution,False
z_28.5_-15.0,2025,1,2025-T1,Diminution,38.7,23.8,38.7,37.5,Diminution,True
z_28.5_-15.0,2025,2,2025-T2,Diminution,51.8,10.7,51.8,37.5,Augmentation,False
z_28.5_-15.0,2025,3,2025-T3,Diminution,41.6,19.9,41.6,38.4,Diminution,True
z_28.5_-15.0,2025,4,2025-T4,Stable,42.9,18.4,38.7,42.9,Diminution,False
z_28.5_-16.5,2023,1,2023-T1,Stable,44.1,18.5,37.4,44.1,Diminution,False
z_28.5_-16.5,2023,3,2023-T3,Diminution,49.7,15.1,49.7,35.2,Diminution,True
z_28.5_-16.5,2023,4,2023-T4,Stable,43.8,19.3,36.8,43.8,Diminution,False
z_28.5_-16.5,2024,1,2024-T1,Stable,41.8,19.2,39.0,41.8,Diminution,False
z_28.5_-16.5,2024,3,2024-T3,Diminution,45.4,20.9,45.4,33.7,Diminution,True
z_28.5_-16.5,2024,4,2024-T4,Stable,48.7,25.4,25.9,48.7,Stable,True
z_28.5_-16.5,2025,1,2025-T1,Stable,47.4,33.3,19.3,47.4,Diminution,False
z_28.5_-16.5,2025,3,2025-T3,Stable,41.6,23.1,35.2,41.6,Diminution,False
z_28.5_-16.5,2025,4,2025-T4,Stable,43.7,33.7,22.6,43.7,Diminution,False
z_30.0_-10.5,2023,2,2023-T2,Diminution,65.8,7.0,65.8,27.2,Diminution,True
z_30.0_-10.5,2023,3,2023-T3,Diminution,72.6,4.2,72.6,23.2,Diminution,True
z_30.0_-10.5,2024,2,2024-T2,Diminution,55.6,8.0,55.6,36.4,Diminution,True
z_30.0_-10.5,2024,3,2024-T3,Diminution,56.5,8.5,56.5,35.0,Stable,False
z_30.0_-10.5,2025,2,2025-T2,Diminution,67.6,7.5,67.6,24.9,Diminution,True
z_30.0_-10.5,2025,3,2025-T3,Diminution,67.5,5.0,67.5,27.5,Diminution,True
z_30.0_-13.5,2023,1,2023-T1,Diminution,72.4,4.9,72.4,22.7,Diminution,True
z_30.0_-13.5,2023,2,2023-T2,Diminution,88.6,1.4,88.6,10.1,Diminution,True
z_30.0_-13.5,2024,1,2024-T1,Diminution,67.4,10.2,67.4,22.3,Stable,False
z_30.0_-13.5,2024,2,2024-T2,Diminution,76.0,1.9,76.0,22.1,Diminution,True
z_30.0_-13.5,2025,1,2025-T1,Diminution,60.8,4.3,60.8,34.9,Stable,False
z_30.0_-13.5,2025,2,2025-T2,Diminution,88.6,1.4,88.6,10.1,Diminution,True
z_30.0_-15.0,2023,1,2023-T1,Diminution,84.5,2.8,84.5,12.7,Diminution,True
z_30.0_-15.0,2023,2,2023-T2,Diminution,78.4,3.0,78.4,18.6,Diminution,True
z_30.0_-15.0,2024,1,2024-T1,Diminution,85.4,3.9,85.4,10.6,Diminution,True
z_30.0_-15.0,2024,2,2024-T2,Diminution,86.1,2.6,86.1,11.3,Diminution,True
z_30.0_-15.0,2025,1,2025-T1,Diminution,76.9,3.4,76.9,19.7,Diminution,True
z_30.0_-15.0,2025,2,2025-T2,Diminution,53.9,5.7,53.9,40.5,Diminution,True
z_30.0_28.5,2023,1,2023-T1,Diminution,63.3,9.3,63.3,27.4,Diminution,True
z_30.0_28.5,2023,2,2023-T2,Diminution,69.1,7.4,69.1,23.5,Augmentation,False
z_30.0_28.5,2023,3,2023-T3,Diminution,53.2,6.1,53.2,40.7,Diminution,True
z_30.0_28.5,2023,4,2023-T4,Diminution,61.5,12.5,61.5,26.0,Diminution,True
z_30.0_28.5,2024,1,2024-T1,Diminution,61.5,10.8,61.5,27.7,Diminution,True
z_30.0_28.5,2024,2,2024-T2,Diminution,63.6,7.8,63.6,28.6,Diminution,True
z_30.0_28.5,2024,3,2024-T3,Diminution,71.1,3.6,71.1,25.2,Diminution,True
z_30.0_28.5,2024,4,2024-T4,Diminution,72.4,10.4,72.4,17.2,Diminution,True
z_30.0_28.5,2025,1,2025-T1,Diminution,67.6,9.9,67.6,22.5,Diminution,True
z_30.0_28.5,2025,2,2025-T2,Diminution,63.6,8.6,63.6,27.9,Diminution,True
z_30.0_28.5,2025,3,2025-T3,Diminution,60.3,4.0,60.3,35.7,Diminution,True
z_30.0_28.5,2025,4,2025-T4,Diminution,69.0,11.5,69.0,19.5,Diminution,True
z_30.0_30.0,2023,1,2023-T1,Diminution,61.8,17.5,61.8,20.6,Diminution,True
z_30.0_30.0,2023,3,2023-T3,Diminution,84.2,7.4,84.2,8.4,Diminution,True
z_30.0_30.0,2024,1,2024-T1,Diminution,76.5,9.7,76.5,13.8,Diminution,True
z_30.0_30.0,2024,3,2024-T3,Diminution,80.8,2.9,80.8,16.3,Diminution,True
z_30.0_30.0,2025,1,2025-T1,Diminution,76.5,9.7,76.5,13.8,Diminution,True
z_30.0_30.0,2025,3,2025-T3,Diminution,77.1,3.2,77.1,19.7,Diminution,True
z_30.0_31.5,2023,1,2023-T1,Stable,52.7,28.0,19.3,52.7,Stable,True
z_30.0_31.5,2023,2,2023-T2,Stable,54.3,27.8,17.9,54.3,Augmentation,False
z_30.0_31.5,2023,3,2023-T3,Stable,46.0,33.9,20.2,46.0,Stable,True
z_30.0_31.5,2023,4,2023-T4,Stable,38.8,32.0,29.2,38.8,Diminution,False
z_30.0_31.5,2024,1,2024-T1,Stable,53.0,28.9,18.1,53.0,Diminution,False
z_30.0_31.5,2024,2,2024-T2,Stable,49.3,31.8,19.0,49.3,Diminution,False
z_30.0_31.5,2024,3,2024-T3,Stable,51.7,27.6,20.7,51.7,Augmentation,False
z_30.0_31.5,2024,4,2024-T4,Stable,37.9,28.4,33.7,37.9,Diminution,False
z_30.0_31.5,2025,1,2025-T1,Stable,45.2,35.1,19.7,45.2,Diminution,False
z_30.0_31.5,2025,2,2025-T2,Stable,52.3,25.3,22.4,52.3,Stable,True
z_30.0_31.5,2025,3,2025-T3,Stable,51.9,24.7,23.4,51.9,Diminution,False
z_30.0_31.5,2025,4,2025-T4,Diminution,60.2,16.7,60.2,23.1,Diminution,True
z_31.5_-15.0,2023,1,2023-T1,Diminution,92.6,1.4,92.6,6.1,Diminution,True
z_31.5_-15.0,2023,4,2023-T4,Diminution,81.2,2.1,81.2,16.7,Diminution,True
z_31.5_-15.0,2024,1,2024-T1,Diminution,92.6,1.4,92.6,6.1,Diminution,True
z_31.5_-15.0,2024,4,2024-T4,Diminution,79.3,2.6,79.3,18.1,Diminution,True
z_31.5_-15.0,2025,1,2025-T1,Diminution,79.8,3.3,79.8,16.9,Diminution,True
z_31.5_-15.0,2025,4,2025-T4,Diminution,66.8,5.3,66.8,27.9,Diminution,True
z_31.5_-18.0,2023,1,2023-T1,Diminution,47.6,12.1,47.6,40.2,Diminution,True
z_31.5_-18.0,2023,2,2023-T2,Diminution,54.2,21.8,54.2,24.0,Diminution,True
z_31.5_-18.0,2023,3,2023-T3,Diminution,68.4,5.8,68.4,25.8,Stable,False
z_31.5_-18.0,2023,4,2023-T4,Diminution,44.9,22.3,44.9,32.8,Stable,False
z_31.5_-18.0,2024,1,2024-T1,Stable,39.9,21.3,38.8,39.9,Diminution,False
z_31.5_-18.0,2024,2,2024-T2,Diminution,52.0,12.3,52.0,35.7,Diminution,True
z_31.5_-18.0,2024,3,2024-T3,Diminution,52.9,9.5,52.9,37.5,Diminution,True
z_31.5_-18.0,2024,4,2024-T4,Diminution,60.8,11.5,60.8,27.7,Diminution,True
z_31.5_-18.0,2025,1,2025-T1,Diminution,63.2,12.9,63.2,23.9,Diminution,True
z_31.5_-18.0,2025,2,2025-T2,Diminution,69.4,11.3,69.4,19.3,Diminution,True
z_31.5_-18.0,2025,3,2025-T3,Diminution,57.4,8.6,57.4,34.0,Diminution,True
z_31.5_-18.0,2025,4,2025-T4,Diminution,49.2,22.4,49.2,28.4,Diminution,True
z_31.5_31.5,2023,1,2023-T1,Diminution,43.7,14.5,43.7,41.7,Diminution,True
z_31.5_31.5,2024,1,2024-T1,Diminution,44.6,11.0,44.6,44.4,Diminution,True
z_31.5_31.5,2025,1,2025-T1,Stable,46.9,13.2,40.0,46.9,Diminution,False
z_33.0_-13.5,2023,2,2023-T2,Diminution,75.8,2.6,75.8,21.6,Diminution,True
z_33.0_-13.5,2023,4,2023-T4,Diminution,84.9,5.1,84.9,10.0,Diminution,True
z_33.0_-13.5,2024,2,2024-T2,Diminution,63.0,4.7,63.0,32.4,Diminution,True
z_33.0_-13.5,2024,4,2024-T4,Diminution,80.3,2.4,80.3,17.3,Diminution,True
z_33.0_-13.5,2025,2,2025-T2,Diminution,90.7,1.7,90.7,7.5,Diminution,True
z_33.0_-13.5,2025,4,2025-T4,Diminution,87.9,2.4,87.9,9.6,Diminution,True
z_33.0_-9.0,2023,1,2023-T1,Diminution,53.7,12.2,53.7,34.1,Diminution,True
z_33.0_-9.0,2023,2,2023-T2,Diminution,51.7,22.9,51.7,25.4,Diminution,True
z_33.0_-9.0,2023,3,2023-T3,Diminution,71.4,7.0,71.4,21.6,Diminution,True
z_33.0_-9.0,2023,4,2023-T4,Diminution,45.5,17.6,45.5,36.9,Stable,False
z_33.0_-9.0,2024,1,2024-T1,Stable,41.3,19.5,39.2,41.3,Stable,True
z_33.0_-9.0,2024,2,2024-T2,Diminution,42.3,20.4,42.3,37.3,Stable,False
z_33.0_-9.0,2024,3,2024-T3,Diminution,45.8,12.1,45.8,42.0,Diminution,True
z_33.0_-9.0,2024,4,2024-T4,Stable,52.1,17.3,30.6,52.1,Diminution,False
z_33.0_-9.0,2025,1,2025-T1,Stable,48.7,10.8,40.5,48.7,Diminution,False
z_33.0_-9.0,2025,2,2025-T2,Diminution,59.6,7.7,59.6,32.7,Diminution,True
z_33.0_-9.0,2025,3,2025-T3,Diminution,71.4,7.0,71.4,21.6,Augmentation,False
z_33.0_-9.0,2025,4,2025-T4,Stable,45.7,18.2,36.1,45.7,Diminution,False
z_33.0_10.5,2023,1,2023-T1,Diminution,92.6,2.4,92.6,5.0,Diminution,True
z_33.0_10.5,2024,1,2024-T1,Diminution,92.6,2.4,92.6,5.0,Diminution,True
z_33.0_10.5,2025,1,2025-T1,Diminution,92.6,2.4,92.6,5.0,Diminution,True
z_33.0_18.0,2023,3,2023-T3,Diminution,92.7,2.0,92.7,5.4,Diminution,True
z_33.0_18.0,2024,3,2024-T3,Diminution,92.7,2.0,92.7,5.4,Stable,False
z_33.0_18.0,2025,3,2025-T3,Diminution,87.5,1.8,87.5,10.7,Diminution,True
z_33.0_25.5,2023,2,2023-T2,Diminution,91.4,2.3,91.4,6.3,Diminution,True
z_33.0_25.5,2024,2,2024-T2,Diminution,91.4,2.3,91.4,6.3,Stable,False
z_33.0_25.5,2025,2,2025-T2,Diminution,85.9,2.0,85.9,12.1,Diminution,True
z_34.5_-1.5,2023,1,2023-T1,Diminution,72.2,10.3,72.2,17.6,Diminution,True
z_34.5_-1.5,2023,2,2023-T2,Diminution,69.7,11.8,69.7,18.4,Stable,False
z_34.5_-1.5,2023,3,2023-T3,Diminution,59.2,7.7,59.2,33.0,Diminution,True
z_34.5_-1.5,2024,1,2024-T1,Diminution,55.8,22.9,55.8,21.3,Diminution,True
z_34.5_-1.5,2024,2,2024-T2,Diminution,58.5,9.3,58.5,32.2,Diminution,True
z_34.5_-1.5,2024,3,2024-T3,Diminution,69.6,10.8,69.6,19.6,Diminution,True
z_34.5_-1.5,2025,1,2025-T1,Diminution,76.5,9.7,76.5,13.8,Diminution,True
z_34.5_-1.5,2025,2,2025-T2,Diminution,54.4,19.1,54.4,26.5,Diminution,True
z_34.5_-1.5,2025,3,2025-T3,Diminution,57.0,19.6,57.0,23.3,Diminution,True
z_34.5_-10.5,2023,1,2023-T1,Diminution,90.9,2.1,90.9,6.9,Diminution,True
z_34.5_-10.5,2023,4,2023-T4,Diminution,90.9,2.3,90.9,6.8,Diminution,True
z_34.5_-10.5,2024,1,2024-T1,Diminution,90.9,2.1,90.9,6.9,Stable,False
z_34.5_-10.5,2024,4,2024-T4,Diminution,89.8,2.9,89.8,7.3,Diminution,True
z_34.5_-10.5,2025,1,2025-T1,Diminution,84.9,2.2,84.9,13.0,Diminution,True
z_34.5_-10.5,2025,4,2025-T4,Diminution,90.9,2.3,90.9,6.8,Diminution,True
z_34.5_-4.5,2023,1,2023-T1,Diminution,78.2,5.2,78.2,16.6,Diminution,True
z_34.5_-4.5,2023,2,2023-T2,Stable,42.0,17.7,40.3,42.0,Diminution,False
z_34.5_-4.5,2023,3,2023-T3,Diminution,50.5,9.6,50.5,39.9,Stable,False
z_34.5_-4.5,2023,4,2023-T4,Diminution,50.1,6.6,50.1,43.3,Diminution,True
z_34.5_-4.5,2024,1,2024-T1,Diminution,82.6,3.5,82.6,13.9,Diminution,True
z_34.5_-4.5,2024,2,2024-T2,Diminution,59.8,15.7,59.8,24.5,Stable,False
z_34.5_-4.5,2024,3,2024-T3,Stable,48.2,6.0,45.8,48.2,Diminution,False
z_34.5_-4.5,2024,4,2024-T4,Diminution,54.2,10.7,54.2,35.1,Diminution,True
z_34.5_-4.5,2025,1,2025-T1,Diminution,88.4,4.1,88.4,7.4,Diminution,True
z_34.5_-4.5,2025,2,2025-T2,Diminution,48.4,8.1,48.4,43.5,Stable,False
z_34.5_-4.5,2025,3,2025-T3,Diminution,44.2,20.4,44.2,35.4,Diminution,True
z_34.5_-4.5,2025,4,2025-T4,Diminution,43.2,15.5,43.2,41.4,Diminution,True
z_34.5_-6.0,2023,1,2023-T1,Diminution,41.8,24.6,41.8,33.6,Stable,False
z_34.5_-6.0,2023,2,2023-T2,Stable,59.8,21.3,18.9,59.8,Diminution,False
z_34.5_-6.0,2023,3,2023-T3,Diminution,46.6,15.8,46.6,37.7,Diminution,True
z_34.5_-6.0,2023,4,2023-T4,Diminution,58.0,17.6,58.0,24.4,Diminution,True
z_34.5_-6.0,2024,1,2024-T1,Diminution,43.2,24.7,43.2,32.1,Stable,False
z_34.5_-6.0,2024,2,2024-T2,Stable,56.3,18.5,25.2,56.3,Augmentation,False
z_34.5_-6.0,2024,3,2024-T3,Augmentation,39.7,39.7,27.5,32.8,Stable,False
z_34.5_-6.0,2024,4,2024-T4,Augmentation,37.2,37.2,26.5,36.3,Diminution,False
z_34.5_-6.0,2025,1,2025-T1,Stable,42.0,34.5,23.4,42.0,Stable,True
z_34.5_-6.0,2025,2,2025-T2,Stable,53.6,26.4,20.0,53.6,Diminution,False
z_34.5_-6.0,2025,3,2025-T3,Stable,39.7,20.9,39.4,39.7,Diminution,False
z_34.5_-6.0,2025,4,2025-T4,Diminution,42.2,22.1,42.2,35.8,Diminution,True
z_34.5_-7.5,2023,1,2023-T1,Diminution,49.4,10.5,49.4,40.1,Diminution,True
z_34.5_-7.5,2023,2,2023-T2,Diminution,60.4,7.9,60.4,31.8,Stable,False
z_34.5_-7.5,2023,3,2023-T3,Diminution,61.0,4.0,61.0,35.0,Diminution,True
z_34.5_-7.5,2023,4,2023-T4,Diminution,56.3,8.5,56.3,35.2,Augmentation,False
z_34.5_-7.5,2024,1,2024-T1,Stable,39.1,23.0,37.9,39.1,Diminution,False
z_34.5_-7.5,2024,2,2024-T2,Diminution,43.7,15.5,43.7,40.8,Diminution,True
z_34.5_-7.5,2024,3,2024-T3,Diminution,74.0,5.7,74.0,20.3,Diminution,True
z_34.5_-7.5,2024,4,2024-T4,Diminution,60.1,7.3,60.1,32.6,Diminution,True
z_34.5_-7.5,2025,1,2025-T1,Diminution,51.7,12.4,51.7,35.9,Stable,False
z_34.5_-7.5,2025,2,2025-T2,Diminution,62.0,6.7,62.0,31.3,Diminution,True
z_34.5_-7.5,2025,3,2025-T3,Diminution,73.7,3.9,73.7,22.4,Diminution,True
z_34.5_-7.5,2025,4,2025-T4,Diminution,57.5,6.8,57.5,35.7,Stable,False
z_34.5_0.0,2023,2,2023-T2,Diminution,75.7,7.6,75.7,16.7,Diminution,True
z_34.5_0.0,2023,3,2023-T3,Diminution,82.5,2.8,82.5,14.7,Diminution,True
z_34.5_0.0,2023,4,2023-T4,Diminution,81.5,2.2,81.5,16.3,Diminution,True
z_34.5_0.0,2024,2,2024-T2,Diminution,72.6,2.6,72.6,24.8,Stable,False
z_34.5_0.0,2024,3,2024-T3,Diminution,69.7,2.5,69.7,27.8,Diminution,True
z_34.5_0.0,2024,4,2024-T4,Diminution,68.8,3.5,68.8,27.7,Diminution,True
z_34.5_0.0,2025,2,2025-T2,Diminution,75.5,2.7,75.5,21.8,Diminution,True
z_34.5_0.0,2025,3,2025-T3,Diminution,82.5,2.8,82.5,14.7,Diminution,True
z_34.5_0.0,2025,4,2025-T4,Diminution,81.5,2.2,81.5,16.3,Diminution,True
z_34.5_12.0,2023,1,2023-T1,Diminution,46.2,17.7,46.2,36.1,Diminution,True
z_34.5_12.0,2023,2,2023-T2,Diminution,71.3,10.7,71.3,17.9,Diminution,True
z_34.5_12.0,2023,3,2023-T3,Diminution,76.7,3.6,76.7,19.6,Stable,False
z_34.5_12.0,2023,4,2023-T4,Stable,40.5,21.1,38.4,40.5,Diminution,False
z_34.5_12.0,2024,1,2024-T1,Stable,34.3,32.7,33.0,34.3,Diminution,False
z_34.5_12.0,2024,2,2024-T2,Diminution,68.4,10.9,68.4,20.7,Diminution,True
z_34.5_12.0,2024,3,2024-T3,Diminution,81.8,3.7,81.8,14.5,Stable,False
