fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,57.5,54.7,51.4
2,2017-2018,2019,2006,1060,55.7,53.8,49.2
3,2017-2019,2020,3066,1092,53.9,54.2,47.4
4,2017-2020,2021,4158,1115,57.0,52.8,46.2
5,2017-2021,2022,5273,571,65.5,59.2,53.5
