zone,annee,trimestre,trimestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,2,2023-T2,Stable,95.5,0.3,4.2,95.5,Stable,True
z_24.0_-18.0,2024,2,2024-T2,Stable,98.3,0.0,1.6,98.3,Stable,True
z_24.0_-18.0,2025,2,2025-T2,Stable,97.2,0.3,2.5,97.2,Stable,True
z_24.0_-19.5,2023,2,2023-T2,Stable,95.5,0.5,3.9,95.5,Stable,True
z_24.0_-19.5,2024,2,2024-T2,Stable,98.4,0.0,1.5,98.4,Stable,True
z_24.0_-19.5,2025,2,2025-T2,Stable,98.4,0.0,1.5,98.4,Stable,True
z_27.0_-15.0,2023,2,2023-T2,Stable,95.7,0.3,4.0,95.7,Stable,True
z_27.0_-15.0,2023,3,2023-T3,Stable,95.0,0.4,4.6,95.0,Stable,True
z_27.0_-15.0,2024,2,2024-T2,Stable,96.8,0.8,2.3,96.8,Stable,True
z_27.0_-15.0,2024,3,2024-T3,Stable,98.0,0.1,1.9,98.0,Stable,True
z_27.0_-15.0,2025,2,2025-T2,Stable,93.1,0.2,6.6,93.1,Stable,True
z_27.0_-15.0,2025,3,2025-T3,Stable,98.0,0.1,1.9,98.0,Stable,True
z_27.0_-16.5,2023,1,2023-T1,Augmentation,69.6,69.6,16.5,13.9,Stable,False
z_27.0_-16.5,2023,2,2023-T2,Augmentation,69.3,69.3,19.5,11.2,Diminution,False
z_27.0_-16.5,2023,3,2023-T3,Augmentation,49.0,49.0,40.6,10.4,Diminution,False
z_27.0_-16.5,2023,4,2023-T4,Diminution,70.3,16.5,70.3,13.1,Stable,False
z_27.0_-16.5,2024,1,2024-T1,Diminution,64.5,21.8,64.5,13.7,Augmentation,False
z_27.0_-16.5,2024,2,2024-T2,Diminution,59.0,28.8,59.0,12.2,Augmentation,False
z_27.0_-16.5,2024,3,2024-T3,Augmentation,53.7,53.7,34.8,11.5,Stable,False
z_27.0_-16.5,2024,4,2024-T4,Augmentation,64.1,64.1,24.3,11.6,Augmentation,True
z_27.0_-16.5,2025,1,2025-T1,Augmentation,53.9,53.9,29.1,17.0,Augmentation,True
z_27.0_-16.5,2025,2,2025-T2,Augmentation,73.7,73.7,16.1,10.2,Diminution,False
z_27.0_-16.5,2025,3,2025-T3,Augmentation,53.4,53.4,36.5,10.1,Stable,False
z_27.0_-16.5,2025,4,2025-T4,Augmentation,59.8,59.8,26.8,13.4,Diminution,False
z_28.5_-13.5,2023,2,2023-T2,Stable,98.5,0.0,1.5,98.5,Stable,True
z_28.5_-13.5,2023,3,2023-T3,Stable,95.6,0.7,3.7,95.6,Stable,True
z_28.5_-13.5,2024,2,2024-T2,Stable,98.5,0.0,1.5,98.5,Stable,True
z_28.5_-13.5,2024,3,2024-T3,Stable,94.4,1.1,4.5,94.4,Stable,True
z_28.5_-13.5,2025,2,2025-T2,Stable,94.7,1.5,3.9,94.7,Stable,True
z_28.5_-13.5,2025,3,2025-T3,Stable,94.9,1.2,3.9,94.9,Stable,True
z_28.5_-15.0,2023,1,2023-T1,Stable,92.8,2.1,5.0,92.8,Stable,True
z_28.5_-15.0,2023,2,2023-T2,Stable,97.3,0.1,2.7,97.3,Stable,True
z_28.5_-15.0,2023,3,2023-T3,Diminution,87.5,1.4,87.5,11.1,Stable,False
z_28.5_-15.0,2023,4,2023-T4,Stable,88.1,6.2,5.7,88.1,Stable,True
z_28.5_-15.0,2024,1,2024-T1,Stable,81.6,11.8,6.6,81.6,Stable,True
