zone,annee,semestre,semestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,1,2023-S1,Stable,99.1,0.0,0.9,99.1,Stable,True
z_24.0_-18.0,2024,1,2024-S1,Stable,99.1,0.0,0.9,99.1,Stable,True
z_24.0_-18.0,2025,1,2025-S1,Stable,98.9,0.4,0.7,98.9,Stable,True
z_24.0_-19.5,2023,1,2023-S1,Stable,99.3,0.0,0.7,99.3,Stable,True
z_24.0_-19.5,2024,1,2024-S1,Stable,97.8,1.0,1.2,97.8,Stable,True
z_24.0_-19.5,2025,1,2025-S1,Stable,99.3,0.0,0.6,99.3,Stable,True
z_27.0_-15.0,2023,1,2023-S1,Stable,97.5,0.1,2.4,97.5,Stable,True
z_27.0_-15.0,2023,2,2023-S2,Stable,61.6,24.2,14.2,61.6,Stable,True
z_27.0_-15.0,2024,1,2024-S1,Stable,86.4,8.6,5.0,86.4,Stable,True
z_27.0_-15.0,2024,2,2024-S2,Stable,79.1,4.0,16.9,79.1,Stable,True
z_27.0_-15.0,2025,1,2025-S1,Stable,97.1,0.1,2.9,97.1,Stable,True
z_27.0_-15.0,2025,2,2025-S2,Stable,82.4,0.8,16.8,82.4,Stable,True
z_27.0_-16.5,2023,1,2023-S1,Augmentation,77.4,77.4,15.0,7.6,Stable,False
z_27.0_-16.5,2023,2,2023-S2,Augmentation,53.5,53.5,34.3,12.2,Diminution,False
z_27.0_-16.5,2024,1,2024-S1,Augmentation,50.1,50.1,37.7,12.2,Augmentation,True
z_27.0_-16.5,2024,2,2024-S2,Augmentation,50.4,50.4,38.8,10.9,Augmentation,True
z_27.0_-16.5,2025,1,2025-S1,Augmentation,69.8,69.8,19.3,10.9,Augmentation,True
z_27.0_-16.5,2025,2,2025-S2,Augmentation,68.9,68.9,23.0,8.1,Diminution,False
z_28.5_-13.5,2023,1,2023-S1,Stable,98.9,0.0,1.0,98.9,Stable,True
z_28.5_-13.5,2023,2,2023-S2,Stable,97.5,0.7,1.8,97.5,Stable,True
z_28.5_-13.5,2024,1,2024-S1,Stable,98.9,0.0,1.0,98.9,Stable,True
z_28.5_-13.5,2024,2,2024-S2,Stable,96.3,2.2,1.5,96.3,Stable,True
z_28.5_-13.5,2025,1,2025-S1,Stable,97.1,1.4,1.5,97.1,Stable,True
z_28.5_-13.5,2025,2,2025-S2,Stable,96.7,2.1,1.1,96.7,Stable,True
z_28.5_-15.0,2023,1,2023-S1,Diminution,71.0,6.1,71.0,22.9,Stable,False
z_28.5_-15.0,2023,2,2023-S2,Stable,82.6,8.0,9.5,82.6,Stable,True
z_28.5_-15.0,2024,1,2024-S1,Diminution,52.2,21.2,52.2,26.6,Stable,False
z_28.5_-15.0,2024,2,2024-S2,Stable,59.8,37.0,3.2,59.8,Stable,True
z_28.5_-15.0,2025,1,2025-S1,Diminution,71.0,11.7,71.0,17.3,Stable,False
z_28.5_-15.0,2025,2,2025-S2,Stable,55.4,35.3,9.2,55.4,Stable,True
z_28.5_-16.5,2023,1,2023-S1,Diminution,62.8,17.3,62.8,19.8,Stable,False
z_28.5_-16.5,2023,2,2023-S2,Diminution,72.1,6.7,72.1,21.2,Diminution,True
z_28.5_-16.5,2024,1,2024-S1,Diminution,68.5,6.8,68.5,24.7,Stable,False
z_28.5_-16.5,2024,2,2024-S2,Diminution,63.2,14.0,63.2,22.8,Stable,False
z_28.5_-16.5,2025,1,2025-S1,Diminution,49.4,23.7,49.4,26.9,Stable,False
z_28.5_-16.5,2025,2,2025-S2,Diminution,45.5,30.1,45.5,24.4,Diminution,True
z_30.0_-10.5,2023,1,2023-S1,Stable,96.6,0.4,3.1,96.6,Stable,True
z_30.0_-10.5,2023,2,2023-S2,Stable,97.9,0.1,2.0,97.9,Stable,True
z_30.0_-10.5,2024,1,2024-S1,Stable,96.6,0.4,3.1,96.6,Stable,True
z_30.0_-10.5,2024,2,2024-S2,Stable,98.0,0.9,1.0,98.0,Stable,True
z_30.0_-10.5,2025,1,2025-S1,Stable,80.4,16.3,3.2,80.4,Stable,True
z_30.0_-10.5,2025,2,2025-S2,Stable,93.2,5.2,1.6,93.2,Stable,True
z_30.0_-13.5,2023,1,2023-S1,Diminution,84.8,0.6,84.8,14.6,Diminution,True
z_30.0_-13.5,2024,1,2024-S1,Diminution,85.8,0.8,85.8,13.4,Stable,False
z_30.0_-13.5,2025,1,2025-S1,Diminution,85.6,1.0,85.6,13.4,Stable,False
z_30.0_-15.0,2023,1,2023-S1,Diminution,78.2,4.6,78.2,17.2,Diminution,True
z_30.0_-15.0,2024,1,2024-S1,Diminution,78.7,0.9,78.7,20.3,Diminution,True
z_30.0_-15.0,2025,1,2025-S1,Diminution,86.5,1.2,86.5,12.3,Stable,False
z_30.0_28.5,2023,1,2023-S1,Diminution,68.9,4.0,68.9,27.0,Stable,False
z_30.0_28.5,2023,2,2023-S2,Diminution,57.5,19.8,57.5,22.7,Diminution,True
z_30.0_28.5,2024,1,2024-S1,Diminution,61.3,17.1,61.3,21.5,Diminution,True
z_30.0_28.5,2024,2,2024-S2,Diminution,70.5,13.4,70.5,16.1,Diminution,True
z_30.0_28.5,2025,1,2025-S1,Diminution,71.5,3.1,71.5,25.4,Diminution,True
z_30.0_28.5,2025,2,2025-S2,Diminution,78.6,7.2,78.6,14.2,Stable,False
z_30.0_30.0,2023,1,2023-S1,Stable,96.7,1.6,1.7,96.7,Stable,True
z_30.0_30.0,2023,2,2023-S2,Stable,99.0,0.0,0.9,99.0,Stable,True
z_30.0_30.0,2024,1,2024-S1,Stable,94.7,3.4,1.9,94.7,Stable,True
z_30.0_30.0,2024,2,2024-S2,Stable,91.8,5.5,2.8,91.8,Stable,True
z_30.0_30.0,2025,1,2025-S1,Stable,96.6,1.8,1.6,96.6,Stable,True
z_30.0_30.0,2025,2,2025-S2,Stable,99.0,0.4,0.6,99.0,Stable,True
z_30.0_31.5,2023,1,2023-S1,Diminution,48.9,24.9,48.9,26.2,Augmentation,False
z_30.0_31.5,2023,2,2023-S2,Diminution,37.8,37.6,37.8,24.6,Stable,False
z_30.0_31.5,2024,1,2024-S1,Diminution,38.3,34.2,38.3,27.5,Stable,False
z_30.0_31.5,2024,2,2024-S2,Diminution,62.4,15.1,62.4,22.5,Augmentation,False
z_30.0_31.5,2025,1,2025-S1,Augmentation,44.4,44.4,33.3,22.3,Stable,False
z_30.0_31.5,2025,2,2025-S2,Diminution,52.7,24.0,52.7,23.3,Diminution,True
z_31.5_-15.0,2023,1,2023-S1,Stable,99.1,0.3,0.6,99.1,Stable,True
z_31.5_-15.0,2023,2,2023-S2,Stable,94.7,3.2,2.1,94.7,Stable,True
z_31.5_-15.0,2024,1,2024-S1,Stable,99.0,0.3,0.7,99.0,Stable,True
z_31.5_-15.0,2024,2,2024-S2,Stable,98.9,0.3,0.8,98.9,Stable,True
z_31.5_-15.0,2025,1,2025-S1,Stable,99.1,0.5,0.4,99.1,Stable,True
z_31.5_-15.0,2025,2,2025-S2,Stable,96.7,1.9,1.3,96.7,Stable,True
z_31.5_-18.0,2023,1,2023-S1,Stable,80.6,17.7,1.7,80.6,Stable,True
