zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,Diminution,73.2,5.4,73.2,21.4,Diminution,True
z_24.0_-18.0,2024,Diminution,73.3,8.5,73.3,18.2,Stable,False
z_24.0_-18.0,2025,Diminution,58.2,17.5,58.2,24.3,Diminution,True
z_24.0_-19.5,2023,Diminution,81.1,1.7,81.1,17.1,Stable,False
z_24.0_-19.5,2024,Diminution,65.5,12.3,65.5,22.2,Diminution,True
z_24.0_-19.5,2025,Diminution,78.9,3.0,78.9,18.1,Diminution,True
z_27.0_-15.0,2023,Diminution,61.1,5.5,61.1,33.4,Augmentation,False
z_27.0_-15.0,2024,Diminution,56.7,7.7,56.7,35.7,Diminution,True
z_27.0_-15.0,2025,Diminution,62.5,7.5,62.5,30.0,Diminution,True
z_27.0_-16.5,2023,Augmentation,55.3,55.3,16.7,28.0,Diminution,False
z_27.0_-16.5,2024,Augmentation,50.3,50.3,22.5,27.2,Augmentation,True
z_27.0_-16.5,2025,Augmentation,53.0,53.0,19.7,27.4,Stable,False
z_28.5_-13.5,2023,Diminution,78.1,2.3,78.1,19.6,Diminution,True
z_28.5_-13.5,2024,Diminution,78.1,2.3,78.1,19.6,Diminution,True
z_28.5_-13.5,2025,Diminution,69.7,8.7,69.7,21.6,Diminution,True
z_28.5_-15.0,2023,Augmentation,31.5,31.5,28.0,40.6,Augmentation,True
z_28.5_-15.0,2024,Augmentation,31.1,31.1,24.0,44.9,Stable,False
z_28.5_-15.0,2025,Augmentation,35.8,35.8,30.6,33.6,Stable,False
z_28.5_-16.5,2023,Augmentation,47.5,47.5,22.6,29.9,Diminution,False
z_28.5_-16.5,2024,Augmentation,42.3,42.3,25.3,32.4,Stable,False
z_28.5_-16.5,2025,Augmentation,41.8,41.8,25.4,32.8,Stable,False
z_30.0_-10.5,2023,Diminution,36.0,14.6,36.0,49.4,Diminution,True
z_30.0_-10.5,2024,Diminution,46.9,13.2,46.9,39.9,Augmentation,False
