fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2016-2016,2017,2844,3161,80.5,74.9,66.4
2,2016-2017,2018,6005,3419,78.1,73.1,62.1
3,2016-2018,2019,9424,3611,79.4,77.0,64.6
4,2016-2019,2020,13035,3783,81.4,80.7,65.4
5,2016-2020,2021,16818,3929,86.3,81.1,70.2
6,2016-2021,2022,20747,3669,87.0,81.0,69.9
