fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2016-2016,2017,2844,3161,58.9,53.4,47.8
2,2016-2017,2018,6005,3419,60.5,52.8,47.8
3,2016-2018,2019,9424,3611,59.6,54.8,47.5
4,2016-2019,2020,13035,3783,60.3,57.9,47.8
5,2016-2020,2021,16818,3929,65.3,58.3,50.3
6,2016-2021,2022,20747,3669,69.4,56.5,49.9
