fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,70.1,70.0,60.6
2,2017-2018,2019,2006,1060,70.8,66.9,57.2
3,2017-2019,2020,3066,1092,74.5,70.5,62.9
4,2017-2020,2021,4158,1115,75.5,71.2,63.5
5,2017-2021,2022,5273,571,79.3,78.1,69.7
