fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2019-2019,2020,1736,1802,54.7,55.1,45.6
2,2019-2020,2021,3538,1845,57.8,52.9,44.0
3,2019-2021,2022,5383,1398,66.0,58.5,51.1
