fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,57.0,55.5,51.6
2,2017-2018,2019,2006,1060,54.0,52.5,47.9
3,2017-2019,2020,3066,1092,54.1,54.9,47.7
4,2017-2020,2021,4158,1115,56.1,53.2,45.8
5,2017-2021,2022,5273,571,65.5,60.0,53.9
