fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,56.8,56.2,51.9
2,2017-2018,2019,2006,1060,53.9,54.3,49.1
3,2017-2019,2020,3066,1092,53.5,56.6,47.9
4,2017-2020,2021,4158,1115,54.3,53.0,44.9
5,2017-2021,2022,5273,571,66.0,62.9,55.8
