zone,annee,semestre,semestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,1,2023-S1,Stable,99.0,0.0,1.0,99.0,Stable,True
z_24.0_-18.0,2024,1,2024-S1,Stable,99.0,0.0,1.0,99.0,Stable,True
z_24.0_-18.0,2025,1,2025-S1,Stable,98.8,0.2,1.0,98.8,Stable,True
z_24.0_-19.5,2023,1,2023-S1,Stable,99.1,0.0,0.8,99.1,Stable,True
z_24.0_-19.5,2024,1,2024-S1,Stable,97.9,0.6,1.5,97.9,Stable,True
z_24.0_-19.5,2025,1,2025-S1,Stable,99.0,0.0,0.9,99.0,Stable,True
z_27.0_-15.0,2023,1,2023-S1,Stable,97.7,0.0,2.3,97.7,Stable,True
z_27.0_-15.0,2023,2,2023-S2,Stable,61.0,24.0,14.9,61.0,Stable,True
z_27.0_-15.0,2024,1,2024-S1,Stable,83.9,10.1,6.0,83.9,Stable,True
z_27.0_-15.0,2024,2,2024-S2,Stable,82.1,4.5,13.3,82.1,Stable,True
z_27.0_-15.0,2025,1,2025-S1,Stable,97.1,0.1,2.8,97.1,Stable,True
z_27.0_-15.0,2025,2,2025-S2,Stable,82.1,0.7,17.2,82.1,Stable,True
z_27.0_-16.5,2023,1,2023-S1,Augmentation,77.9,77.9,14.3,7.7,Stable,False
z_27.0_-16.5,2023,2,2023-S2,Augmentation,53.8,53.8,34.5,11.7,Diminution,False
z_27.0_-16.5,2024,1,2024-S1,Augmentation,51.8,51.8,37.7,10.5,Augmentation,True
z_27.0_-16.5,2024,2,2024-S2,Augmentation,46.9,46.9,39.6,13.5,Augmentation,True
z_27.0_-16.5,2025,1,2025-S1,Augmentation,66.7,66.7,21.8,11.5,Augmentation,True
z_27.0_-16.5,2025,2,2025-S2,Augmentation,67.4,67.4,25.0,7.6,Diminution,False
z_28.5_-13.5,2023,1,2023-S1,Stable,98.8,0.0,1.2,98.8,Stable,True
z_28.5_-13.5,2023,2,2023-S2,Stable,97.8,0.6,1.6,97.8,Stable,True
z_28.5_-13.5,2024,1,2024-S1,Stable,98.8,0.0,1.2,98.8,Stable,True
z_28.5_-13.5,2024,2,2024-S2,Stable,96.4,1.8,1.8,96.4,Stable,True
z_28.5_-13.5,2025,1,2025-S1,Stable,97.0,0.9,2.1,97.0,Stable,True
z_28.5_-13.5,2025,2,2025-S2,Stable,96.6,1.8,1.6,96.6,Stable,True
z_28.5_-15.0,2023,1,2023-S1,Diminution,68.0,6.8,68.0,25.2,Stable,False
z_28.5_-15.0,2023,2,2023-S2,Stable,82.9,7.8,9.3,82.9,Stable,True
z_28.5_-15.0,2024,1,2024-S1,Diminution,55.3,18.8,55.3,25.9,Stable,False
z_28.5_-15.0,2024,2,2024-S2,Stable,60.3,36.1,3.6,60.3,Stable,True
z_28.5_-15.0,2025,1,2025-S1,Diminution,71.7,10.7,71.7,17.7,Stable,False
z_28.5_-15.0,2025,2,2025-S2,Stable,56.9,35.5,7.6,56.9,Stable,True
z_28.5_-16.5,2023,1,2023-S1,Diminution,57.9,19.0,57.9,23.1,Stable,False
