fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,606,604,51.7,48.2,46.2
2,2017-2018,2019,1210,607,54.9,49.5,48.2
3,2017-2019,2020,1817,599,58.4,51.4,50.1
4,2017-2020,2021,2416,559,57.8,52.3,49.9
5,2017-2021,2022,2975,260,52.3,48.2,46.3
