zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,Stable,99.4,0.2,0.3,99.4,Stable,True
z_24.0_-18.0,2024,Stable,99.4,0.2,0.5,99.4,Stable,True
z_24.0_-18.0,2025,Stable,99.1,0.1,0.8,99.1,Stable,True
z_24.0_-19.5,2023,Stable,99.5,0.1,0.4,99.5,Stable,True
z_24.0_-19.5,2024,Stable,99.5,0.0,0.5,99.5,Stable,True
z_24.0_-19.5,2025,Stable,98.3,1.4,0.3,98.3,Stable,True
z_27.0_-15.0,2023,Stable,96.8,0.8,2.4,96.8,Stable,True
z_27.0_-15.0,2024,Stable,79.3,5.5,15.2,79.3,Stable,True
z_27.0_-15.0,2025,Stable,80.8,3.2,16.0,80.8,Stable,True
z_27.0_-16.5,2023,Augmentation,55.1,55.1,40.3,4.5,Diminution,False
z_27.0_-16.5,2024,Diminution,57.1,38.6,57.1,4.3,Augmentation,False
z_27.0_-16.5,2025,Diminution,48.5,47.3,48.5,4.1,Stable,False
z_28.5_-13.5,2023,Diminution,86.3,0.8,86.3,12.9,Diminution,True
z_28.5_-13.5,2024,Diminution,86.3,0.8,86.3,12.9,Stable,False
z_28.5_-13.5,2025,Diminution,84.5,0.8,84.5,14.7,Diminution,True
z_28.5_-15.0,2023,Diminution,60.1,18.6,60.1,21.3,Stable,False
z_28.5_-15.0,2024,Diminution,64.5,13.9,64.5,21.6,Stable,False
z_28.5_-15.0,2025,Diminution,66.8,18.9,66.8,14.3,Stable,False
z_28.5_-16.5,2023,Diminution,53.6,33.0,53.6,13.4,Stable,False
z_28.5_-16.5,2024,Diminution,54.6,20.8,54.6,24.6,Stable,False
z_28.5_-16.5,2025,Diminution,46.7,34.7,46.7,18.6,Stable,False
z_30.0_-10.5,2023,Stable,96.8,1.6,1.6,96.8,Stable,True
z_30.0_-10.5,2024,Stable,96.0,1.7,2.3,96.0,Stable,True
z_30.0_-10.5,2025,Stable,78.0,7.0,15.0,78.0,Stable,True
z_30.0_-13.5,2023,Diminution,85.5,1.9,85.5,12.6,Diminution,True
z_30.0_-13.5,2024,Diminution,84.2,2.3,84.2,13.5,Stable,False
z_30.0_-13.5,2025,Diminution,80.9,2.1,80.9,17.1,Stable,False
z_30.0_-15.0,2023,Diminution,77.3,0.7,77.3,22.0,Diminution,True
z_30.0_-15.0,2024,Diminution,75.9,0.9,75.9,23.2,Diminution,True
z_30.0_-15.0,2025,Diminution,80.6,1.5,80.6,17.8,Stable,False
z_30.0_28.5,2023,Diminution,43.6,35.7,43.6,20.6,Stable,False
z_30.0_28.5,2024,Diminution,43.9,25.2,43.9,30.9,Diminution,True
z_30.0_28.5,2025,Diminution,47.0,26.8,47.0,26.1,Diminution,True
z_30.0_30.0,2023,Stable,96.9,1.8,1.3,96.9,Stable,True
z_30.0_30.0,2024,Stable,98.0,0.6,1.4,98.0,Stable,True
z_30.0_30.0,2025,Stable,98.4,0.4,1.2,98.4,Stable,True
z_30.0_31.5,2023,Augmentation,45.9,45.9,38.8,15.3,Augmentation,True
z_30.0_31.5,2024,Augmentation,52.5,52.5,34.0,13.6,Stable,False
z_30.0_31.5,2025,Augmentation,53.2,53.2,32.9,13.9,Diminution,False
z_31.5_-15.0,2023,Stable,99.2,0.0,0.8,99.2,Stable,True
z_31.5_-15.0,2024,Stable,99.3,0.1,0.6,99.3,Stable,True
z_31.5_-15.0,2025,Stable,98.2,1.2,0.5,98.2,Stable,True
z_31.5_-18.0,2023,Stable,61.6,32.6,5.9,61.6,Stable,True
z_31.5_-18.0,2024,Augmentation,47.0,47.0,6.2,46.8,Stable,False
z_31.5_-18.0,2025,Stable,57.1,38.1,4.8,57.1,Stable,True
z_31.5_31.5,2023,Stable,73.8,19.9,6.3,73.8,Stable,True
z_31.5_31.5,2024,Stable,63.3,33.9,2.9,63.3,Stable,True
z_31.5_31.5,2025,Stable,59.5,36.9,3.6,59.5,Stable,True
z_33.0_-13.5,2023,Stable,97.9,1.9,0.2,97.9,Stable,True
z_33.0_-13.5,2024,Stable,92.6,3.6,3.8,92.6,Stable,True
z_33.0_-13.5,2025,Stable,97.9,1.9,0.2,97.9,Stable,True
z_33.0_-9.0,2023,Diminution,50.5,28.8,50.5,20.7,Stable,False
z_33.0_-9.0,2024,Diminution,39.7,32.6,39.7,27.8,Stable,False
z_33.0_-9.0,2025,Diminution,50.8,24.9,50.8,24.3,Stable,False
z_33.0_10.5,2023,Stable,99.4,0.1,0.4,99.4,Stable,True
z_33.0_10.5,2024,Stable,99.4,0.1,0.4,99.4,Stable,True
z_33.0_10.5,2025,Stable,99.4,0.1,0.4,99.4,Stable,True
z_33.0_18.0,2023,Stable,99.4,0.3,0.3,99.4,Stable,True
z_33.0_18.0,2024,Stable,99.4,0.3,0.3,99.4,Stable,True
z_33.0_18.0,2025,Stable,99.4,0.2,0.4,99.4,Stable,True
z_33.0_25.5,2023,Stable,96.8,0.1,3.2,96.8,Stable,True
z_33.0_25.5,2024,Stable,96.8,0.1,3.2,96.8,Stable,True
z_33.0_25.5,2025,Stable,96.9,0.2,2.8,96.9,Stable,True
z_34.5_-1.5,2023,Stable,84.4,12.6,3.0,84.4,Stable,True
z_34.5_-1.5,2024,Stable,64.5,27.8,7.8,64.5,Stable,True
z_34.5_-1.5,2025,Stable,71.8,18.4,9.9,71.8,Stable,True
z_34.5_-10.5,2023,Stable,99.2,0.5,0.3,99.2,Stable,True
z_34.5_-10.5,2024,Stable,99.2,0.5,0.3,99.2,Stable,True
z_34.5_-10.5,2025,Stable,99.2,0.5,0.3,99.2,Stable,True
z_34.5_-4.5,2023,Diminution,56.1,18.7,56.1,25.2,Stable,False
z_34.5_-4.5,2024,Diminution,58.7,16.7,58.7,24.7,Stable,False
z_34.5_-4.5,2025,Diminution,63.7,14.2,63.7,22.1,Stable,False
z_34.5_-6.0,2023,Diminution,69.3,22.1,69.3,8.5,Diminution,True
z_34.5_-6.0,2024,Diminution,74.0,16.7,74.0,9.3,Stable,False
z_34.5_-6.0,2025,Diminution,54.9,34.9,54.9,10.2,Diminution,True
z_34.5_-7.5,2023,Stable,56.0,33.5,10.5,56.0,Augmentation,False
z_34.5_-7.5,2024,Augmentation,53.4,53.4,10.6,35.9,Stable,False
z_34.5_-7.5,2025,Stable,52.0,32.9,15.1,52.0,Stable,True
z_34.5_0.0,2023,Stable,94.5,3.2,2.3,94.5,Stable,True
z_34.5_0.0,2024,Stable,96.3,0.9,2.8,96.3,Stable,True
