zone,mois,annee,mois_num,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_28.5_-15.0,8,2023,8,Stable,62.9,34.9,2.2,62.9,Diminution,False
z_28.5_-15.0,11,2023,11,Stable,65.0,32.4,2.6,65.0,Stable,True
z_28.5_-15.0,12,2023,12,Stable,67.6,29.3,3.1,67.6,Stable,True
z_28.5_-15.0,1,2024,1,Stable,68.0,28.8,3.2,68.0,Diminution,False
z_28.5_-15.0,2,2024,2,Stable,66.0,30.6,3.5,66.0,Stable,True
z_28.5_-15.0,5,2024,5,Stable,66.4,29.6,4.0,66.4,Stable,True
z_28.5_-15.0,7,2024,7,Stable,61.2,37.0,1.8,61.2,Stable,True
z_28.5_-15.0,8,2024,8,Stable,63.2,34.7,2.1,63.2,Stable,True
z_28.5_-15.0,11,2024,11,Stable,66.4,31.2,2.4,66.4,Stable,True
z_28.5_-15.0,12,2024,12,Stable,63.4,33.7,2.9,63.4,Stable,True
z_28.5_-15.0,1,2025,1,Stable,67.7,29.1,3.2,67.7,Diminution,False
z_28.5_-15.0,2,2025,2,Stable,66.3,30.0,3.7,66.3,Stable,True
z_28.5_-15.0,5,2025,5,Stable,66.0,29.9,4.1,66.0,Stable,True
z_28.5_-15.0,7,2025,7,Stable,63.2,34.7,2.1,63.2,Stable,True
z_28.5_-15.0,8,2025,8,Stable,61.6,36.5,1.9,61.6,Diminution,False
z_28.5_-15.0,11,2025,11,Stable,65.5,31.5,3.0,65.5,Stable,True
z_28.5_-15.0,12,2025,12,Stable,66.8,30.0,3.2,66.8,Stable,True
z_28.5_-16.5,2,2023,2,Stable,66.1,30.3,3.7,66.1,Stable,True
z_28.5_-16.5,3,2023,3,Stable,63.8,32.9,3.3,63.8,Diminution,False
z_28.5_-16.5,7,2023,7,Stable,60.5,37.1,2.4,60.5,Stable,True
z_28.5_-16.5,8,2023,8,Stable,62.8,35.0,2.2,62.8,Stable,True
z_28.5_-16.5,9,2023,9,Stable,66.0,30.9,3.1,66.0,Diminution,False
z_28.5_-16.5,10,2023,10,Stable,64.0,33.4,2.6,64.0,Diminution,False
z_28.5_-16.5,11,2023,11,Stable,65.4,31.6,3.0,65.4,Stable,True
z_28.5_-16.5,12,2023,12,Stable,67.1,29.6,3.3,67.1,Stable,True
z_28.5_-16.5,2,2024,2,Stable,66.3,29.9,3.7,66.3,Stable,True
z_28.5_-16.5,3,2024,3,Stable,66.8,28.9,4.3,66.8,Diminution,False
z_28.5_-16.5,7,2024,7,Stable,60.6,36.7,2.6,60.6,Stable,True
z_28.5_-16.5,8,2024,8,Stable,64.2,32.8,3.0,64.2,Stable,True
z_28.5_-16.5,9,2024,9,Stable,67.7,30.0,2.3,67.7,Diminution,False
z_28.5_-16.5,10,2024,10,Stable,65.5,32.0,2.5,65.5,Diminution,False
z_28.5_-16.5,11,2024,11,Stable,65.4,31.6,3.0,65.4,Stable,True
z_28.5_-16.5,12,2024,12,Stable,65.8,28.9,5.2,65.8,Stable,True
z_28.5_-16.5,2,2025,2,Stable,64.6,31.9,3.6,64.6,Stable,True
z_28.5_-16.5,3,2025,3,Stable,72.2,24.6,3.2,72.2,Diminution,False
z_28.5_-16.5,7,2025,7,Stable,56.8,40.7,2.5,56.8,Stable,True
z_28.5_-16.5,8,2025,8,Stable,62.8,34.7,2.5,62.8,Stable,True
z_28.5_-16.5,9,2025,9,Stable,66.0,30.9,3.1,66.0,Diminution,False
z_28.5_-16.5,10,2025,10,Stable,64.3,32.6,3.1,64.3,Diminution,False
z_28.5_-16.5,11,2025,11,Stable,61.4,35.7,2.9,61.4,Stable,True
z_28.5_-16.5,12,2025,12,Stable,60.5,36.8,2.7,60.5,Stable,True
z_30.0_-10.5,4,2023,4,Stable,68.4,31.0,0.6,68.4,Stable,True
z_30.0_-10.5,5,2023,5,Stable,68.8,30.5,0.7,68.8,Stable,True
z_30.0_-10.5,9,2023,9,Stable,64.2,35.2,0.7,64.2,Stable,True
z_30.0_-10.5,4,2024,4,Stable,69.7,29.8,0.5,69.7,Stable,True
z_30.0_-10.5,5,2024,5,Stable,68.8,30.5,0.7,68.8,Stable,True
z_30.0_-10.5,9,2024,9,Stable,64.1,35.2,0.7,64.1,Stable,True
