zone,annee,semestre,semestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,1,2023-S1,Diminution,84.2,1.5,84.2,14.4,Diminution,True
z_24.0_-18.0,2024,1,2024-S1,Diminution,84.2,1.5,84.2,14.4,Diminution,True
z_24.0_-18.0,2025,1,2025-S1,Diminution,89.5,2.0,89.5,8.6,Diminution,True
z_24.0_-19.5,2023,1,2023-S1,Diminution,86.3,0.8,86.3,12.9,Stable,False
z_24.0_-19.5,2024,1,2024-S1,Diminution,77.8,1.4,77.8,20.8,Diminution,True
z_24.0_-19.5,2025,1,2025-S1,Diminution,78.8,3.6,78.8,17.6,Diminution,True
z_27.0_-15.0,2023,1,2023-S1,Diminution,76.3,1.8,76.3,21.9,Augmentation,False
z_27.0_-15.0,2023,2,2023-S2,Diminution,63.4,10.2,63.4,26.4,Diminution,True
z_27.0_-15.0,2024,1,2024-S1,Stable,46.2,8.9,44.8,46.2,Diminution,False
z_27.0_-15.0,2024,2,2024-S2,Diminution,66.6,2.4,66.6,31.0,Diminution,True
z_27.0_-15.0,2025,1,2025-S1,Diminution,59.1,8.4,59.1,32.6,Diminution,True
z_27.0_-15.0,2025,2,2025-S2,Diminution,69.0,4.2,69.0,26.8,Diminution,True
z_27.0_-16.5,2023,1,2023-S1,Augmentation,76.3,76.3,8.9,14.9,Diminution,False
z_27.0_-16.5,2023,2,2023-S2,Augmentation,59.4,59.4,20.5,20.1,Diminution,False
z_27.0_-16.5,2024,1,2024-S1,Augmentation,55.6,55.6,28.6,15.9,Augmentation,True
z_27.0_-16.5,2024,2,2024-S2,Augmentation,56.5,56.5,22.3,21.3,Augmentation,True
z_27.0_-16.5,2025,1,2025-S1,Augmentation,62.8,62.8,14.2,23.0,Augmentation,True
z_27.0_-16.5,2025,2,2025-S2,Augmentation,65.6,65.6,15.7,18.7,Diminution,False
z_28.5_-13.5,2023,1,2023-S1,Diminution,84.8,1.9,84.8,13.3,Diminution,True
z_28.5_-13.5,2023,2,2023-S2,Diminution,77.7,3.0,77.7,19.3,Diminution,True
z_28.5_-13.5,2024,1,2024-S1,Diminution,84.8,1.9,84.8,13.3,Stable,False
z_28.5_-13.5,2024,2,2024-S2,Diminution,76.6,5.8,76.6,17.6,Diminution,True
z_28.5_-13.5,2025,1,2025-S1,Diminution,76.5,2.2,76.5,21.3,Diminution,True
z_28.5_-13.5,2025,2,2025-S2,Diminution,75.1,7.9,75.1,17.0,Diminution,True
z_28.5_-15.0,2023,1,2023-S1,Diminution,47.3,16.6,47.3,36.2,Diminution,True
z_28.5_-15.0,2023,2,2023-S2,Diminution,40.9,18.7,40.9,40.4,Augmentation,False
