zone,annee,semestre,semestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,1,2023-S1,Stable,98.8,0.0,1.2,98.8,Stable,True
z_24.0_-18.0,2024,1,2024-S1,Stable,98.8,0.0,1.2,98.8,Stable,True
z_24.0_-18.0,2025,1,2025-S1,Stable,98.7,0.4,0.9,98.7,Stable,True
z_24.0_-19.5,2023,1,2023-S1,Stable,98.6,0.0,1.4,98.6,Stable,True
z_24.0_-19.5,2024,1,2024-S1,Stable,98.0,0.4,1.7,98.0,Stable,True
z_24.0_-19.5,2025,1,2025-S1,Stable,98.5,0.0,1.5,98.5,Stable,True
z_27.0_-15.0,2023,1,2023-S1,Stable,97.9,0.1,2.0,97.9,Stable,True
z_27.0_-15.0,2023,2,2023-S2,Stable,59.4,24.0,16.6,59.4,Stable,True
z_27.0_-15.0,2024,1,2024-S1,Stable,84.9,10.0,5.2,84.9,Stable,True
z_27.0_-15.0,2024,2,2024-S2,Stable,79.2,3.5,17.4,79.2,Stable,True
z_27.0_-15.0,2025,1,2025-S1,Stable,97.8,0.1,2.1,97.8,Stable,True
z_27.0_-15.0,2025,2,2025-S2,Stable,82.2,0.7,17.1,82.2,Stable,True
z_27.0_-16.5,2023,1,2023-S1,Augmentation,79.8,79.8,12.4,7.8,Stable,False
z_27.0_-16.5,2023,2,2023-S2,Augmentation,55.0,55.0,35.0,10.1,Diminution,False
z_27.0_-16.5,2024,1,2024-S1,Augmentation,53.5,53.5,37.4,9.1,Augmentation,True
z_27.0_-16.5,2024,2,2024-S2,Augmentation,46.0,46.0,41.6,12.4,Augmentation,True
z_27.0_-16.5,2025,1,2025-S1,Augmentation,67.8,67.8,21.6,10.6,Augmentation,True
z_27.0_-16.5,2025,2,2025-S2,Augmentation,67.5,67.5,25.0,7.5,Diminution,False
z_28.5_-13.5,2023,1,2023-S1,Stable,98.9,0.0,1.1,98.9,Stable,True
z_28.5_-13.5,2023,2,2023-S2,Stable,97.6,0.6,1.7,97.6,Stable,True
z_28.5_-13.5,2024,1,2024-S1,Stable,98.9,0.0,1.1,98.9,Stable,True
z_28.5_-13.5,2024,2,2024-S2,Stable,96.4,1.9,1.8,96.4,Stable,True
z_28.5_-13.5,2025,1,2025-S1,Stable,97.5,0.6,2.0,97.5,Stable,True
z_28.5_-13.5,2025,2,2025-S2,Stable,95.9,2.2,1.9,95.9,Stable,True
z_28.5_-15.0,2023,1,2023-S1,Diminution,73.0,5.9,73.0,21.2,Stable,False
z_28.5_-15.0,2023,2,2023-S2,Stable,82.1,7.2,10.7,82.1,Stable,True
z_28.5_-15.0,2024,1,2024-S1,Diminution,53.9,21.0,53.9,25.0,Stable,False
z_28.5_-15.0,2024,2,2024-S2,Stable,56.0,41.3,2.7,56.0,Stable,True
z_28.5_-15.0,2025,1,2025-S1,Diminution,69.9,10.2,69.9,19.9,Stable,False
z_28.5_-15.0,2025,2,2025-S2,Stable,54.8,37.0,8.2,54.8,Stable,True
z_28.5_-16.5,2023,1,2023-S1,Diminution,61.0,18.1,61.0,20.9,Stable,False
z_28.5_-16.5,2023,2,2023-S2,Diminution,71.0,7.7,71.0,21.3,Diminution,True
z_28.5_-16.5,2024,1,2024-S1,Diminution,69.1,7.3,69.1,23.5,Stable,False
z_28.5_-16.5,2024,2,2024-S2,Diminution,59.7,14.2,59.7,26.2,Stable,False
z_28.5_-16.5,2025,1,2025-S1,Diminution,49.1,25.2,49.1,25.6,Stable,False
z_28.5_-16.5,2025,2,2025-S2,Diminution,46.7,27.3,46.7,26.0,Diminution,True
z_30.0_-10.5,2023,1,2023-S1,Stable,96.7,0.3,2.9,96.7,Stable,True
z_30.0_-10.5,2023,2,2023-S2,Stable,98.0,0.1,1.8,98.0,Stable,True
z_30.0_-10.5,2024,1,2024-S1,Stable,96.7,0.3,2.9,96.7,Stable,True
z_30.0_-10.5,2024,2,2024-S2,Stable,97.9,0.6,1.5,97.9,Stable,True
z_30.0_-10.5,2025,1,2025-S1,Stable,80.9,16.7,2.3,80.9,Stable,True
z_30.0_-10.5,2025,2,2025-S2,Stable,92.1,5.4,2.4,92.1,Stable,True
z_30.0_-13.5,2023,1,2023-S1,Diminution,85.9,0.4,85.9,13.6,Diminution,True
z_30.0_-13.5,2024,1,2024-S1,Diminution,87.1,0.6,87.1,12.3,Stable,False
z_30.0_-13.5,2025,1,2025-S1,Diminution,87.1,1.2,87.1,11.6,Stable,False
z_30.0_-15.0,2023,1,2023-S1,Diminution,78.9,3.9,78.9,17.2,Diminution,True
z_30.0_-15.0,2024,1,2024-S1,Diminution,77.5,0.9,77.5,21.6,Diminution,True
z_30.0_-15.0,2025,1,2025-S1,Diminution,85.5,1.1,85.5,13.4,Stable,False
z_30.0_28.5,2023,1,2023-S1,Diminution,69.4,3.4,69.4,27.2,Stable,False
z_30.0_28.5,2023,2,2023-S2,Diminution,58.0,17.4,58.0,24.6,Diminution,True
z_30.0_28.5,2024,1,2024-S1,Diminution,62.8,16.7,62.8,20.5,Diminution,True
z_30.0_28.5,2024,2,2024-S2,Diminution,71.2,13.3,71.2,15.4,Diminution,True
z_30.0_28.5,2025,1,2025-S1,Diminution,67.8,2.7,67.8,29.5,Diminution,True
z_30.0_28.5,2025,2,2025-S2,Diminution,78.7,8.2,78.7,13.0,Stable,False
z_30.0_30.0,2023,1,2023-S1,Stable,97.1,1.6,1.3,97.1,Stable,True
z_30.0_30.0,2023,2,2023-S2,Stable,98.9,0.0,1.0,98.9,Stable,True
z_30.0_30.0,2024,1,2024-S1,Stable,95.3,3.2,1.4,95.3,Stable,True
z_30.0_30.0,2024,2,2024-S2,Stable,94.2,4.6,1.3,94.2,Stable,True
z_30.0_30.0,2025,1,2025-S1,Stable,96.8,2.0,1.2,96.8,Stable,True
z_30.0_30.0,2025,2,2025-S2,Stable,99.0,0.4,0.6,99.0,Stable,True
z_30.0_31.5,2023,1,2023-S1,Diminution,48.2,24.3,48.2,27.4,Augmentation,False
z_30.0_31.5,2023,2,2023-S2,Diminution,37.7,37.5,37.7,24.8,Stable,False
z_30.0_31.5,2024,1,2024-S1,Diminution,37.3,34.2,37.3,28.4,Stable,False
z_30.0_31.5,2024,2,2024-S2,Diminution,62.3,16.2,62.3,21.6,Augmentation,False
z_30.0_31.5,2025,1,2025-S1,Augmentation,43.8,43.8,32.4,23.8,Stable,False
z_30.0_31.5,2025,2,2025-S2,Diminution,53.1,21.6,53.1,25.3,Diminution,True
z_31.5_-15.0,2023,1,2023-S1,Stable,98.9,0.1,1.0,98.9,Stable,True
z_31.5_-15.0,2023,2,2023-S2,Stable,94.5,3.8,1.7,94.5,Stable,True
z_31.5_-15.0,2024,1,2024-S1,Stable,98.7,0.1,1.2,98.7,Stable,True
z_31.5_-15.0,2024,2,2024-S2,Stable,98.5,0.1,1.4,98.5,Stable,True
z_31.5_-15.0,2025,1,2025-S1,Stable,98.7,0.3,0.9,98.7,Stable,True
z_31.5_-15.0,2025,2,2025-S2,Stable,97.3,1.1,1.6,97.3,Stable,True
z_31.5_-18.0,2023,1,2023-S1,Stable,80.0,17.5,2.6,80.0,Stable,True
z_31.5_-18.0,2023,2,2023-S2,Stable,68.7,28.2,3.2,68.7,Stable,True
z_31.5_-18.0,2024,1,2024-S1,Stable,55.4,40.3,4.3,55.4,Stable,True
z_31.5_-18.0,2024,2,2024-S2,Stable,73.8,21.2,5.0,73.8,Stable,True
z_31.5_-18.0,2025,1,2025-S1,Stable,84.3,10.8,4.9,84.3,Stable,True
z_31.5_-18.0,2025,2,2025-S2,Stable,90.3,5.8,3.9,90.3,Stable,True
z_31.5_31.5,2023,1,2023-S1,Stable,90.1,7.4,2.5,90.1,Stable,True
z_31.5_31.5,2024,1,2024-S1,Stable,95.4,1.9,2.7,95.4,Stable,True
z_31.5_31.5,2025,1,2025-S1,Stable,94.4,2.2,3.3,94.4,Stable,True
z_33.0_-13.5,2023,1,2023-S1,Stable,98.8,0.0,1.2,98.8,Stable,True
z_33.0_-13.5,2023,2,2023-S2,Stable,97.7,0.9,1.4,97.7,Stable,True
z_33.0_-13.5,2024,1,2024-S1,Stable,94.5,4.1,1.4,94.5,Stable,True
z_33.0_-13.5,2024,2,2024-S2,Stable,94.7,3.5,1.7,94.7,Stable,True
z_33.0_-13.5,2025,1,2025-S1,Stable,98.4,0.0,1.6,98.4,Stable,True
z_33.0_-13.5,2025,2,2025-S2,Stable,98.7,0.1,1.2,98.7,Stable,True
z_33.0_-9.0,2023,1,2023-S1,Stable,80.3,11.2,8.5,80.3,Stable,True
z_33.0_-9.0,2023,2,2023-S2,Stable,87.9,8.6,3.5,87.9,Stable,True
z_33.0_-9.0,2024,1,2024-S1,Stable,80.7,13.5,5.8,80.7,Stable,True
z_33.0_-9.0,2024,2,2024-S2,Stable,57.2,36.7,6.1,57.2,Stable,True
z_33.0_-9.0,2025,1,2025-S1,Stable,65.9,31.1,3.0,65.9,Stable,True
z_33.0_-9.0,2025,2,2025-S2,Stable,80.2,10.3,9.5,80.2,Augmentation,False
z_33.0_10.5,2023,1,2023-S1,Stable,99.3,0.0,0.7,99.3,Stable,True
z_33.0_10.5,2024,1,2024-S1,Stable,99.3,0.0,0.7,99.3,Stable,True
z_33.0_10.5,2025,1,2025-S1,Stable,99.3,0.0,0.7,99.3,Stable,True
z_33.0_18.0,2023,2,2023-S2,Stable,99.1,0.1,0.8,99.1,Stable,True
z_33.0_18.0,2024,2,2024-S2,Stable,99.1,0.1,0.8,99.1,Stable,True
z_33.0_18.0,2025,2,2025-S2,Stable,97.8,1.2,1.1,97.8,Stable,True
z_33.0_25.5,2023,1,2023-S1,Stable,98.6,0.0,1.4,98.6,Stable,True
z_33.0_25.5,2024,1,2024-S1,Stable,98.6,0.0,1.4,98.6,Stable,True
z_33.0_25.5,2025,1,2025-S1,Stable,97.2,0.8,2.0,97.2,Stable,True
z_34.5_-1.5,2023,1,2023-S1,Stable,95.3,2.5,2.2,95.3,Stable,True
z_34.5_-1.5,2023,2,2023-S2,Stable,60.6,28.4,11.0,60.6,Stable,True
