fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,70.4,69.9,60.5
2,2017-2018,2019,2006,1060,70.4,67.3,57.1
3,2017-2019,2020,3066,1092,74.3,70.8,62.7
4,2017-2020,2021,4158,1115,74.3,69.4,61.8
5,2017-2021,2022,5273,571,79.2,78.8,69.6
