zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,Stable,99.0,0.3,0.7,99.0,Stable,True
z_24.0_-18.0,2024,Stable,99.1,0.3,0.6,99.1,Stable,True
z_24.0_-18.0,2025,Stable,99.0,0.5,0.6,99.0,Stable,True
z_24.0_-19.5,2023,Stable,99.5,0.0,0.5,99.5,Stable,True
z_24.0_-19.5,2024,Stable,99.3,0.2,0.5,99.3,Stable,True
z_24.0_-19.5,2025,Stable,98.1,1.4,0.5,98.1,Stable,True
z_27.0_-15.0,2023,Stable,97.9,1.1,1.0,97.9,Stable,True
z_27.0_-15.0,2024,Stable,83.2,6.0,10.8,83.2,Stable,True
z_27.0_-15.0,2025,Stable,82.8,3.5,13.7,82.8,Stable,True
z_27.0_-16.5,2023,Augmentation,54.5,54.5,39.7,5.9,Diminution,False
z_27.0_-16.5,2024,Diminution,51.8,42.3,51.8,5.9,Augmentation,False
z_27.0_-16.5,2025,Augmentation,48.1,48.1,46.6,5.3,Stable,False
z_28.5_-13.5,2023,Stable,97.9,0.4,1.7,97.9,Stable,True
z_28.5_-13.5,2024,Stable,97.9,0.4,1.7,97.9,Stable,True
z_28.5_-13.5,2025,Stable,97.9,0.4,1.7,97.9,Stable,True
z_28.5_-15.0,2023,Diminution,57.7,25.0,57.7,17.3,Stable,False
z_28.5_-15.0,2024,Diminution,68.4,14.8,68.4,16.8,Stable,False
z_28.5_-15.0,2025,Diminution,67.8,19.6,67.8,12.6,Stable,False
z_28.5_-16.5,2023,Diminution,56.6,29.7,56.6,13.7,Stable,False
z_28.5_-16.5,2024,Diminution,60.8,17.5,60.8,21.6,Stable,False
z_28.5_-16.5,2025,Diminution,45.1,33.5,45.1,21.4,Stable,False
z_30.0_-10.5,2023,Stable,96.6,1.9,1.4,96.6,Stable,True
z_30.0_-10.5,2024,Stable,95.4,2.3,2.3,95.4,Stable,True
z_30.0_-10.5,2025,Stable,80.2,8.3,11.5,80.2,Stable,True
z_30.0_-13.5,2023,Stable,98.3,0.7,0.9,98.3,Stable,True
z_30.0_-13.5,2024,Stable,98.3,1.0,0.7,98.3,Stable,True
z_30.0_-13.5,2025,Stable,96.2,2.4,1.3,96.2,Stable,True
z_30.0_-15.0,2023,Stable,88.7,3.7,7.5,88.7,Stable,True
z_30.0_-15.0,2024,Stable,84.3,3.6,12.1,84.3,Stable,True
z_30.0_-15.0,2025,Stable,87.9,0.4,11.7,87.9,Stable,True
z_30.0_28.5,2023,Diminution,46.9,37.4,46.9,15.7,Stable,False
z_30.0_28.5,2024,Diminution,49.1,25.0,49.1,25.9,Diminution,True
z_30.0_28.5,2025,Diminution,45.1,31.8,45.1,23.1,Diminution,True
z_30.0_30.0,2023,Stable,96.3,2.5,1.2,96.3,Stable,True
z_30.0_30.0,2024,Stable,98.4,0.3,1.3,98.4,Stable,True
z_30.0_30.0,2025,Stable,98.5,0.1,1.3,98.5,Stable,True
z_30.0_31.5,2023,Augmentation,44.3,44.3,43.3,12.4,Stable,False
z_30.0_31.5,2024,Augmentation,52.6,52.6,34.0,13.4,Stable,False
z_30.0_31.5,2025,Augmentation,51.4,51.4,37.2,11.4,Diminution,False
z_31.5_-15.0,2023,Stable,99.5,0.1,0.5,99.5,Stable,True
z_31.5_-15.0,2024,Stable,99.6,0.1,0.3,99.6,Stable,True
z_31.5_-15.0,2025,Stable,99.0,0.9,0.1,99.0,Stable,True
z_31.5_-18.0,2023,Stable,46.6,46.4,7.0,46.6,Stable,True
z_31.5_-18.0,2024,Augmentation,55.9,55.9,6.9,37.1,Stable,False
z_31.5_-18.0,2025,Stable,49.2,45.4,5.5,49.2,Stable,True
z_31.5_31.5,2023,Stable,67.9,25.4,6.7,67.9,Stable,True
z_31.5_31.5,2024,Stable,59.5,36.5,3.9,59.5,Stable,True
z_31.5_31.5,2025,Stable,56.2,39.8,4.1,56.2,Stable,True
z_33.0_-13.5,2023,Stable,98.3,1.4,0.3,98.3,Stable,True
z_33.0_-13.5,2024,Stable,94.7,3.6,1.7,94.7,Stable,True
z_33.0_-13.5,2025,Stable,98.3,1.4,0.3,98.3,Stable,True
z_33.0_-9.0,2023,Diminution,52.9,25.6,52.9,21.5,Stable,False
z_33.0_-9.0,2024,Diminution,48.5,25.6,48.5,25.8,Stable,False
z_33.0_-9.0,2025,Diminution,53.2,19.8,53.2,27.0,Stable,False
z_33.0_10.5,2023,Stable,99.2,0.2,0.6,99.2,Stable,True
z_33.0_10.5,2024,Stable,99.2,0.2,0.6,99.2,Stable,True
z_33.0_10.5,2025,Stable,99.2,0.2,0.6,99.2,Stable,True
z_33.0_18.0,2023,Stable,99.3,0.3,0.4,99.3,Stable,True
z_33.0_18.0,2024,Stable,99.3,0.3,0.4,99.3,Stable,True
z_33.0_18.0,2025,Stable,99.3,0.4,0.3,99.3,Stable,True
z_33.0_25.5,2023,Stable,96.9,0.1,3.0,96.9,Stable,True
