fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2016-2016,2017,2844,3161,58.9,52.2,47.1
2,2016-2017,2018,6005,3419,60.9,52.5,47.6
3,2016-2018,2019,9424,3611,60.0,54.6,47.5
4,2016-2019,2020,13035,3783,60.7,58.1,48.2
5,2016-2020,2021,16818,3929,65.7,58.1,50.4
6,2016-2021,2022,20747,3669,69.3,56.0,49.6
