fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2016-2016,2017,2844,3161,58.1,52.4,46.2
2,2016-2017,2018,6005,3419,58.7,53.0,46.1
3,2016-2018,2019,9424,3611,59.2,53.4,45.5
4,2016-2019,2020,13035,3783,58.6,56.9,45.9
5,2016-2020,2021,16818,3929,65.6,58.2,48.8
6,2016-2021,2022,20747,3669,68.5,57.8,49.6
