zone,annee,trimestre,trimestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_30.0_-10.5,2024,3,2024-T3,Diminution,52.6,7.4,52.6,40.0,Stable,False
z_30.0_-10.5,2025,2,2025-T2,Diminution,65.3,6.2,65.3,28.5,Diminution,True
z_30.0_-10.5,2025,3,2025-T3,Diminution,60.8,4.8,60.8,34.5,Diminution,True
z_30.0_-13.5,2023,1,2023-T1,Diminution,69.4,4.3,69.4,26.3,Diminution,True
z_30.0_-13.5,2023,2,2023-T2,Diminution,85.1,1.4,85.1,13.5,Diminution,True
z_30.0_-13.5,2024,1,2024-T1,Diminution,67.0,8.8,67.0,24.2,Stable,False
z_30.0_-13.5,2024,2,2024-T2,Diminution,69.1,2.0,69.1,28.9,Diminution,True
z_30.0_-13.5,2025,1,2025-T1,Diminution,58.1,3.7,58.1,38.2,Stable,False
z_30.0_-13.5,2025,2,2025-T2,Diminution,85.1,1.4,85.1,13.5,Diminution,True
z_30.0_-15.0,2023,1,2023-T1,Diminution,81.2,4.8,81.2,14.0,Diminution,True
z_30.0_-15.0,2023,2,2023-T2,Diminution,72.7,3.4,72.7,23.9,Diminution,True
z_30.0_-15.0,2024,1,2024-T1,Diminution,82.1,6.5,82.1,11.4,Diminution,True
z_30.0_-15.0,2024,2,2024-T2,Diminution,83.7,3.5,83.7,12.8,Diminution,True
z_30.0_-15.0,2025,1,2025-T1,Diminution,76.0,5.6,76.0,18.4,Diminution,True
z_30.0_-15.0,2025,2,2025-T2,Diminution,48.1,7.1,48.1,44.9,Diminution,True
z_30.0_28.5,2023,1,2023-T1,Diminution,71.2,13.0,71.2,15.8,Diminution,True
z_30.0_28.5,2023,2,2023-T2,Diminution,75.5,10.4,75.5,14.1,Augmentation,False
z_30.0_28.5,2023,3,2023-T3,Diminution,48.5,6.1,48.5,45.4,Diminution,True
z_30.0_28.5,2023,4,2023-T4,Diminution,66.5,15.4,66.5,18.1,Diminution,True
z_30.0_28.5,2024,1,2024-T1,Diminution,56.8,19.5,56.8,23.7,Diminution,True
z_30.0_28.5,2024,2,2024-T2,Diminution,66.6,12.0,66.6,21.4,Diminution,True
z_30.0_28.5,2024,3,2024-T3,Diminution,67.4,3.6,67.4,29.1,Diminution,True
z_30.0_28.5,2024,4,2024-T4,Diminution,77.4,12.2,77.4,10.4,Diminution,True
z_30.0_28.5,2025,1,2025-T1,Diminution,67.3,17.5,67.3,15.2,Diminution,True
z_30.0_28.5,2025,2,2025-T2,Diminution,71.7,11.9,71.7,16.4,Diminution,True
