fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,70.3,69.5,60.5
2,2017-2018,2019,2006,1060,70.8,67.0,57.6
3,2017-2019,2020,3066,1092,73.8,69.3,61.9
4,2017-2020,2021,4158,1115,75.2,71.1,63.5
5,2017-2021,2022,5273,571,79.7,78.5,70.2
