zone,mois,annee,mois_num,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,4,2023,4,Stable,97.4,0.8,1.9,97.4,Stable,True
z_24.0_-18.0,4,2024,4,Stable,97.4,0.8,1.9,97.4,Stable,True
z_24.0_-18.0,4,2025,4,Stable,97.4,0.8,1.9,97.4,Stable,True
z_24.0_-19.5,4,2023,4,Stable,96.7,1.1,2.3,96.7,Stable,True
z_24.0_-19.5,4,2024,4,Stable,97.3,0.7,2.0,97.3,Stable,True
z_24.0_-19.5,4,2025,4,Stable,97.3,0.7,2.0,97.3,Stable,True
z_27.0_-15.0,4,2023,4,Stable,97.3,0.7,2.0,97.3,Stable,True
z_27.0_-15.0,8,2023,8,Stable,91.4,5.1,3.5,91.4,Stable,True
z_27.0_-15.0,4,2024,4,Stable,97.3,0.7,2.0,97.3,Stable,True
z_27.0_-15.0,8,2024,8,Stable,97.1,0.7,2.2,97.1,Stable,True
z_27.0_-15.0,4,2025,4,Stable,97.3,0.7,2.0,97.3,Stable,True
z_27.0_-15.0,8,2025,8,Stable,97.1,0.7,2.2,97.1,Stable,True
z_27.0_-16.5,1,2023,1,Augmentation,53.1,53.1,6.8,40.1,Stable,False
z_27.0_-16.5,2,2023,2,Augmentation,63.1,63.1,4.7,32.2,Stable,False
z_27.0_-16.5,3,2023,3,Augmentation,30.9,30.9,51.1,17.9,Diminution,False
z_27.0_-16.5,4,2023,4,Augmentation,56.9,56.9,3.8,39.3,Stable,False
z_27.0_-16.5,5,2023,5,Augmentation,32.2,32.2,52.1,15.7,Diminution,False
z_27.0_-16.5,6,2023,6,Augmentation,45.5,45.5,3.9,50.6,Diminution,False
z_27.0_-16.5,7,2023,7,Augmentation,55.8,55.8,4.1,40.1,Stable,False
z_27.0_-16.5,8,2023,8,Augmentation,51.2,51.2,3.6,45.2,Stable,False
z_27.0_-16.5,9,2023,9,Augmentation,45.3,45.3,4.9,49.7,Stable,False
z_27.0_-16.5,10,2023,10,Augmentation,32.7,32.7,12.0,55.3,Stable,False
z_27.0_-16.5,11,2023,11,Diminution,81.4,9.9,81.4,8.7,Diminution,True
z_27.0_-16.5,12,2023,12,Diminution,72.9,11.7,72.9,15.5,Stable,False
z_27.0_-16.5,1,2024,1,Augmentation,35.0,35.0,5.4,59.5,Stable,False
z_27.0_-16.5,2,2024,2,Augmentation,30.9,30.9,7.5,61.6,Stable,False
z_27.0_-16.5,3,2024,3,Diminution,66.3,12.7,66.3,21.0,Stable,False
