fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,58.4,53.7,50.7
2,2017-2018,2019,2006,1060,56.8,53.1,48.4
3,2017-2019,2020,3066,1092,55.0,54.3,47.2
4,2017-2020,2021,4158,1115,57.9,50.8,45.0
5,2017-2021,2022,5273,571,66.9,56.3,51.4
