fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,57.2,53.4,49.4
2,2017-2018,2019,2006,1060,57.2,53.5,48.6
3,2017-2019,2020,3066,1092,52.9,52.5,45.1
4,2017-2020,2021,4158,1115,57.4,51.8,44.9
5,2017-2021,2022,5273,571,65.8,57.5,51.4
