zone,mois,annee,mois_num,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_28.5_-15.0,7,2023,7,Stable,96.5,1.4,2.2,96.5,Stable,True
z_28.5_-15.0,8,2023,8,Diminution,88.5,1.5,88.5,10.0,Diminution,True
z_28.5_-15.0,11,2023,11,Stable,96.7,0.7,2.6,96.7,Stable,True
z_28.5_-15.0,12,2023,12,Stable,93.6,3.2,3.2,93.6,Stable,True
z_28.5_-15.0,1,2024,1,Diminution,90.0,1.2,90.0,8.8,Diminution,True
z_28.5_-15.0,2,2024,2,Stable,93.8,1.5,4.6,93.8,Stable,True
z_28.5_-15.0,5,2024,5,Stable,96.4,1.4,2.3,96.4,Stable,True
z_28.5_-15.0,7,2024,7,Stable,96.6,1.0,2.4,96.6,Stable,True
z_28.5_-15.0,8,2024,8,Diminution,90.0,1.3,90.0,8.7,Stable,False
z_28.5_-15.0,11,2024,11,Stable,96.1,1.1,2.8,96.1,Stable,True
z_28.5_-15.0,12,2024,12,Stable,95.6,0.9,3.5,95.6,Stable,True
z_28.5_-15.0,1,2025,1,Diminution,90.2,1.0,90.2,8.8,Diminution,True
z_28.5_-15.0,2,2025,2,Stable,92.6,2.8,4.6,92.6,Stable,True
z_28.5_-15.0,5,2025,5,Stable,97.5,0.7,1.8,97.5,Stable,True
z_28.5_-15.0,7,2025,7,Stable,89.8,6.9,3.3,89.8,Stable,True
z_28.5_-15.0,8,2025,8,Diminution,84.0,3.2,84.0,12.8,Diminution,True
z_28.5_-15.0,11,2025,11,Stable,94.5,3.2,2.3,94.5,Stable,True
z_28.5_-15.0,12,2025,12,Stable,88.1,8.1,3.8,88.1,Stable,True
z_28.5_-16.5,2,2023,2,Stable,87.4,7.3,5.2,87.4,Stable,True
z_28.5_-16.5,3,2023,3,Diminution,87.3,2.7,87.3,9.9,Diminution,True
z_28.5_-16.5,7,2023,7,Stable,83.3,11.0,5.7,83.3,Stable,True
z_28.5_-16.5,8,2023,8,Stable,91.1,3.8,5.1,91.1,Stable,True
z_28.5_-16.5,9,2023,9,Diminution,91.0,0.9,91.0,8.1,Diminution,True
z_28.5_-16.5,10,2023,10,Diminution,91.8,1.3,91.8,6.8,Diminution,True
z_28.5_-16.5,11,2023,11,Stable,92.8,3.1,4.1,92.8,Stable,True
z_28.5_-16.5,12,2023,12,Diminution,91.2,0.2,91.2,8.7,Stable,False
z_28.5_-16.5,2,2024,2,Stable,93.0,2.7,4.3,93.0,Stable,True
z_28.5_-16.5,3,2024,3,Diminution,90.7,1.1,90.7,8.2,Diminution,True
z_28.5_-16.5,7,2024,7,Stable,82.1,12.9,5.0,82.1,Stable,True
z_28.5_-16.5,8,2024,8,Stable,83.1,11.6,5.3,83.1,Stable,True
z_28.5_-16.5,9,2024,9,Diminution,84.6,3.5,84.6,11.9,Diminution,True
z_28.5_-16.5,10,2024,10,Diminution,90.8,0.9,90.8,8.3,Diminution,True
z_28.5_-16.5,11,2024,11,Stable,92.8,3.1,4.1,92.8,Stable,True
z_28.5_-16.5,12,2024,12,Diminution,89.6,1.7,89.6,8.7,Stable,False
z_28.5_-16.5,2,2025,2,Stable,71.2,23.3,5.6,71.2,Stable,True
z_28.5_-16.5,3,2025,3,Diminution,82.8,3.9,82.8,13.3,Diminution,True
z_28.5_-16.5,7,2025,7,Stable,85.8,8.9,5.3,85.8,Stable,True
z_28.5_-16.5,8,2025,8,Stable,94.0,1.6,4.4,94.0,Stable,True
z_28.5_-16.5,9,2025,9,Diminution,91.0,0.9,91.0,8.1,Diminution,True
z_28.5_-16.5,10,2025,10,Diminution,90.7,0.8,90.7,8.4,Diminution,True
z_28.5_-16.5,11,2025,11,Stable,90.9,3.9,5.2,90.9,Stable,True
z_28.5_-16.5,12,2025,12,Diminution,92.2,0.7,92.2,7.0,Stable,False
z_30.0_-10.5,4,2023,4,Stable,92.5,4.4,3.1,92.5,Stable,True
z_30.0_-10.5,5,2023,5,Stable,92.5,4.5,3.0,92.5,Stable,True
z_30.0_-10.5,9,2023,9,Stable,93.1,3.3,3.5,93.1,Stable,True
z_30.0_-10.5,4,2024,4,Stable,90.9,5.6,3.5,90.9,Stable,True
z_30.0_-10.5,5,2024,5,Stable,92.5,4.5,3.0,92.5,Stable,True
z_30.0_-10.5,9,2024,9,Stable,92.4,4.0,3.7,92.4,Stable,True
z_30.0_-10.5,4,2025,4,Stable,92.5,4.4,3.1,92.5,Stable,True
z_30.0_-10.5,5,2025,5,Stable,92.5,4.5,3.0,92.5,Stable,True
z_30.0_-10.5,9,2025,9,Stable,93.1,3.3,3.5,93.1,Stable,True
z_30.0_-13.5,2,2023,2,Stable,97.3,0.5,2.1,97.3,Stable,True
z_30.0_-13.5,3,2023,3,Stable,95.3,1.0,3.7,95.3,Stable,True
z_30.0_-13.5,6,2023,6,Stable,97.3,0.6,2.1,97.3,Stable,True
z_30.0_-13.5,2,2024,2,Stable,97.3,0.5,2.1,97.3,Stable,True
z_30.0_-13.5,3,2024,3,Stable,93.9,2.4,3.6,93.9,Stable,True
z_30.0_-13.5,6,2024,6,Stable,97.3,0.6,2.1,97.3,Stable,True
z_30.0_-13.5,2,2025,2,Stable,95.4,0.9,3.6,95.4,Stable,True
z_30.0_-13.5,3,2025,3,Stable,97.1,0.6,2.3,97.1,Stable,True
z_30.0_-13.5,6,2025,6,Stable,97.3,0.6,2.1,97.3,Stable,True
z_30.0_-15.0,2,2023,2,Diminution,91.8,1.0,91.8,7.2,Diminution,True
z_30.0_-15.0,5,2023,5,Stable,97.4,0.6,2.0,97.4,Stable,True
z_30.0_-15.0,2,2024,2,Diminution,90.9,1.1,90.9,8.0,Diminution,True
z_30.0_-15.0,5,2024,5,Stable,97.4,0.6,2.0,97.4,Stable,True
z_30.0_-15.0,2,2025,2,Diminution,90.2,0.2,90.2,9.6,Diminution,True
z_30.0_-15.0,5,2025,5,Stable,96.4,1.2,2.3,96.4,Stable,True
z_30.0_28.5,1,2023,1,Stable,89.4,5.3,5.3,89.4,Stable,True
z_30.0_28.5,2,2023,2,Stable,90.5,4.6,4.9,90.5,Stable,True
z_30.0_28.5,3,2023,3,Diminution,90.1,1.2,90.1,8.7,Diminution,True
z_30.0_28.5,4,2023,4,Stable,97.1,0.7,2.2,97.1,Stable,True
z_30.0_28.5,5,2023,5,Diminution,89.7,2.3,89.7,8.1,Stable,False
z_30.0_28.5,6,2023,6,Diminution,84.6,4.8,84.6,10.6,Diminution,True
z_30.0_28.5,8,2023,8,Stable,83.6,12.5,3.8,83.6,Stable,True
z_30.0_28.5,10,2023,10,Diminution,91.1,0.2,91.1,8.8,Diminution,True
z_30.0_28.5,11,2023,11,Stable,83.0,12.5,4.5,83.0,Stable,True
z_30.0_28.5,12,2023,12,Diminution,91.1,0.9,91.1,8.0,Diminution,True
z_30.0_28.5,1,2024,1,Stable,90.8,4.8,4.4,90.8,Stable,True
z_30.0_28.5,2,2024,2,Stable,92.9,2.7,4.4,92.9,Stable,True
z_30.0_28.5,3,2024,3,Diminution,90.1,1.2,90.1,8.7,Diminution,True
z_30.0_28.5,4,2024,4,Stable,97.1,0.7,2.2,97.1,Stable,True
z_30.0_28.5,5,2024,5,Diminution,83.3,7.6,83.3,9.1,Diminution,True
z_30.0_28.5,6,2024,6,Diminution,89.5,1.4,89.5,9.1,Diminution,True
z_30.0_28.5,8,2024,8,Stable,97.1,0.8,2.2,97.1,Stable,True
z_30.0_28.5,10,2024,10,Diminution,91.1,0.2,91.1,8.8,Diminution,True
z_30.0_28.5,11,2024,11,Stable,93.6,2.7,3.7,93.6,Stable,True
z_30.0_28.5,12,2024,12,Diminution,91.1,0.9,91.1,8.0,Diminution,True
z_30.0_28.5,1,2025,1,Stable,93.9,2.5,3.7,93.9,Stable,True
z_30.0_28.5,2,2025,2,Stable,92.9,2.7,4.4,92.9,Stable,True
z_30.0_28.5,3,2025,3,Diminution,90.4,1.3,90.4,8.2,Diminution,True
z_30.0_28.5,4,2025,4,Stable,96.5,1.0,2.5,96.5,Stable,True
z_30.0_28.5,5,2025,5,Diminution,88.6,3.4,88.6,8.0,Diminution,True
z_30.0_28.5,6,2025,6,Diminution,89.5,1.4,89.5,9.1,Diminution,True
z_30.0_28.5,8,2025,8,Stable,93.4,4.4,2.3,93.4,Stable,True
z_30.0_28.5,10,2025,10,Diminution,91.1,0.2,91.1,8.8,Diminution,True
z_30.0_28.5,11,2025,11,Stable,91.0,5.0,4.0,91.0,Stable,True
z_30.0_28.5,12,2025,12,Diminution,89.3,1.0,89.3,9.7,Diminution,True
z_30.0_30.0,2,2023,2,Stable,94.5,1.2,4.3,94.5,Stable,True
z_30.0_30.0,9,2023,9,Stable,94.6,2.1,3.3,94.6,Stable,True
z_30.0_30.0,2,2024,2,Stable,94.5,1.2,4.3,94.5,Stable,True
z_30.0_30.0,9,2024,9,Stable,97.2,0.6,2.2,97.2,Stable,True
z_30.0_30.0,2,2025,2,Stable,94.5,1.2,4.3,94.5,Stable,True
z_30.0_30.0,9,2025,9,Stable,96.1,0.9,3.0,96.1,Stable,True
z_30.0_31.5,1,2023,1,Stable,97.4,0.6,1.9,97.4,Stable,True
z_30.0_31.5,2,2023,2,Stable,91.6,4.4,4.0,91.6,Stable,True
z_30.0_31.5,3,2023,3,Stable,94.0,2.6,3.4,94.0,Stable,True
z_30.0_31.5,4,2023,4,Stable,88.4,6.9,4.8,88.4,Stable,True
z_30.0_31.5,5,2023,5,Stable,89.0,6.7,4.3,89.0,Stable,True
z_30.0_31.5,6,2023,6,Stable,96.1,1.1,2.8,96.1,Stable,True
z_30.0_31.5,7,2023,7,Stable,81.5,14.3,4.2,81.5,Stable,True
z_30.0_31.5,8,2023,8,Stable,85.9,10.5,3.6,85.9,Stable,True
z_30.0_31.5,9,2023,9,Stable,77.8,18.0,4.2,77.8,Stable,True
z_30.0_31.5,10,2023,10,Stable,95.2,1.7,3.1,95.2,Stable,True
z_30.0_31.5,11,2023,11,Stable,86.4,8.7,4.9,86.4,Stable,True
z_30.0_31.5,12,2023,12,Stable,77.9,16.4,5.7,77.9,Stable,True
z_30.0_31.5,1,2024,1,Stable,94.0,2.7,3.3,94.0,Stable,True
z_30.0_31.5,2,2024,2,Stable,90.9,4.4,4.7,90.9,Stable,True
z_30.0_31.5,3,2024,3,Stable,94.0,2.2,3.8,94.0,Stable,True
z_30.0_31.5,4,2024,4,Stable,87.5,7.0,5.5,87.5,Stable,True
z_30.0_31.5,5,2024,5,Stable,91.7,4.4,3.8,91.7,Stable,True
z_30.0_31.5,6,2024,6,Stable,89.5,6.0,4.6,89.5,Stable,True
z_30.0_31.5,7,2024,7,Stable,88.9,6.6,4.5,88.9,Stable,True
z_30.0_31.5,8,2024,8,Stable,93.7,3.0,3.3,93.7,Stable,True
z_30.0_31.5,9,2024,9,Stable,71.1,24.1,4.8,71.1,Stable,True
z_30.0_31.5,10,2024,10,Stable,84.2,11.4,4.5,84.2,Stable,True
z_30.0_31.5,11,2024,11,Stable,75.6,20.6,3.8,75.6,Stable,True
z_30.0_31.5,12,2024,12,Stable,90.6,5.8,3.6,90.6,Stable,True
z_30.0_31.5,1,2025,1,Stable,93.1,3.5,3.4,93.1,Stable,True
z_30.0_31.5,2,2025,2,Stable,84.5,11.5,4.0,84.5,Stable,True
z_30.0_31.5,3,2025,3,Stable,91.6,4.1,4.3,91.6,Stable,True
z_30.0_31.5,4,2025,4,Stable,93.9,3.0,3.1,93.9,Stable,True
z_30.0_31.5,5,2025,5,Stable,94.5,2.9,2.6,94.5,Stable,True
z_30.0_31.5,6,2025,6,Stable,79.7,15.3,5.0,79.7,Stable,True
z_30.0_31.5,7,2025,7,Stable,87.0,7.7,5.3,87.0,Stable,True
z_30.0_31.5,8,2025,8,Stable,89.4,5.5,5.1,89.4,Stable,True
z_30.0_31.5,9,2025,9,Stable,94.1,3.2,2.7,94.1,Stable,True
z_30.0_31.5,10,2025,10,Stable,93.5,2.8,3.7,93.5,Stable,True
z_30.0_31.5,11,2025,11,Stable,93.0,3.6,3.4,93.0,Stable,True
z_30.0_31.5,12,2025,12,Stable,87.9,7.4,4.7,87.9,Stable,True
z_31.5_-15.0,1,2023,1,Stable,97.1,0.6,2.3,97.1,Stable,True
z_31.5_-15.0,10,2023,10,Stable,97.4,0.6,2.1,97.4,Stable,True
z_31.5_-15.0,1,2024,1,Stable,97.1,0.6,2.3,97.1,Stable,True
z_31.5_-15.0,10,2024,10,Stable,96.3,1.1,2.6,96.3,Stable,True
z_31.5_-15.0,1,2025,1,Stable,97.1,0.6,2.3,97.1,Stable,True
z_31.5_-15.0,10,2025,10,Stable,97.4,0.6,2.1,97.4,Stable,True
z_31.5_-18.0,1,2023,1,Stable,94.7,2.5,2.8,94.7,Stable,True
z_31.5_-18.0,2,2023,2,Stable,93.7,2.0,4.2,93.7,Stable,True
z_31.5_-18.0,3,2023,3,Diminution,90.6,0.2,90.6,9.3,Diminution,True
z_31.5_-18.0,4,2023,4,Stable,97.3,0.7,2.1,97.3,Stable,True
z_31.5_-18.0,6,2023,6,Stable,95.1,1.6,3.4,95.1,Stable,True
z_31.5_-18.0,7,2023,7,Stable,95.0,1.7,3.3,95.0,Stable,True
z_31.5_-18.0,9,2023,9,Stable,96.5,1.0,2.5,96.5,Stable,True
z_31.5_-18.0,10,2023,10,Stable,93.0,3.8,3.2,93.0,Stable,True
z_31.5_-18.0,11,2023,11,Stable,96.5,1.1,2.4,96.5,Stable,True
z_31.5_-18.0,1,2024,1,Stable,94.0,2.7,3.4,94.0,Stable,True
z_31.5_-18.0,2,2024,2,Stable,95.3,1.2,3.5,95.3,Stable,True
z_31.5_-18.0,3,2024,3,Diminution,90.6,0.2,90.6,9.3,Diminution,True
z_31.5_-18.0,4,2024,4,Stable,95.4,1.9,2.6,95.4,Stable,True
z_31.5_-18.0,6,2024,6,Stable,95.1,1.6,3.4,95.1,Stable,True
z_31.5_-18.0,7,2024,7,Stable,93.6,2.5,3.9,93.6,Stable,True
z_31.5_-18.0,9,2024,9,Stable,97.4,0.6,2.0,97.4,Stable,True
z_31.5_-18.0,10,2024,10,Stable,91.7,4.0,4.3,91.7,Stable,True
z_31.5_-18.0,11,2024,11,Stable,97.3,0.5,2.1,97.3,Stable,True
z_31.5_-18.0,1,2025,1,Stable,97.3,0.6,2.1,97.3,Stable,True
z_31.5_-18.0,2,2025,2,Stable,95.3,1.2,3.5,95.3,Stable,True
z_31.5_-18.0,3,2025,3,Diminution,90.6,0.2,90.6,9.3,Diminution,True
z_31.5_-18.0,4,2025,4,Stable,97.3,0.7,2.1,97.3,Stable,True
z_31.5_-18.0,6,2025,6,Stable,95.1,1.6,3.4,95.1,Stable,True
z_31.5_-18.0,7,2025,7,Stable,94.8,2.2,3.0,94.8,Stable,True
z_31.5_-18.0,9,2025,9,Stable,97.4,0.6,2.0,97.4,Stable,True
z_31.5_-18.0,10,2025,10,Stable,89.9,6.4,3.7,89.9,Stable,True
z_31.5_-18.0,11,2025,11,Stable,97.3,0.5,2.1,97.3,Stable,True
z_31.5_31.5,1,2023,1,Stable,97.2,0.6,2.2,97.2,Stable,True
z_31.5_31.5,2,2023,2,Diminution,89.7,1.2,89.7,9.1,Diminution,True
z_31.5_31.5,3,2023,3,Stable,92.4,2.5,5.1,92.4,Stable,True
z_31.5_31.5,1,2024,1,Stable,97.2,0.6,2.2,97.2,Stable,True
z_31.5_31.5,2,2024,2,Diminution,89.7,1.2,89.7,9.1,Diminution,True
z_31.5_31.5,3,2024,3,Stable,92.3,2.6,5.1,92.3,Stable,True
z_31.5_31.5,1,2025,1,Stable,97.2,0.6,2.2,97.2,Stable,True
z_31.5_31.5,2,2025,2,Diminution,89.7,1.2,89.7,9.1,Diminution,True
z_31.5_31.5,3,2025,3,Stable,93.8,1.6,4.6,93.8,Stable,True
z_33.0_-13.5,4,2023,4,Stable,96.3,1.4,2.3,96.3,Stable,True
z_33.0_-13.5,12,2023,12,Stable,94.0,2.1,3.8,94.0,Stable,True
z_33.0_-13.5,4,2024,4,Stable,97.2,0.7,2.1,97.2,Stable,True
z_33.0_-13.5,12,2024,12,Stable,96.8,0.7,2.5,96.8,Stable,True
z_33.0_-13.5,4,2025,4,Stable,97.2,0.7,2.1,97.2,Stable,True
z_33.0_-13.5,12,2025,12,Stable,96.8,0.7,2.5,96.8,Stable,True
z_33.0_-9.0,1,2023,1,Stable,92.6,2.2,5.2,92.6,Stable,True
z_33.0_-9.0,2,2023,2,Diminution,89.8,1.3,89.8,8.8,Diminution,True
z_33.0_-9.0,3,2023,3,Stable,93.4,1.7,4.9,93.4,Stable,True
z_33.0_-9.0,4,2023,4,Stable,93.2,2.5,4.3,93.2,Stable,True
z_33.0_-9.0,5,2023,5,Stable,97.2,0.8,2.0,97.2,Stable,True
z_33.0_-9.0,7,2023,7,Stable,93.3,1.9,4.9,93.3,Stable,True
z_33.0_-9.0,10,2023,10,Stable,94.3,1.5,4.2,94.3,Stable,True
z_33.0_-9.0,11,2023,11,Stable,86.9,8.3,4.8,86.9,Stable,True
z_33.0_-9.0,12,2023,12,Diminution,89.1,2.1,89.1,8.8,Diminution,True
z_33.0_-9.0,1,2024,1,Stable,90.6,3.9,5.5,90.6,Stable,True
z_33.0_-9.0,2,2024,2,Diminution,89.8,1.5,89.8,8.6,Diminution,True
z_33.0_-9.0,3,2024,3,Stable,92.9,2.0,5.0,92.9,Stable,True
z_33.0_-9.0,4,2024,4,Stable,90.8,5.0,4.2,90.8,Stable,True
